SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1985,157107,11392,168499,6.8
2,1986,159977,10172,170149,6
3,1987,166407,13555,179962,7.5
4,1988,33065,5103,38168,13.4
5,1989,24777,11615,36392,31.9
6,1990,25269,5547,30816,18
7,1991,23201,6390,29591,21.6
8,1992,17474,3884,21358,18.2
9,1993,16391,3676,20067,18.3
10,1994,13852,3351,17203,19.5
11,1995,14542,4251,18793,22.6
