SL. No.,Category,State/UT/City,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act ,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P)Act,Copy Right Act,Sati Prevention Act,SC/ST (Prevention of Atrocities ) Act,Forest Act,Other SLL Crimes ,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh ,0,0,4,20,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,160,190
2,State,Arunachal Pradesh ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,6
4,State,Bihar,19,0,9,4,0,0,7,0,0,0,0,0,0,0,22,NA,NA,NA,NA,NA,NA,5,66
5,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
6,State,Gujarat,0,1,26,0,572,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,303,903
7,State,Haryana,5,1,17,115,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,142
8,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka ,0,0,1,2,0,0,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17,38
11,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Madhya Pradesh,27,12,109,18,0,1,0,4,1,0,0,1,0,0,1,0,0,0,0,2,0,251,427
13,State,Maharashtra,0,3,60,0,90,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,149,306
14,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
16,State,Mizoram,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,State,Nagaland,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
18,State,Orissa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
19,State,Punjab,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10
20,State,Rajasthan,1,2,6,13,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,22,50
21,State,Sikkim ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,0,0,0,0,65,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2953,3045
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
