SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. not Ampunting to Murder - Male,C.H. not Ampunting to Murder - Female,C.H. not Ampunting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt/ Grievous Hurt - Male,Hurt/ Grievous Hurt - Female,Hurt/ Grievous Hurt - Total,Dowry Death - Male,Dowry Death - Female,Dowry Death - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty by Husband or Relatives - Male,Cruelty by Husband or Relatives - Female,Cruelty by Husband or Relatives - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
1,State,Andhra Pradesh ,7429,288,7717,2948,56,3004,184,3,187,1046,25,1071,1413,79,1492,544,71,615,869,8,877,1833,8,1841,34,0,34,1456,2,1458,5136,74,5210,10997,304,11301,29774,807,30581,423,4,427,1731,37,1768,71,0,71,1844,12,1856,36852,2535,39387,705,223,928,3026,38,3064,874,5,879,3533,749,4282,54485,3446,57931,165794,8695,174489
2,State,Arunachal Pradesh ,108,3,111,36,1,37,1,0,1,47,0,47,54,2,56,33,0,33,21,2,23,87,0,87,0,0,0,78,0,78,111,1,112,355,1,356,72,0,72,25,0,25,21,0,21,2,0,2,11,0,11,161,0,161,0,0,0,19,0,19,0,0,0,1,0,1,1047,31,1078,2236,39,2275
3,State,Assam,1810,42,1852,398,2,400,50,0,50,614,2,616,1313,10,1323,1098,10,1108,215,0,215,1921,4,1925,53,0,53,1472,0,1472,3300,15,3315,7153,47,7200,11276,218,11494,524,4,528,502,4,506,31,0,31,612,7,619,4513,83,4596,81,12,93,595,0,595,14,2,16,622,48,670,10700,177,10877,47554,677,48231
4,State,Bihar,10326,259,10585,11932,168,12100,1023,99,1122,1941,7,1948,3915,197,4112,1308,157,1465,2607,40,2647,5968,0,5968,1364,25,1389,4906,28,4934,7552,14,7566,18887,322,19209,64119,1280,65399,2398,18,2416,2805,67,2872,85,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101243,2161,103404,238464,4645,243109
5,State,Goa,82,1,83,7,0,7,3,0,3,25,0,25,17,1,18,10,1,11,7,0,7,11,0,11,0,0,0,35,1,36,269,4,273,473,17,490,939,118,1057,35,2,37,43,7,50,4,0,4,26,0,26,344,26,370,1,0,1,21,0,21,5,0,5,13,5,18,1093,48,1141,3446,230,3676
6,State,Gujarat,2954,261,3215,2746,158,2904,19,6,25,417,11,428,1278,75,1353,972,68,1040,306,7,313,853,4,857,18,0,18,1279,23,1302,3695,143,3838,9730,362,10092,13176,763,13939,2161,104,2265,2636,132,2768,18,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107534,6904,114438,148514,8947,157461
7,State,Haryana,1749,76,1825,1610,31,1641,387,51,438,470,7,477,513,21,534,324,18,342,189,3,192,263,6,269,110,0,110,473,0,473,2286,7,2293,3692,23,3715,3471,169,3640,266,2,268,705,20,725,2,0,2,276,3,279,13497,284,13781,501,86,587,599,22,621,498,59,557,1080,206,1286,19492,198,19690,51940,1271,53211
8,State,Himachal Pradesh,236,33,269,201,23,224,11,0,11,178,15,193,146,13,159,87,10,97,59,3,62,19,3,22,0,0,0,27,0,27,458,23,481,541,29,570,2670,454,3124,114,0,114,163,7,170,0,0,0,154,31,185,1935,440,2375,10,8,18,375,13,388,21,0,21,264,142,406,7283,1131,8414,14806,2365,17171
9,State,Jammu & Kashmir,178,2,180,924,14,938,22,0,22,110,0,110,271,2,273,257,2,259,14,0,14,37,0,37,0,0,0,118,0,118,546,1,547,1889,8,1897,2199,132,2331,143,0,143,130,0,130,0,0,0,112,7,119,549,12,561,5,0,5,291,10,301,151,0,151,77,2,79,6619,982,7601,14371,1172,15543
10,State,Karnataka ,3980,227,4207,4094,107,4201,112,7,119,407,9,416,666,123,789,275,106,381,391,17,408,1080,7,1087,27,0,27,1065,3,1068,3558,26,3584,7448,185,7633,49585,3306,52891,460,4,464,1270,45,1315,52,1,53,570,13,583,36812,2170,38982,242,105,347,1676,67,1743,150,0,150,2476,283,2759,49572,2940,52512,165302,9628,174930
11,State,Kerala,1144,49,1193,2435,40,2475,54,1,55,304,1,305,230,8,238,133,8,141,97,0,97,460,0,460,65,0,65,280,3,283,2387,6,2393,2729,61,2790,45202,867,46069,313,13,326,1311,40,1351,92,0,92,559,3,562,25242,393,25635,35,2,37,994,3,997,27,0,27,997,154,1151,50481,896,51377,135341,2540,137881
12,State,Madhya Pradesh,7823,288,8111,8788,208,8996,515,101,616,4393,77,4470,1780,46,1826,1585,44,1629,195,2,197,752,0,752,497,0,497,2503,8,2511,10823,196,11019,17325,462,17787,28253,545,28798,789,1,790,1768,56,1824,13,0,13,1898,29,1927,49231,1797,51028,836,229,1065,8363,0,8363,1049,0,1049,4795,956,5751,143857,2650,146507,296051,7649,303700
13,State,Maharashtra,5591,642,6233,4167,250,4417,158,56,214,1806,66,1872,1586,117,1703,991,74,1065,595,43,638,2976,244,3220,480,0,480,3529,31,3560,10179,298,10477,23397,1156,24553,38576,3685,42261,2045,35,2080,3428,109,3537,24,2,26,1741,49,1790,59991,3482,63473,1360,388,1748,4055,32,4087,1037,5,1042,19609,5101,24710,63418,4616,68034,249153,20364,269517
14,State,Manipur,127,6,133,17,1,18,4,0,4,9,0,9,65,5,70,44,4,48,21,1,22,22,0,22,0,0,0,17,0,17,26,0,26,132,4,136,37,0,37,7,0,7,41,0,41,11,1,12,9,0,9,193,1,194,0,0,0,22,0,22,0,0,0,0,0,0,559,21,580,1298,39,1337
15,State,Meghalaya,108,4,112,14,0,14,5,0,5,18,0,18,21,0,21,6,0,6,15,0,15,234,0,234,18,0,18,101,0,101,105,0,105,369,2,371,167,0,167,16,0,16,20,0,20,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976,1,977,2177,7,2184
16,State,Mizoram,35,0,35,39,1,40,2,0,2,52,0,52,4,0,4,0,0,0,4,0,4,8,0,8,0,0,0,16,0,16,115,0,115,480,0,480,0,0,0,15,4,19,57,1,58,9,2,11,26,0,26,68,0,68,0,0,0,31,0,31,0,0,0,0,0,0,235,29,264,1192,37,1229
17,State,Nagaland,75,1,76,35,1,36,5,0,5,31,0,31,22,7,29,5,2,7,17,5,22,45,0,45,0,0,0,102,2,104,169,8,177,208,5,213,15,0,15,13,1,14,27,0,27,4,0,4,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,378,30,408,1155,55,1210
18,State,Orissa,1754,78,1832,3657,48,3705,154,3,157,644,1,645,556,9,565,556,9,565,0,0,0,1161,3,1164,0,0,0,1326,14,1340,4612,29,4641,7863,70,7933,14904,212,15116,340,3,343,501,4,505,24,0,24,793,10,803,5880,147,6027,305,95,400,2324,0,2324,103,0,103,967,153,1120,41249,1039,42288,89117,1918,91035
19,State,Punjab,1073,109,1182,826,24,850,123,9,132,173,17,190,275,27,302,164,20,184,111,7,118,37,0,37,119,0,119,82,1,83,609,17,626,1056,30,1086,41,0,41,166,5,171,881,48,929,6,0,6,60,0,60,5063,97,5160,272,95,367,99,0,99,14,2,16,274,91,365,4846,42,4888,16095,614,16709
20,State,Rajasthan,2563,201,2764,4528,207,4735,182,2,184,1083,16,1099,1858,132,1990,1597,118,1715,261,14,275,323,2,325,36,0,36,1256,22,1278,3988,107,4095,6031,241,6272,59587,4955,64542,512,16,528,1981,90,2071,13,0,13,951,51,1002,19107,1386,20493,434,168,602,2120,8,2128,71,0,71,3616,841,4457,88969,5370,94339,199209,13815,213024
21,State,Sikkim ,12,3,15,20,3,23,2,0,2,4,0,4,14,3,17,14,2,16,0,1,1,31,0,31,0,0,0,4,0,4,42,1,43,85,4,89,143,14,157,20,2,22,3,0,3,3,0,3,0,0,0,102,9,111,0,0,0,34,2,36,0,0,0,0,0,0,169,11,180,688,52,740
22,State,Tamil Nadu,4922,183,5105,6088,151,6239,26,0,26,369,2,371,1016,80,1096,855,80,935,161,0,161,449,2,451,7,0,7,755,4,759,3885,235,4120,13400,347,13747,44303,3430,47733,271,5,276,760,28,788,59,0,59,1234,51,1285,24884,2021,26905,128,46,174,1693,0,1693,1118,0,1118,306,105,411,77571,5925,83496,183244,12615,195859
23,State,Tripura,261,2,263,79,0,79,0,0,0,62,5,67,220,6,226,180,2,182,40,4,44,176,0,176,27,0,27,130,0,130,383,0,383,356,12,368,819,0,819,11,0,11,14,0,14,6,0,6,26,0,26,509,11,520,13,0,13,107,0,107,1,0,1,91,12,103,751,21,772,4042,69,4111
24,State,Uttar Pradesh,19959,14,19973,18290,120,18410,3385,31,3416,2724,7,2731,6419,207,6626,3679,170,3849,2740,37,2777,4474,7,4481,916,0,916,5705,0,5705,7912,15,7927,17358,214,17572,46938,516,47454,2259,4,2263,3126,16,3142,257,0,257,2474,1,2475,45887,472,46359,4864,861,5725,3563,18,3581,149,5,154,7516,816,8332,82403,887,83290,286578,4211,290789
25,State,West Bengal ,4638,107,4745,1293,55,1348,1105,29,1134,1182,0,1182,1364,73,1437,1100,49,1149,264,24,288,1951,3,1954,1358,0,1358,1350,3,1353,1271,3,1274,18180,107,18287,31660,577,32237,587,6,593,1273,15,1288,57,0,57,282,0,282,6047,31,6078,269,44,313,1405,0,1405,35,0,35,6176,448,6624,35071,529,35600,116554,2030,118584
Total (States),State,Total (States),78937,2879,81816,75172,1669,76841,7532,398,7930,18109,268,18377,25016,1243,26259,15817,1025,16842,9199,218,9417,25171,293,25464,5129,25,5154,28065,145,28210,73417,1223,74640,170134,4013,174147,487926,22048,509974,13913,233,14146,25197,726,25923,848,7,855,13658,267,13925,336893,15397,352290,10061,2362,12423,31412,213,31625,5317,78,5395,52413,10112,62525,950001,40085,990086,2434321,103684,2538005
26,UT,A & N Islands,13,5,18,6,0,6,0,0,0,8,0,8,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,29,2,31,27,0,27,96,4,100,0,0,0,2,0,2,0,0,0,2,2,4,97,11,108,0,0,0,15,0,15,0,0,0,1,0,1,112,5,117,416,29,445
27,UT,Chandigarh,26,3,29,86,5,91,10,0,10,7,0,7,50,1,51,25,1,26,25,0,25,0,0,0,0,0,0,10,0,10,131,2,133,421,6,427,297,16,313,58,0,58,131,4,135,1,0,1,14,0,14,183,9,192,1,0,1,12,1,13,8,0,8,35,8,43,1035,368,1403,2516,423,2939
28,UT,D & N Haveli,10,0,10,19,0,19,0,0,0,1,0,1,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,1,0,1,11,0,11,38,1,39,126,2,128,1,0,1,1,0,1,0,0,0,2,0,2,76,13,89,1,0,1,6,0,6,0,0,0,9,4,13,269,15,284,580,35,615
29,UT,Daman & Diu,4,0,4,3,0,3,0,0,0,2,0,2,17,0,17,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,11,0,11,22,0,22,105,19,124,7,0,7,10,1,11,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,9,106,278,29,307
30,UT,Delhi,823,37,860,923,17,940,114,5,119,445,6,451,635,10,645,411,10,421,224,0,224,142,4,146,46,0,46,785,22,807,1139,40,1179,6247,211,6458,1534,21,1555,555,36,591,1568,75,1643,12,0,12,49,0,49,4156,0,4156,366,39,405,704,0,704,485,0,485,217,99,316,19349,1098,20447,40294,1720,42014
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
32,UT,Pondicherry,49,2,51,30,2,32,4,0,4,2,0,2,11,1,12,4,0,4,7,1,8,6,0,6,0,0,0,12,1,13,64,0,64,160,5,165,296,2,298,3,1,4,11,0,11,0,0,0,16,0,16,561,29,590,8,8,16,17,0,17,6,0,6,0,1,1,1997,107,2104,3253,159,3412
Total (UTs),UT,Total (UTs),925,47,972,1067,24,1091,128,5,133,465,6,471,726,12,738,453,11,464,273,1,274,148,4,152,46,0,46,812,23,835,1385,44,1429,6917,223,7140,2454,64,2518,624,37,661,1723,80,1803,13,0,13,83,2,85,5073,62,5135,376,47,423,754,1,755,499,0,499,262,112,374,22859,1602,24461,47339,2395,49734
