SI.No ,State/UT,District ,Murder ,Attempt to Commit Murder ,C.H. Not Amounting to Murder ,Rape ,Kidnapping & Abduction - Total ,Kidnapping & Abduction - of Women & Girls  ,Kidnapping & Abduction - Of Others ,Dacoity ,Preparation and Assembly for Dacoity ,Robbery ,Burglary ,Theft,Riots ,Criminal Breach of Trust ,Cheating ,Counterfeiting ,Arson ,Hurt/Grievous Hurt,Dowry Death,Molestation ,Sexual Harassment ,Cruelty by Husband and Relatives ,Others IPC Crimes ,Total Cog. Under IPC 
1,Andhra Pradesh,Adilabad ,79,40,7,43,48,38,10,38,0,58,207,262,108,22,46,3,0,775,6,95,0,0,1839,3676
2,Andhra Pradesh,Anantpur ,162,0,0,22,28,16,12,49,0,33,160,344,414,2,24,14,0,897,11,74,0,43,1320,3597
3,Andhra Pradesh,Chittoor ,126,6,2,36,55,31,24,33,0,37,213,722,299,20,102,26,3,805,1,13,1,8,2392,4900
4,Andhra Pradesh,Cuddapah,116,83,0,17,25,19,6,14,0,9,129,176,267,3,25,6,50,601,11,60,5,9,1308,2914
5,Andhra Pradesh,Godavari East ,78,78,1,37,50,12,38,9,0,17,320,1070,130,38,199,2,120,969,11,218,71,132,1871,5421
6,Andhra Pradesh,Godavari west,57,60,2,39,50,27,23,13,0,16,242,765,83,27,128,1,45,691,17,280,122,255,1518,4411
7,Andhra Pradesh,Guntur,195,144,0,79,62,50,12,15,3,40,278,661,258,52,137,12,104,1693,11,150,48,172,1384,5498
8,Andhra Pradesh,Hyderabad,92,77,3,41,76,42,34,9,0,51,1196,2897,252,107,535,3,9,583,36,38,8,241,2943,9197
9,Andhra Pradesh,Karimnagar,147,73,3,58,100,69,31,46,0,112,250,465,332,16,155,3,63,1153,50,238,24,308,1553,5149
10,Andhra Pradesh,Khammam,91,38,2,31,40,19,21,9,0,22,158,251,116,11,53,3,54,661,8,128,0,218,1234,3128
11,Andhra Pradesh,Krishna,103,107,3,68,61,41,20,7,0,28,398,1149,120,36,203,15,96,1794,30,138,22,211,1888,6477
12,Andhra Pradesh,Kurnool,211,97,2,22,33,21,12,27,0,25,138,241,189,14,45,2,34,749,6,89,37,36,1378,3375
13,Andhra Pradesh,Mahaboob Nagar,152,39,24,42,32,18,14,60,0,59,262,401,261,7,34,6,79,977,14,104,0,70,3072,5695
14,Andhra Pradesh,Medak,93,46,3,35,59,17,42,31,1,62,412,618,232,25,36,1,77,1546,22,82,19,115,925,4440
15,Andhra Pradesh,Nalgonda,97,25,8,43,21,18,3,9,0,25,130,322,289,14,40,2,0,1040,5,162,43,76,2115,4466
16,Andhra Pradesh,Nellore,84,83,3,45,59,56,3,31,0,27,239,594,258,10,59,0,9,1077,15,95,0,98,1675,4461
