SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,66688,59,66747,99.9,0.1
2,Narcotic Drugs & Psychotropic Substances Act,21171,1051,22222,95.3,4.7
3,Gambling Act ,284379,220,284599,99.9,0.1
4,Excise Act,121724,5739,127463,95.5,4.5
5,Prohibition Act,509534,141254,650788,78.3,21.7
6,Explosive & Explosive Substances Act,5839,35,5874,99.4,0.6
7,Immoral Traffic (P) Act,1701,9849,11550,14.7,85.3
8,Indian Railways Act,35438,539,35977,98.5,1.5
9,Registration of Foreigners Act,2519,88,2607,96.6,3.4
10,Protection Of Civil Rights Act,7479,268,7747,96.5,3.5
11,Indian Passport Act,1182,51,1233,95.9,4.1
12,Essential Commodities Act,5990,70,6060,98.8,1.2
13,Terrorist & Disruptive Actvites Act,1274,6,1280,99.5,0.5
14,Antiquity & Art Treasure Act,81,0,81,100,0
15,Dowry Prohibition Act,6072,1360,7432,81.7,18.3
16,Child Marriage Restraint Act,96,19,115,83.5,16.5
17,Indecent Representation of Women (P)Act,493,73,566,87.1,12.9
18,Copy Right Act,941,16,957,98.3,1.7
19,Sati Prevention Act,0,0,0,NA,NA
20,SC/ST (Prevention of Atrocities ) Act,32656,1060,33716,96.9,3.1
21,Forest Act,8598,157,8755,98.2,1.8
22,Other SLL Crimes ,3297896,67647,3365543,98,2
23,Total Cognizable Crimes Under SLL,4411751,229561,4641312,95.1,4.9
