SL. No.,State/UT/City,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Child Mariage Restaint Act - Male,Child Mariage Restaint Act - Female,Child Mariage Restaint Act - Total,Indecent Representation of Women (Prohibition) Act - Male,Indecent Representation of Women (Prohibition) Act - Female,Indecent Representation of Women (Prohibition) Act - Total,Copy Right Act - Male,Copy Right Act - Female,Copy Right Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST (Prevention of Atrocities) Act - Male,SC/ST (Prevention of Atrocities) Act - Female,SC/ST (Prevention of Atrocities) Act - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total
1,State,Andhra Pradesh ,785,0,785,728,76,804,48841,22,48863,26979,928,27907,12487,920,13407,1330,14,1344,178,900,1078,8,0,8,8,0,8,610,18,628,0,0,0,57,0,57,26,0,26,5,0,5,251,16,267,6,2,8,302,67,369,80,12,92,0,0,0,1454,142,1596,173,29,202,645745,12332,658077,740053,15478,755531
2,State,Arunachal Pradesh ,39,0,39,17,0,17,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,107,0,107
3,State,Assam,487,0,487,178,2,180,459,0,459,356,14,370,15,0,15,36,0,36,27,7,34,7,0,7,13,0,13,0,0,0,156,20,176,28,0,28,289,0,289,0,0,0,114,3,117,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,35,0,35,1091,46,1137,3292,92,3384
4,State,Bihar,5165,10,5175,351,8,359,1765,2,1767,2999,102,3101,3,0,3,668,3,671,89,23,112,155,0,155,55,3,58,134,0,134,0,0,0,290,0,290,18,1,19,52,0,52,2334,548,2882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1944,38,1982,16022,738,16760
5,State,Goa,7,0,7,20,0,20,675,0,675,0,0,0,0,0,0,10,1,11,9,140,149,83,0,83,16,1,17,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0,572,86,658,1401,228,1629
6,State,Gujarat,891,1,892,390,16,406,25406,16,25422,0,0,0,116601,51133,167734,83,0,83,19,3,22,1886,38,1924,22,4,26,517,29,546,254,0,254,497,2,499,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55386,4955,60341,201952,56197,258149
7,State,Haryana,1249,0,1249,1219,47,1266,4643,0,4643,16377,30,16407,0,0,0,23,0,23,1,0,1,2530,2,2532,2,1,3,14,0,14,2,0,2,224,0,224,5,0,5,0,0,0,0,0,0,4,0,4,0,0,0,10,0,10,0,0,0,6,0,6,0,0,0,1834,8,1842,28143,88,28231
8,State,Himachal Pradesh,29,0,29,97,5,102,249,1,250,3711,954,4665,0,0,0,15,2,17,4,13,17,0,0,0,13,1,14,24,6,30,0,0,0,24,1,25,0,0,0,0,0,0,15,6,21,18,4,22,0,0,0,1,0,1,0,0,0,71,6,77,540,22,562,154,0,154,4965,1021,5986
9,State,Jammu & Kashmir,514,0,514,77,0,77,34,0,34,1,0,1,58,0,58,0,0,0,0,0,0,1,0,1,63,0,63,8,0,8,17,0,17,409,0,409,686,0,686,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,83,0,83,242,0,242,2198,0,2198
10,State,Karnataka ,162,0,162,270,11,281,19102,10,19112,2167,60,2227,0,0,0,111,5,116,394,2475,2869,10,0,10,260,19,279,1595,70,1665,19,0,19,371,2,373,125,0,125,17,0,17,531,200,731,0,0,0,0,0,0,27,0,27,0,0,0,3543,111,3654,735,0,735,841877,3318,845195,871316,6281,877597
