SL. No.,Category,State/UT,Total No. Persons Under Arrested* Including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Chargesheeted,Number of - Persons Under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh ,216510,5350,157357,53803,24.9,10.4
2,State,Arunachal Pradesh ,2973,761,1676,536,18,0.1
3,State,Assam,87608,17086,28509,42013,48,8.2
4,State,Bihar,308998,31265,177565,100168,32.4,19.5
5,State,Goa,4539,633,2927,979,21.6,0.2
6,State,Gujarat,179037,909,159780,18348,10.2,3.6
7,State,Haryana,56595,169,51179,5247,9.3,1
8,State,Himachal Pradesh,20535,443,17007,3085,15,0.6
9,State,Jammu & Kashmir,15995,230,15324,441,2.8,0.1
10,State,Karnataka ,200451,21720,152339,26392,13.2,5.1
11,State,Kerala,175644,5603,139861,30180,17.2,5.9
12,State,Madhya Pradesh,308105,359,302707,5039,1.6,1
13,State,Maharashtra,300372,6011,260146,34215,11.4,6.6
14,State,Manipur,2714,1345,141,1228,45.2,0.2
15,State,Meghalaya,4137,737,1681,1719,41.6,0.3
16,State,Mizoram,1626,4,701,921,56.6,0.2
17,State,Nagaland,2214,129,814,1271,57.4,0.2
18,State,Orissa,91667,338,90356,973,1.1,0.2
19,State,Punjab,25534,940,16719,7875,30.8,1.5
20,State,Rajasthan,249239,438,240591,8210,3.3,1.6
21,State,Sikkim ,1343,482,559,302,22.5,0.1
22,State,Tamil Nadu,273288,22796,178468,72024,26.4,14
23,State,Tripura,8223,2905,2125,3193,38.8,0.6
24,State,Uttar Pradesh,326286,21990,270696,33600,10.3,6.5
25,State,West Bengal ,187492,39691,94957,52844,28.2,10.3
Total (States),State,Total (States),3051125,182334,2364185,504606,16.5,98
26,UT,A & N Islands,685,0,430,255,37.2,0
27,UT,Chandigarh,3549,235,1921,1393,39.3,0.3
28,UT,D & N Haveli,672,0,587,85,12.3,0
29,UT,Daman & Diu,445,5,206,234,52.6,0
30,UT,Delhi,47771,2068,37658,8045,16.8,1.6
31,UT,Lakshadweep,12,0,6,6,50,0
32,UT,Pondicherry,3622,4,3305,313,8.6,0.1
Total (UTs),UT,Total (UTs),56756,2312,44113,10331,18.2,2
Total (All-India),Total (All-India),Total (All-India),3107881,184646,2408298,514937,16.6,100
