SL. No.,Event,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,257,56,356,1,533
2,Anti-Dacoity Operations,182,61,46,0,83
3,Against Extremists and Terrorists,263,121,50,34,50
4,Against Others,203,55,118,3,127
Total,Total,905,293,570,38,793
