SL. No.,Category,State/UT/City,Residental Premises - Number,Residental Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh ,5272,626.5,72,4.7,0,0,1,0,12,0.3,362,60.9,735,75.3,6454,767.6
2,State,Arunachal Pradesh ,76,14.6,1,0.2,0,0,0,0,1,0.6,20,3.5,33,5.7,131,24.6
3,State,Assam,2296,92.3,0,1.2,0,0,0,0,0,0,595,70.1,583,113.8,3474,277.3
4,State,Bihar,5798,201,0,0,0,0,21,0.1,1,0.1,136,13.3,772,41.7,6728,256.2
5,State,Goa,320,63.9,0,0,0,0,1,0,3,1.7,131,34.2,160,40.1,615,140.1
6,State,Gujarat,4394,751.7,0,0,2,0.1,0,0,8,0,530,133.8,1503,232.3,6437,1117.9
7,State,Haryana,2389,333.9,0,0,0,0,2,0,3,0,365,55.3,310,32.1,3069,421.3
8,State,Himachal Pradesh,558,52.7,6,2.3,0,0,0,0,9,0.2,237,21.4,237,19.7,1047,96.3
9,State,Jammu & Kashmir,1321,154.5,0,0,0,0,0,0,0,0,363,23.4,69,39.8,1753,217.7
10,State,Karnataka ,7679,604.8,1,0,1,0.1,7,0.1,18,0.1,1350,192.9,1179,160.4,10235,958.4
11,State,Kerala,2229,386.8,3,0.2,1,0.1,0,0,12,0.2,790,175,1379,136.4,4414,698.7
12,State,Madhya Pradesh,14110,758,240,8,8,0.9,7,0.2,14,6.6,956,98.2,2738,172.4,18073,1044.2
13,State,Maharashtra,13153,1896.6,1,0.3,0,0,9,0.6,49,31.9,1393,593.2,1699,644.4,16304,3167
14,State,Manipur,86,15.2,0,0,0,0,0,0,0,0,5,2.8,20,1.6,111,19.5
15,State,Meghalaya,102,5.5,0,0,0,0,0,0,1,0,42,6.6,12,0.6,157,12.7
16,State,Mizoram,324,7.2,0,0,0,0,0,0,0,0,0,0,0,0,324,7.2
17,State,Nagaland,88,14.3,0,0,0,0,0,0,0,0,89,18.9,66,231.3,243,264.5
18,State,Orissa,4003,618.2,0,0,0,0,0,0,0,0,9,2.9,465,31.3,4477,652.4
19,State,Punjab,762,264.9,0,0,0,0,0,0,7,0,78,29.6,170,70.9,1017,365.4
20,State,Rajasthan,6380,696.5,0,0,0,0,2,0,3,0.8,690,51.1,1265,39.1,8340,787.5
21,State,Sikkim ,56,4.2,0,0,0,0,0,0,0,0,21,1.5,12,0.1,89,5.8
22,State,Tamil Nadu,4448,522.4,12,0.6,0,0,4,0.1,54,34.6,330,50.3,1150,317.2,5998,925.2
23,State,Tripura,285,12.2,0,0,0,0,0,0,0,0,30,1.7,60,1.5,375,15.5
24,State,Uttar Pradesh,12193,1472.9,15,2,0,0,0,0,0,0,153,26.8,1022,136.3,13383,1638
25,State,West Bengal ,436,33.3,0,0,0,0,0,0,0,0,70,16.6,320,12.9,826,62.8
Total (States),State,Total (States),88758,9603.9,351,19.5,12,1.2,54,1.1,195,77,8745,1684,15959,2557.1,114074,13943.8
26,UT,A & N Islands,31,3.1,0,0,0,0,0,0,0,0,8,1.3,18,1.8,57,6.1
27,UT,Chandigarh,138,19.3,0,0,0,0,0,0,0,0,37,7.8,14,3.4,189,30.5
28,UT,D & N Haveli,29,2.2,0,0,0,0,0,0,0,0,0,0,0,0,29,2.2
29,UT,Daman & Diu,14,3.1,0,0,0,0,0,0,0,0,4,0.7,12,7.6,30,11.3
30,UT,Delhi,1025,249.4,89,19.3,0,0,0,0,0,0,47,9.7,878,243.7,2039,522.1
31,UT,Lakshadweep,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.1
32,UT,Pondicherry,56,7.7,0,0,0,0,0,0,0,0,21,11.6,9,3.2,86,22.5
Total (UTs),UT,Total (UTs),1295,284.8,89,19.3,0,0,0,0,0,0,117,31,932,259.6,2433,594.7
Total (All-India),Total (All-India),Total (All-India),90053,9888.7,440,38.8,12,1.2,54,1.1,195,77,8862,1715,16891,2816.7,116507,14538.5
33,City,Ahmedabad ,752,242.2,0,0,0,0,0,0,0,0,134,43.9,98,14.1,984,300.2
34,City,Bangalore ,1861,159.5,0,0,0,0,0,0,2,0,450,42.3,347,81.2,2660,282.9
35,City,Bhopal,460,55.1,0,0,0,0,0,0,0,0,55,5,21,2.1,536,62.1
36,City,Bombay,1841,571.2,0,0,0,0,0,0,8,18.2,675,415.6,434,489.4,2958,1494.4
37,City,Calcutta,103,23.9,0,0,0,0,0,0,0,0,58,16,8,1.8,169,41.7
38,City,Coimbatore,138,17.3,0,0,0,0,0,0,0,0,26,3.1,19,1.3,183,21.8
39,City,Delhi,925,238.6,77,18,0,0,0,0,0,0,41,9.5,714,232.7,1757,498.8
40,City,Hyderabad,1196,168.2,0,0,0,0,0,0,0,0,0,0,0,0,1196,168.2
41,City,Indore,66,4.8,0,0,0,0,0,0,0,0,92,9,608,73.9,766,87.8
42,City,Jaipur,814,112.4,0,0,0,0,0,0,0,0,115,11.1,46,3.9,975,127.4
43,City,Kanpur,356,53,0,0,0,0,0,0,0,0,0,0,120,0.4,476,53.4
44,City,Kochi,132,25.9,0,0,1,0.1,0,0,3,0,48,16.7,51,8.8,235,51.5
45,City,Lucknow,594,67,0,0,0,0,0,0,0,0,0,0,59,6.2,653,73.2
46,City,Ludhiana,60,29.7,0,0,0,0,0,0,0,0,10,4.8,3,3.5,73,38
47,City,Madras,405,44.4,0,0,0,0,0,0,5,0,10,1,61,90.2,481,135.6
48,City,Madurai,84,13.6,0,0,0,0,0,0,0,0,12,1.6,44,4.1,140,19.3
49,City,Nagpur,774,83.6,0,0,0,0,0,0,3,0,142,18.9,51,1.7,970,104.2
50,City,Patna,306,2,0,0,0,0,10,0.1,0,0,0,0,15,0.1,331,2.2
51,City,Pune,591,123,0,0,0,0,0,0,8,0.1,145,51.1,94,14.1,838,188.4
52,City,Surat,308,82.9,0,0,0,0,0,0,1,0,25,14.5,188,44.9,522,142.3
53,City,Vadodra,379,68.7,0,0,0,0,0,0,1,0,12,6.9,20,19.5,412,95.1
54,City,Varanasi,47,7,0,0,0,0,0,0,0,0,3,0.6,114,22.6,164,30.1
55,City,Vishakhapatnam,188,15.5,0,0,0,0,0,0,0,0,32,20.2,50,4.8,270,40.5
