SL. No.,Category,State/UT/City,Residental Premises - Number,Residental Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh ,338,124.2,140,44.7,0,0,2,0,0,0,5,3.7,70,24.6,555,197.2
2,State,Arunachal Pradesh ,11,7.3,1,1.5,0,0,0,0,1,3.9,6,3.2,18,16,37,31.9
3,State,Assam,433,112.7,80,19.9,3,4.6,0,0,9,9.1,73,20.8,176,111.9,774,279
4,State,Bihar,1654,226.6,363,134.3,3,0.4,123,17.8,13,10.4,45,16.8,365,42,2566,448.3
5,State,Goa,0,0,0,0,1,0.5,0,0,0,0,0,0,3,0.6,4,1.1
6,State,Gujarat,124,78,44,62.4,0,0,4,0.2,1,0.3,28,139.1,108,135.5,309,415.5
7,State,Haryana,20,20.8,20,57.9,0,0,0,0,0,0,4,1.1,27,12.8,71,92.6
8,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,2,0.3
9,State,Jammu & Kashmir,7,7.8,4,23.2,0,0,0,0,0,0,7,3.2,29,34.5,47,68.7
10,State,Karnataka ,144,61.7,25,79.1,0,0,15,1.3,1,1.1,17,2.2,102,26.7,304,172.1
11,State,Kerala,27,14.7,15,4.7,0,0,0,0,1,0.7,6,21,48,97,97,138.2
12,State,Madhya Pradesh,86,36.5,22,14.3,0,0,5,2.9,1,6.3,9,9.4,37,20.5,160,89.9
13,State,Maharashtra,221,174.7,118,147.7,0,0,15,5.9,1,5.6,59,247.9,284,215.2,698,797.1
14,State,Manipur,16,13.7,8,0.4,0,0,0,0,0,0,0,0,2,1.1,26,15.2
15,State,Meghalaya,33,8.7,18,4.7,0,0,0,0,1,0.2,11,6,21,2.9,84,22.5
16,State,Mizoram,0,0,9,0.7,0,0,0,0,0,0,0,0,0,0,9,0.7
17,State,Nagaland,3,0.9,1,1.3,0,0,0,0,0,0,6,2.4,27,23.6,37,28.2
18,State,Orissa,241,151.2,6,0.6,0,0,2,1.1,2,9.3,0,0,33,8.3,284,170.6
19,State,Punjab,11,16.9,1,15,0,0,0,0,0,0,0,0,0,0,12,31.9
20,State,Rajasthan,25,3.3,5,0.4,0,0,0,0,0,0,5,1.5,53,27.5,88,32.7
21,State,Sikkim ,1,0.4,0,0,0,0,0,0,0,0,0,0,2,0,3,0.4
22,State,Tamil Nadu,52,31,26,18.3,0,0,1,0,0,0,6,1.6,49,30.6,134,81.5
23,State,Tripura,92,7,28,8.1,0,0,0,0,1,25.5,14,5.1,48,4.2,183,50
24,State,Uttar Pradesh,849,350.7,185,204.2,10,1.2,28,3.1,1,0.3,10,5.3,244,84.2,1327,649.1
25,State,West Bengal ,136,41.1,78,48.7,1,0.3,55,12.6,9,39.5,48,62,154,52.1,481,256.2
Total (States),State,Total (States),4524,1490,1197,892.2,18,6.9,250,45,42,112.4,359,552.2,1902,972.3,8292,4071
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,1,0.6
29,UT,Daman & Diu,2,3.9,0,0,0,0,0,0,0,0,0,0,2,0.1,4,4
30,UT,Delhi,24,16.2,3,3,0,0,1,1,0,0,1,0.1,7,3.1,36,23.4
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,1,0.6
Total (UTs),UT,Total (UTs),27,20.5,3,3,0,0,1,1,0,0,1,0.1,11,4.4,43,28.9
Total (All-India),Total (All-India),Total (All-India),4551,1510.5,1200,895.2,18,6.9,251,46,42,112.4,360,552.3,1913,976.6,8335,4100
33,City,Ahmedabad ,11,5.6,0,0,0,0,0,0,0,0,4,9.5,12,35.4,27,50.5
34,City,Bangalore ,13,3.4,1,0,0,0,0,0,0,0,8,0.9,14,9.7,36,14.1
35,City,Bhopal,3,0.4,1,0.2,0,0,0,0,0,0,1,0.3,1,5.1,6,6
36,City,Bombay,33,80.1,2,0,0,0,0,0,0,0,46,226.3,50,116.4,131,422.8
