SL. No.,Category,State/UT/City,Total Value Of Property - Stolen,Total Value Of Property - Recovered,Percentage Recovery
1,State,Andhra Pradesh ,2570.2,1239.2,48.2
2,State,Arunachal Pradesh ,167.3,48.6,29
3,State,Assam,1607.3,223.9,13.9
4,State,Bihar,2608.6,411.8,15.8
5,State,Goa,372.5,82.3,22.1
6,State,Gujarat,7909.8,1457.8,18.4
7,State,Haryana,2151.8,1336.9,62.1
8,State,Himachal Pradesh,407.8,180,44.1
9,State,Jammu & Kashmir,856,430.2,50.3
10,State,Karnataka ,3732.1,2042.7,54.7
11,State,Kerala,2182.4,498.1,22.8
12,State,Madhya Pradesh,3923.1,2204.8,56.2
13,State,Maharashtra,30161.7,5974.6,19.8
14,State,Manipur,216.1,64,29.6
15,State,Meghalaya,88.6,25,28.2
16,State,Mizoram,403.7,402.6,99.7
17,State,Nagaland,493,231.4,46.9
18,State,Orissa,2728.7,459.2,16.8
19,State,Punjab,17823.2,1039.3,5.8
20,State,Rajasthan,3059,1706.6,55.8
21,State,Sikkim ,38.2,11.7,30.6
22,State,Tamil Nadu,2642.2,1540.4,58.3
23,State,Tripura,91.8,9.6,10.5
24,State,Uttar Pradesh,8092.2,2325.3,28.7
25,State,West Bengal ,1896.1,506.7,26.7
Total (States),State,Total (States),96223.5,24452.7,25.4
26,UT,A & N Islands,33,5.2,15.8
27,UT,Chandigarh,433,206.7,47.7
28,UT,D & N Haveli,9.5,2.2,23.2
29,UT,Daman & Diu,31.5,2.4,7.6
30,UT,Delhi,9517.1,1007.6,10.6
31,UT,Lakshadweep,1.5,0.1,6.7
32,UT,Pondicherry,56.6,40,70.7
Total (UTs),UT,Total (UTs),10082.2,1264.3,12.5
Total (All-India),Total (All-India),Total (All-India),106305.7,25716.9,24.2
33,City,Ahmedabad ,1913.6,388.5,20.3
34,City,Bangalore ,1409.9,1005.7,71.3
35,City,Bhopal,316.3,197.4,62.4
36,City,Bombay,21382,3796.9,17.8
37,City,Calcutta,1099.2,351.7,32
38,City,Coimbatore,122.9,72.2,58.7
39,City,Delhi,8930.5,987.5,11.1
40,City,Hyderabad,515.9,297,57.6
41,City,Indore,410.4,179.4,43.7
42,City,Jaipur,491.5,233.8,47.6
43,City,Kanpur,430.3,137.3,31.9
44,City,Kochi,206.9,20.8,10.1
45,City,Lucknow,514.9,59.8,11.6
46,City,Ludhiana,243.6,117.2,48.1
47,City,Madras,410.3,265,64.6
48,City,Madurai,103.4,54.2,52.4
49,City,Nagpur,436.1,80.7,18.5
50,City,Patna,223.1,36.6,16.4
51,City,Pune,838.7,262.7,31.3
52,City,Surat,1048.5,164.5,15.7
53,City,Vadodra,424.8,93.6,22
54,City,Varanasi,218.9,27.9,13
55,City,Vishakhapatnam,122.6,50.4,41.1
