SL. No.,Category,State/UT/City,Residental Premises - Number,Residental Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Eastablishments - Number,Commercial Eastablishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh ,7435,664.3,207,19.9,0,0,690,101.3,14,1.3,1073,73.1,5636,377.7,15055,1237.6
2,State,Arunachal Pradesh ,59,18.1,6,0.8,0,0,0,0,0,0,10,3.4,238,54.2,313,76.5
3,State,Assam,4058,188.8,64,9.6,5,0.1,15,0.5,1,1.6,802,141.9,2413,188.5,7358,531
4,State,Bihar,10229,634.1,285,20.6,3,0,1098,76.4,2,0,721,99.5,4906,192.4,17244,1023
5,State,Goa,227,24.6,2,0,3,0.8,4,0.2,0,0,85,10.9,798,141,1119,177.5
6,State,Gujarat,3931,566,67,33.6,15,4.1,514,69.6,21,3.2,1456,200.5,13938,2020.2,19942,2897.2
7,State,Haryana,2038,406.6,0,0,0,0,207,15.2,0,0,324,49.7,2139,712.9,4708,1184.5
8,State,Himachal Pradesh,259,31.7,11,13.3,0,0,2,0,0,0,33,5.2,611,149.5,916,199.7
9,State,Jammu & Kashmir,685,166,78,49.4,0,0,1,0,0,0,227,45.6,1238,193,2229,454
10,State,Karnataka ,4749,503.7,70,29.5,1,0.3,278,24,8,0.1,1513,250.7,12434,1267.7,19053,2075.8
11,State,Kerala,1165,195,84,24.6,19,1.1,67,14.2,8,7.9,334,62.3,1598,506.2,3275,811.3
12,State,Madhya Pradesh,10747,558.1,997,136.1,26,0.9,1158,92.1,14,1.6,1481,90.6,16184,1297.7,30607,2177
13,State,Maharashtra,11221,2758.1,494,81,5,0.2,3032,302,23,6.2,2860,936.8,31658,5154.5,49323,9238.6
14,State,Manipur,180,69.5,19,4.2,0,0,0,0,0,0,10,3.2,112,13.3,321,90.2
15,State,Meghalaya,246,16,4,2.4,2,0,0,0,0,0,60,5.2,139,17.2,451,40.8
16,State,Mizoram,864,336.4,0,0,0,0,0,0,0,0,0,0,0,0,864,336.4
17,State,Nagaland,57,7.7,0,0,0,0,0,0,0,0,42,13.6,179,91.3,278,112.6
18,State,Orissa,5824,1154.2,242,1.9,0,0,373,37.5,3,0.5,31,1.9,1627,226,8100,1422.1
19,State,Punjab,542,251.5,14,3.1,2,0,5,1.3,0,0,73,39.3,738,411.7,1374,706.9
20,State,Rajasthan,6967,813.2,30,28.8,0,0,379,29.3,2,0.1,1403,98.5,7358,1053.8,16139,2023.7
21,State,Sikkim ,44,4.2,0,0,0,0,0,0,1,0.1,12,3.1,68,9,125,16.5
22,State,Tamil Nadu,7025,476.6,393,33.2,27,0.5,225,27,56,23.1,1227,98.6,9953,577,18906,1235.9
23,State,Tripura,318,11.1,2,0.2,0,0,0,0,0,0,56,3.9,200,6.2,576,21.3
24,State,Uttar Pradesh,13316,1092.4,4012,636,0,0,3869,30.3,0,0,646,91.2,14366,1402.3,36209,3252.2
25,State,West Bengal ,10326,510,155,24.7,2,0.1,1748,50.8,87,2.1,1684,130.6,7097,489.8,21099,1208.1
Total (States),State,Total (States),102512,11457.9,7236,1152.9,110,8,13665,871.8,240,47.7,16193,2459.1,135628,16552.9,275584,32550.2
26,UT,A & N Islands,12,0.7,0,0,1,0,0,0,0,0,1,0.2,41,3.4,55,4.4
27,UT,Chandigarh,300,83.2,0,0,0,0,0,0,0,0,29,4.4,487,91.9,816,179.5
28,UT,D & N Haveli,7,0.4,0,0,1,0,0,0,0,0,5,1.9,43,2.8,56,5.1
29,UT,Daman & Diu,6,1,0,0,0,0,0,0,0,0,4,0.5,48,12,58,13.5
30,UT,Delhi,9963,3121.7,996,45.3,0,0,600,41.3,18,0,958,143.7,4732,1560.9,17267,4912.9
31,UT,Lakshadweep,3,0.2,0,0,2,0.1,0,0,0,0,0,0,7,0.6,12,0.9
32,UT,Pondicherry,131,14.6,0,0,0,0,0,0,0,0,24,1.3,303,9.8,458,25.7
Total (UTs),UT,Total (UTs),10422,3221.9,996,45.3,4,0.1,600,41.3,18,0,1021,152,5661,1681.3,18722,5141.9
Total (All-India),Total (All-India),Total (All-India),112934,14679.8,8232,1198.2,114,8.1,14265,913,258,47.7,17214,2611.1,141289,18234.2,294306,37692.2
33,City,Ahmedabad ,753,122.2,0,0,0,0,0,0,6,1.2,199,52.5,3716,452.8,4674,628.7
34,City,Bangalore ,2598,310.3,2,0,0,0,0,0,6,0.1,847,167.7,4934,428.1,8387,906.1
35,City,Bhopal,441,18.3,8,1.8,0,0,0,0,9,1.2,63,5.7,912,192.2,1433,219.2
36,City,Bombay,3636,2166.1,36,10.2,0,0,0,0,15,5.4,1459,715.1,10409,2499.6,15555,5396.3
37,City,Calcutta,2295,373.6,0,0,0,0,0,0,0,0,693,97.6,1969,226.7,4957,697.9
38,City,Coimbatore,88,6.6,0,0,0,0,0,0,0,0,137,13.4,819,46.4,1044,66.5
39,City,Delhi,9297,2998.9,946,44.2,0,0,600,41.3,13,0,908,128.9,4352,1398.5,16116,4611.7
40,City,Hyderabad,2897,329.2,0,0,0,0,0,0,0,0,0,0,0,0,2897,329.2
41,City,Indore,1178,10.9,0,0,0,0,0,0,0,0,128,11.3,1255,270.2,2561,292.4
42,City,Jaipur,2068,284.3,0,0,0,0,0,0,0,0,395,33.4,418,40.2,2881,357.8
43,City,Kanpur,448,25.2,921,130.9,0,0,0,0,0,0,0,0,0,0,1369,156.1
44,City,Kochi,65,6.6,1,0,3,0.2,0,0,1,0.4,25,9.9,124,57,219,74.1
45,City,Lucknow,141,2.2,863,132.8,0,0,0,0,0,0,0,0,1407,76.3,2411,211.2
46,City,Ludhiana,34,19.9,0,0,0,0,0,0,0,0,14,6.9,131,127.6,179,154.4
47,City,Madras,1195,95.2,0,0,0,0,0,0,0,0,43,7.2,1355,79.2,2593,181.6
48,City,Madurai,286,28.2,21,12.1,12,0,0,0,0,0,118,8.6,501,19.5,938,68.4
49,City,Nagpur,388,3,0,0,0,0,0,0,0,0,286,32.7,1990,208.8,2664,244.5
50,City,Patna,1234,191.3,27,1,0,0,41,1.5,0,0,0,0,52,2.1,1354,195.9
51,City,Pune,323,57.1,0,0,0,0,0,0,4,0.6,243,69.7,1443,261.9,2013,389.2
52,City,Surat,507,106.7,1,1,1,0,0,0,5,1,77,16.2,1121,198.3,1712,323.3
53,City,Vadodra,279,34.4,0,0,0,0,0,0,0,0,233,39.4,865,112.2,1377,186
54,City,Varanasi,26,2.9,25,2.5,0,0,0,0,0,0,0,0,304,39.6,355,45
55,City,Vishakhapatnam,193,10.4,0,0,0,0,0,0,0,0,41,2.4,599,28.4,833,41.3
