SL. No.,Category,State/UT/City,Estimated Mid-Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution to All-India,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution to All-India,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution to All-India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution to All-India,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution to All-India,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution to All-India,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution to All-India,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Protection of Civil Rights Act - Percentage Contribution to All-India,SC & ST (Prevention of Attrocities) Act - Incidence,SC & ST (Prevention of Attrocities) Act - Rate,SC & ST (Prevention of Attrocities) Act - Percentage Contribution to All-India,Others Offences- Incidence,Others Offences - Rate,Others Offences - Percentage Contribution to All-India,Total - Incidence,Total - Rate,Total - Percentage Contribution to All-India
1,State,Andhra Pradesh ,717.1,4,0,5.3,42,0.1,6.1,14,0,3.8,3,0,4.1,0,0,0,0,0,0,0,0,0,7,0,9.9,42,0.1,2.8,53,0.1,2,165,0.2,3
2,State,Arunachal Pradesh ,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.1,2,0.2,0
3,State,Assam,246.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,949.1,5,0,6.7,45,0,6.5,14,0,3.8,13,0,17.6,15,0,83.3,14,0,51.9,3,0,7.5,3,0,4.2,15,0,1,105,0.1,4,232,0.2,4.2
5,State,Goa,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,State,Gujarat,446.1,14,0,18.7,94,0.2,13.7,26,0.1,7,13,0,17.6,1,0,5.6,1,0,3.7,4,0,10,0,0,0,77,0.2,5.2,256,0.6,9.6,486,1.1,8.8
7,State,Haryana,180.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,State,Himachal Pradesh,56.1,0,0,0,1,0,0.1,0,0,0,2,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,5,0.1,0.1
9,State,Jammu & Kashmir,85.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.1,0.3,8,0.1,0.1
10,State,Karnataka ,480.5,3,0,4,25,0.1,3.6,3,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,19.7,22,0,1.5,29,0.1,1.1,96,0.2,1.7
11,State,Kerala,309.1,0,0,0,50,0.2,7.3,13,0,3.5,0,0,0,0,0,0,1,0,3.7,1,0,2.5,2,0,2.8,80,0.3,5.4,38,0.1,1.4,185,0.6,3.4
12,State,Madhya Pradesh,721.4,18,0,24,203,0.3,29.5,211,0.3,57.2,25,0,33.8,0,0,0,4,0,14.8,11,0,27.5,5,0,7,139,0.2,9.4,1074,1.5,40.4,1690,2.3,30.7
13,State,Maharashtra,859.1,16,0,21.3,88,0.1,12.8,34,0,9.2,10,0,13.5,2,0,11.1,2,0,7.4,4,0,10,23,0,32.4,109,0.1,7.4,217,0.3,8.2,505,0.6,9.2
14,State,Manipur,20.3,0,0,0,0,0,0,1,0,0.3,1,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0
15,State,Meghalaya,19.6,1,0.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,2.5,0,0,0,0,0,0,0,0,0,2,0.1,0
16,State,Mizoram,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Nagaland,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,342.7,1,0,1.3,39,0.1,5.7,7,0,1.9,4,0,5.4,0,0,0,3,0,11.1,2,0,5,0,0,0,63,0.2,4.3,24,0.1,0.9,143,0.4,2.6
19,State,Punjab,216,0,0,0,1,0,0.1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,1,0,0,4,0,0.1
20,State,Rajasthan,482.1,10,0,13.3,71,0.1,10.3,43,0.1,11.7,3,0,4.1,0,0,0,1,0,3.7,8,0,20,4,0,5.6,848,1.8,57.3,796,1.7,30,1784,3.7,32.4
21,State,Sikkim ,4.7,1,0.2,1.3,7,1.5,1,0,0,0,0,0,0,0,0,0,1,0.2,3.7,1,0.2,2.5,0,0,0,0,0,0,30,6.4,1.1,40,8.5,0.7
22,State,Tamil Nadu,582.9,1,0,1.3,21,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15.5,3,0,0.2,4,0,0.2,40,0.1,0.7
23,State,Tripura,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,1501.2,1,0,1.3,1,0,0.1,1,0,0.3,0,0,0,0,0,0,0,0,0,5,0,12.5,2,0,2.8,79,0.1,5.3,16,0,0.6,105,0.1,1.9
25,State,West Bengal ,732.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),State,Total (States),9027.2,75,0,100,688,0.1,100,368,0,99.7,74,0,100,18,0,100,27,0,100,40,0,100,71,0,100,1478,0.2,99.9,2655,0.3,100,5494,0.6,99.9
26,UT,A & N Islands,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.3,0.1,1,0.6,0,3,1.9,0.1
29,UT,Daman & Diu,1.1,0,0,0,0,0,0,1,0.9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0
30,UT,Delhi,109.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,UT,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),132.9,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,1,0,0,4,0,0.1
Total (All-India),Total (All-India),Total (All-India),9160.1,75,0,100,688,0.1,100,369,0,100,74,0,100,18,0,100,27,0,100,40,0,100,71,0,100,1480,0.2,100,2656,0.3,100,5498,0.6,100
