SL. No.,Category,State/UT/City,Estimated Mid-Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution to All-India,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution to All-India,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution to All-India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution to All-India,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution to All-India,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution to All-India,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution to All-India,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Protection of Civil Rights Act - Percentage Contribution to All-India,SC & ST (Prevention) of Attrocities Act - Incidence,SC & ST (Prevention) of Attrocities Act - Rate,SC & ST (Prevention) of Attrocities Act - Percentage Contribution to All-India,Others Offences- Incidence,Others Offences - Rate,Others Offences - Percentage Contribution to All-India,Total - Incidence,Total - Rate,Total - Percentage Contribution to All-India
1,State,Andhra Pradesh ,705.3,3,0,2.9,33,0,4.7,22,0,5.7,4,0,6.3,0,0,0,0,0,0,0,0,0,10,0,15.9,42,0.1,3.2,79,0.1,3.4,193,0.3,3.8
2,State,Arunachal Pradesh ,9.4,0,0,0,2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0
3,State,Assam,241.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,929.3,2,0,1.9,41,0,5.9,11,0,2.9,1,0,1.6,3,0,37.5,2,0,25,1,0,2.8,1,0,1.6,6,0,0.5,35,0,1.5,103,0.1,2.1
5,State,Goa,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,State,Gujarat,438.5,35,0.1,33.3,88,0.2,12.6,29,0.1,7.5,6,0,9.4,0,0,0,1,0,12.5,3,0,8.3,4,0,6.3,67,0.2,5.1,197,0.4,8.4,430,1,8.6
7,State,Haryana,177.1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,State,Himachal Pradesh,55.1,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,State,Jammu & Kashmir,83.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka ,473.7,5,0,4.8,9,0,1.3,2,0,0.5,0,0,0,1,0,12.5,0,0,0,0,0,0,14,0,22.2,16,0,1.2,20,0,0.9,67,0.1,1.3
11,State,Kerala,304.9,1,0,1,40,0.1,5.7,12,0,3.1,0,0,0,0,0,0,0,0,0,1,0,2.8,2,0,3.2,55,0.2,4.2,37,0.1,1.6,148,0.5,2.9
12,State,Madhya Pradesh,707.8,25,0,23.8,212,0.3,30.3,221,0.3,57.4,38,0.1,59.4,0,0,0,1,0,12.5,17,0,47.2,1,0,1.6,237,0.3,18,1022,1.4,43.8,1774,2.5,35.3
13,State,Maharashtra,842.7,12,0,11.4,67,0.1,9.6,39,0,10.1,12,0,18.8,2,0,25,0,0,0,1,0,2.8,14,0,22.2,105,0.1,8,194,0.2,8.3,446,0.5,8.9
14,State,Manipur,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Meghalaya,19.2,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
16,State,Mizoram,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Nagaland,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,336.6,2,0,1.9,15,0,2.1,9,0,2.3,1,0,1.6,1,0,12.5,2,0,25,2,0,5.6,4,0,6.3,93,0.3,7.1,54,0.2,2.3,183,0.5,3.6
19,State,Punjab,213.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20,State,Rajasthan,472.5,16,0,15.2,51,0.1,7.3,36,0.1,9.4,2,0,3.1,0,0,0,2,0,25,10,0,27.8,0,0,0,625,1.3,47.5,654,1.4,28,1396,3,27.8
21,State,Sikkim ,4.5,2,0.4,1.9,1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4.2,0.8,22,4.9,0.4
22,State,Tamil Nadu,577.4,0,0,0,120,0.2,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20.6,6,0,0.5,5,0,0.2,144,0.2,2.9
23,State,Tripura,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,1476,2,0,1.9,18,0,2.6,1,0,0.3,0,0,0,1,0,12.5,0,0,0,1,0,2.8,0,0,0,58,0,4.4,16,0,0.7,97,0.1,1.9
25,State,West Bengal ,720.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),State,Total (States),8871.4,105,0,100,699,0.1,100,383,0,99.5,64,0,100,8,0,100,8,0,100,36,0,100,63,0,100,1310,0.1,99.5,2333,0.3,99.9,5009,0.6,99.8
26,UT,A & N Islands,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,1.5,0,0,0,0,0,0,1,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0.5,2,1.3,0.1,9,6,0.2
29,UT,Daman & Diu,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,105.9,0,0,0,0,0,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,UT,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),UT,Total (UTs),128.3,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.5,2,0,0.1,10,0.1,0.2
Total (All-India),Total (All-India),Total (All-India),8999.7,105,0,100,699,0.1,100,385,0,100,64,0,100,8,0,100,8,0,100,36,0,100,63,0,100,1316,0.1,100,2335,0.3,100,5019,0.6,100
