SL. No.,Category,State/UT/City,DG/IG/DIG/SP - Sanctioned,DG/IG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector,SI & A.S.I. - Sanctioned","Inspector,SI & A.S.I. - Actual",Officers Below A.S.I - Sanctioned,Officers Below A.S.I - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh ,180,165,300,287,5641,5155,58971,56173,65092,61780
2,State,Arunachal Pradesh ,22,16,36,29,436,421,2327,2261,2821,2727
3,State,Assam,157,157,161,161,5006,4849,24696,23482,30020,28649
4,State,Bihar,237,220,407,407,12693,12544,49726,49308,63063,62479
5,State,Goa,9,7,17,12,251,206,2020,1795,2297,2020
6,State,Gujarat,112,112,165,165,3368,3368,49419,49419,53064,53064
7,State,Haryana,71,71,117,117,2938,2938,24087,24087,27213,27213
8,State,Himachal Pradesh,64,38,103,103,1189,1144,7288,6501,8644,7786
9,State,Jammu & Kashmir,98,98,174,175,2839,2651,18745,16900,21856,19824
10,State,Karnataka ,141,141,251,215,5402,4896,46087,42973,51881,48225
11,State,Kerala,78,66,184,175,2528,2339,31872,31024,34662,33604
12,State,Madhya Pradesh,267,267,571,571,7975,7975,53964,53964,62777,62777
13,State,Maharashtra,184,184,458,379,14493,14287,111390,101008,126525,115858
14,State,Manipur,42,35,50,35,1092,918,4157,3835,5341,4823
15,State,Meghalaya,31,26,29,25,1077,948,5211,4830,6348,5829
16,State,Mizoram,63,63,87,87,535,529,1817,1739,2502,2418
17,State,Nagaland,43,39,41,41,713,711,6851,6851,7648,7642
18,State,Orissa,148,144,171,162,5355,5178,21712,21287,27386,26771
19,State,Punjab,143,210,282,270,6104,5865,45899,44541,52428,50886
20,State,Rajasthan,245,172,299,225,6001,4890,43872,41451,50417,46738
21,State,Sikkim ,33,33,21,21,261,261,2200,2200,2515,2515
22,State,Tamil Nadu,219,193,493,418,6642,6440,60632,56561,67986,63612
23,State,Tripura,41,31,73,36,1396,1081,6790,5632,8300,6780
24,State,Uttar Pradesh,417,389,758,633,12863,9604,112822,110386,126860,121012
25,State,West Bengal ,172,152,280,247,12514,11532,47872,45379,60838,57310
Total (States),State,Total (States),3217,3029,5528,4996,119312,110730,840427,803587,968484,922342
26,UT,A & N Islands,3,3,12,12,349,330,1774,1724,2138,2069
27,UT,Chandigarh,4,4,9,9,416,411,2187,2095,2616,2519
28,UT,D & N Haveli,1,1,1,1,12,11,219,214,233,227
29,UT,Daman & Diu,1,1,2,2,21,21,227,227,251,251
30,UT,Delhi,54,60,246,235,8583,7682,32185,32239,41068,40216
31,UT,Lakshadweep,1,1,1,1,53,50,294,286,349,338
32,UT,Pondicherry,3,3,12,12,119,99,966,947,1100,1061
Total (UTs),UT,Total (UTs),67,73,283,272,9553,8604,37852,37732,47755,46681
Total (All-India),Total (All-India),Total (All-India),3284,3102,5811,5268,128865,119334,878279,841319,1016239,969023
33,City,Ahmedabad ,15,15,16,15,684,670,6447,6288,7162,6988
34,City,Bangalore ,18,18,45,45,1417,1347,10012,9884,11492,11294
35,City,Bhopal,3,3,17,17,329,311,2659,2603,3008,2934
36,City,Bombay,41,41,98,96,5413,4595,24516,21687,30068,26419
37,City,Calcutta,24,23,94,79,3447,3054,11578,11058,15143,14214
38,City,Coimbatore,5,5,11,11,140,104,1851,1630,2007,1750
39,City,Delhi,54,60,246,235,8583,7682,32185,32239,41068,40216
40,City,Hyderabad,26,26,42,42,663,663,5582,5411,6313,6142
41,City,Indore,4,4,9,9,324,306,2529,2473,2866,2792
42,City,Jaipur,9,8,23,17,650,406,6093,4894,6775,5325
43,City,Kanpur,4,4,16,16,485,387,3650,3423,4155,3830
44,City,Kochi,1,1,6,6,138,124,1150,1137,1295,1268
45,City,Lucknow,5,5,13,13,427,400,2849,2773,3294,3191
46,City,Ludhiana,4,4,9,9,260,260,2893,2867,3166,3140
47,City,Madras,19,19,58,48,919,642,9905,8846,10901,9555
48,City,Madurai,5,4,11,11,161,128,2122,2046,2299,2189
49,City,Nagpur,8,8,11,10,589,533,4721,4572,5329,5123
50,City,Patna,4,4,7,7,748,529,4292,4249,5051,4789
51,City,Pune,7,7,12,11,324,305,3905,3875,4248,4198
52,City,Surat,8,8,9,9,225,168,2318,1903,2560,2088
53,City,Vadodra,5,5,7,7,216,135,1993,1880,2221,2027
54,City,Varanasi,3,3,6,6,257,191,2958,2788,3224,2988
55,City,Vishakhapatnam,2,2,5,5,122,121,1480,1265,1609,1393
