Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping and Abduction,Dacoity,Preparation and Assembly for Dacoity,Robbery,Riots,Arson,Dowry Death,Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes under IPC
State,Andhra Pradesh,2667,1678,147,946,1485,176,5,660,2328,1049,466,11607,5.9,14.9,7.4
State,Arunachal Pradesh,77,20,3,31,68,37,0,60,7,10,0,313,0.2,27.7,15.2
State,Assam,1191,485,48,1095,1628,471,26,523,3340,677,60,9544,4.9,34.4,25
State,Bihar,3771,3540,298,985,2427,1221,120,2463,8029,669,909,24432,12.4,28.2,26.5
State,Chhattisgarh,776,513,51,898,177,140,14,331,703,151,79,3833,2,17.6,10
State,Goa,34,25,6,31,14,5,0,21,47,18,2,203,0.1,14.2,9
State,Gujarat,1114,478,29,236,1044,338,14,1267,1824,516,54,6914,3.5,13.1,6.7
State,Haryana,702,446,76,353,388,63,190,281,639,122,222,3482,1.8,15.8,9
State,Himachal Pradesh,125,74,5,126,113,8,0,19,610,121,6,1207,0.6,19.3,10
State,Jammu & Kashmir,929,1216,29,211,712,23,0,154,1167,328,10,4779,2.4,44.5,22.5
State,Jharkhand,1482,957,109,712,487,702,37,864,2481,147,262,8240,4.2,29.4,25.6
State,Karnataka,1506,1241,58,321,531,220,65,861,5784,415,194,11196,5.7,20.6,10
State,Kerala,435,448,343,394,189,142,19,634,6798,413,33,9848,5,30.2,10
State,Madhya Pradesh,2227,2413,203,2738,887,153,141,1578,2729,868,648,14585,7.4,23,7.6
State,Maharashtra,2772,1412,113,1268,926,514,249,2096,5714,1188,368,16620,8.5,16.6,10.1
State,Manipur,150,199,6,18,120,3,0,6,73,47,0,622,0.3,25.1,24.5
State,Meghalaya,175,60,17,40,49,83,1,133,5,16,0,579,0.3,24.2,34.7
State,Mizoram,46,36,3,54,8,5,0,21,3,23,0,199,0.1,21.6,5.8
State,Nagaland,91,34,8,14,38,19,0,92,8,5,0,309,0.2,14.9,31.7
State,Orissa,1044,1214,188,725,477,178,30,875,1408,337,279,6755,3.4,17.9,14.3
State,Punjab,731,644,89,380,464,30,117,108,0,71,110,2744,1.4,10.9,9.5
State,Rajasthan,1262,1977,61,1050,2238,36,41,655,4052,784,389,12545,6.4,21.1,8.6
State,Sikkim,14,7,3,10,0,2,0,3,10,2,0,51,0,9.1,11.5
State,Tamil Nadu,1591,1843,28,557,879,95,43,514,3706,791,220,10267,5.2,16.1,6.5
State,Tripura,254,87,0,114,146,36,0,69,274,83,20,1083,0.6,32.9,30.8
State,Uttar Pradesh,5284,3793,1525,911,2208,317,196,1988,2251,297,1322,20092,10.2,11.5,21.1
State,Uttaranchal,268,236,31,107,171,26,3,160,392,33,93,1520,0.8,17.2,19.2
State,West Bengal,1425,400,484,1002,902,217,883,598,2596,87,329,8923,4.5,10.8,14.6
State,Total (States),32143,25476,3961,15327,18776,5260,2194,17034,56978,9268,6075,192492,97.9,18.3,11.6
Union Territory,A & N Islands,21,4,1,2,2,2,0,7,19,8,0,66,0,17.7,10.2
Union Territory,Chandigarh,21,15,2,18,32,3,1,12,46,4,1,155,0.1,16.2,5.5
Union Territory,D & N Haveli,11,5,0,1,7,4,0,6,17,4,0,55,0,23.6,16.3
Union Territory,Daman & Diu,6,3,0,5,1,4,0,1,31,1,1,53,0,31.5,19.7
Union Territory,Delhi,485,407,65,490,1156,28,107,441,80,60,130,3449,1.8,23.3,7.3
Union Territory,Lakshadweep,0,0,0,2,0,0,0,0,4,2,0,8,0,12.7,25.8
Union Territory,Pondicherry,29,32,0,2,18,2,0,11,159,18,1,272,0.1,27.1,6
Union Territory,Total (UTs),573,466,68,520,1216,43,108,478,356,97,133,4058,2.1,23,7.2
Total (All-India),Total (All-India),32716,25942,4029,15847,19992,5303,2302,17512,57334,9365,6208,196550,100,18.4,11.5
