Category,States/UTs,Persons in Cust./ Bail during investigation at Beginning of the Year,Persons Arrested during the Year,Persons Released by Police/ Magistrate Before Trial,Persons in Custody/Bail during investigation at the end of Year,Persons in whose Cases ChargeSheets were Laid,Persons under Trial at the Beginning of Year,Total Persons under Trial,No. of Persons whose Cases Withdrawn or Otherwise Disposed of,Persons in Custody/Bail during Trial at the end of Year,Persons in whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to Trial Completed,Persons Reported for Regular Deptt. Action,Persons Reported for Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded Other Major Punishment,Persons Punished Departmentally - Awarded Minor Punishment,Gazetted or Equal Status Officers in Public under Taking Involved - Group 'A' Officers,Gazetted or Equal Status Officers in Public under Taking Involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Govt. of Public undertaking Involved,Private Persons Involved
State,Andhra Pradesh,209,413,0,402,220,932,1152,4,1039,109,43,66,39.4,55,0,6,1,2,17,0,0,244,6
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,53,0,0,43,10,53,63,0,63,0,0,0,0,0,0,0,0,0,0,25,4,26,0
State,Bihar,12,61,0,14,59,1136,1195,1,1136,6,3,2,50,0,0,0,0,0,0,15,18,24,52
State,Chhattisgarh,74,62,0,76,60,261,321,6,210,105,49,56,46.7,0,0,0,0,0,0,1,6,55,0
State,Goa,7,3,1,4,5,33,38,1,34,3,0,3,0,0,0,0,0,0,0,0,0,2,1
State,Gujarat,108,212,0,125,195,1988,2183,8,1998,177,55,122,31.1,1,1,0,0,0,0,50,4,586,231
State,Haryana,1097,366,11,1099,353,2284,2637,19,2546,72,27,45,37.5,0,0,0,0,0,0,2,24,133,74
State,Himachal Pradesh,112,70,53,74,55,130,185,19,123,43,8,35,18.6,2,14,0,0,0,0,7,7,24,19
State,Jammu & Kashmir,111,39,0,63,87,2260,2347,13,2264,70,5,65,7.1,217,0,0,0,0,0,0,66,54,8
State,Jharkhand,28,29,1,29,37,175,308,0,0,8,4,0,50,98,0,0,0,0,0,1,12,0,0
State,Karnataka,221,93,50,221,43,1967,2010,562,1262,186,19,167,10.2,0,0,0,0,0,0,60,112,311,6
State,Kerala,0,20,20,0,267,758,1025,2,949,74,26,48,35.1,51,0,0,0,0,0,0,230,355,180
State,Madhya Pradesh,476,296,0,0,208,747,955,4,811,140,64,72,45.7,31,0,0,0,0,0,21,45,159,11
State,Maharashtra,825,792,18,869,730,3717,4447,14,3929,504,131,373,26,5,0,0,0,0,3,54,81,622,93
State,Manipur,3,3,0,3,3,21,24,0,24,0,0,0,0,0,0,0,0,0,0,3,1,4,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,8,0,0,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,65,261,12,104,210,1953,2163,18,2081,64,14,50,21.9,0,153,0,77,77,35,207,89,343,141
State,Punjab,219,0,0,0,213,1718,0,14,0,199,90,209,45.2,0,0,7,7,0,0,0,96,255,58
State,Rajasthan,387,214,20,420,385,2383,2768,0,2421,347,106,241,30.5,118,118,0,0,0,23,0,21,2,0
State,Sikkim,7,0,0,7,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,525,252,0,586,191,358,549,0,510,39,23,16,59,27,0,9,1,22,6,5,84,148,15
State,Tripura,3,1,0,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,37,14,114,214,62,306,368,0,366,12,2,10,16.7,9,0,0,0,0,0,0,0,113,38
State,Uttaranchal,6,1,0,7,0,12,12,0,10,2,0,2,0,0,0,0,0,0,0,2,1,0,0
State,West Bengal,32,1,0,32,1,56,57,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Total (States),4625,3203,300,4401,3397,23272,24834,685,21844,2160,669,1582,31,614,286,22,86,101,84,453,901,3460,933
Union Territory,A & N Islands,3,1,0,3,1,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Union Territory,Chandigarh,37,3,0,37,3,70,75,0,74,1,0,1,0,0,0,0,0,0,0,0,9,9,5
Union Territory,D & N Haveli,0,1,0,0,1,3,4,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Union Territory,Daman & Diu,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,111,106,0,146,71,508,579,0,539,40,9,31,22.5,58,0,0,0,0,0,4,8,81,13
Union Territory,Lakshadweep,0,0,0,0,0,7,7,0,7,1,1,0,100,0,0,0,0,0,0,1,2,2,2
Union Territory,Pondicherry,5,6,0,7,4,7,11,0,9,2,0,2,0,0,0,0,0,0,0,0,0,1,0
Union Territory,Total (UTs),165,117,0,202,80,598,680,2,635,44,10,34,22.7,58,0,0,0,1,0,5,20,96,20
Total (All-India),Total (All-India),4790,3320,300,4603,3477,23870,25514,687,22479,2204,679,1616,30.8,672,286,22,86,102,84,458,921,3556,953
