Category,States/ UTs/Cities,Estimated Mid-Year Population (In Lakhs)@,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - Percentage Share,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives - Percentage Share,Molestation - Incidence,Molestation - Rate,Molestation - Percentage Share,Eve-Teasing (Sexual Harassment) - Incidence,Eve-Teasing (Sexual Harassment) - Rate,Eve-Teasing (Sexual Harassment) - Percentage Share,Importation of Girls - Incidence,Importation of Girls - Rate,Importation of Girls - Percentage Share,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,Sati Prevention Act - Percentage Share,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate,Immoral Traffic (P) Act - Percentage Share,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Indecent Representation of Women (P) Act - Percentage Share,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Dowry Prohibition Act - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share,,,,,,,,,,,,,
State,Andhra Pradesh,778.73,946,1.2,6,931,1.2,7,466,0.6,7.5,8167,10.5,16.1,4128,5.3,12.5,2286,2.9,18.5,5,0,10.9,0,0,0,349,0.4,6.3,909,1.2,87.2,195,0.3,7.3,18382,23.6,13.1,,,,,,,,,,,,,
State,Arunachal Pradesh,11.3,31,2.7,0.2,51,4.5,0.4,0,0,0,14,1.2,0,43,3.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,12.3,0.1,,,,,,,,,,,,,
State,Assam,277.25,1095,3.9,6.9,1351,4.9,10.2,60,0.2,1,1808,6.5,3.6,878,3.2,2.7,6,0,0,0,0,0,0,0,0,22,0.1,0.4,0,0,0,92,0.3,3.4,5312,19.2,3.8,,,,,,,,,,,,,
State,Bihar,867.74,985,1.1,6.2,674,0.8,5.1,909,1,14.6,1880,2.2,3.7,688,0.8,2.1,11,0,0.1,37,0,80.4,0,0,0,9,0,0.2,1,0,0.1,706,0.8,26.3,5900,6.8,4.2,,,,,,,,,,,,,
State,Chhattisgarh,217.21,898,4.1,5.7,149,0.7,1.1,79,0.4,1.3,601,2.8,1.2,1481,6.8,4.5,105,0.5,0.9,0,0,0,0,0,0,7,0,0.1,0,0,0,16,0.1,0.6,3336,15.4,2.4,,,,,,,,,,,,,
State,Goa,14.25,31,2.2,0.2,13,0.9,0.1,2,0.1,0,24,1.7,0,19,1.3,0.1,7,0.5,0.1,0,0,0,0,0,0,25,1.8,0.5,0,0,0,0,0,0,121,8.5,0.1,,,,,,,,,,,,,
State,Gujarat,526.39,236,0.4,1.5,859,1.6,6.5,54,0.1,0.9,3684,7,7.3,722,1.4,2.2,92,0.2,0.7,0,0,0,0,0,0,74,0.1,1.3,14,0,1.3,0,0,0,5735,10.9,4.1,,,,,,,,,,,,,
State,Haryana,220.4,353,1.6,2.2,271,1.2,2,222,1,3.6,1618,7.3,3.2,344,1.6,1,1302,5.9,10.6,0,0,0,0,0,0,57,0.3,1,0,0,0,3,0,0.1,4170,18.9,3,,,,,,,,,,,,,
State,Himachal Pradesh,62.49,126,2,0.8,96,1.5,0.7,6,0.1,0.1,221,3.5,0.4,250,4,0.8,18,0.3,0.1,0,0,0,0,0,0,5,0.1,0.1,0,0,0,7,0.1,0.3,729,11.7,0.5,,,,,,,,,,,,,
State,Jammu & Kashmir,107.33,211,2,1.3,615,5.7,4.6,10,0.1,0.2,71,0.7,0.1,875,8.2,2.7,376,3.5,3.1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0.1,2164,20.2,1.5,,,,,,,,,,,,,
State,Jharkhand,280.03,712,2.5,4.5,262,0.9,2,262,0.9,4.2,559,2,1.1,424,1.5,1.3,2,0,0,0,0,0,0,0,0,6,0,0.1,0,0,0,261,0.9,9.7,2488,8.9,1.8,,,,,,,,,,,,,
State,Karnataka,543.7,321,0.6,2,244,0.4,1.8,194,0.4,3.1,1704,3.1,3.4,1585,2.9,4.8,84,0.2,0.7,0,0,0,0,0,0,1361,2.5,24.7,0,0,0,341,0.6,12.7,5834,10.7,4.1,,,,,,,,,,,,,
State,Kerala,326.2,394,1.2,2.5,102,0.3,0.8,33,0.1,0.5,2930,9,5.8,1947,6,5.9,68,0.2,0.6,0,0,0,0,0,0,159,0.5,2.9,16,0,1.5,4,0,0.1,5653,17.3,4,,,,,,,,,,,,,
State,Madhya Pradesh,633.66,2738,4.3,17.3,608,1,4.6,648,1,10.4,2938,4.6,5.8,6848,10.8,20.8,705,1.1,5.7,0,0,0,0,0,0,33,0.1,0.6,0,0,0,29,0,1.1,14547,23,10.3,,,,,,,,,,,,,
State,Maharashtra,1003.09,1268,1.3,8,626,0.6,4.7,368,0.4,5.9,5452,5.4,10.8,2661,2.7,8.1,682,0.7,5.5,0,0,0,0,0,0,179,0.2,3.2,8,0,0.8,29,0,1.1,11273,11.2,8,,,,,,,,,,,,,
State,Manipur,24.78,18,0.7,0.1,71,2.9,0.5,0,0,0,4,0.2,0,44,1.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,5.5,0.1,,,,,,,,,,,,,
State,Meghalaya,23.9,40,1.7,0.3,10,0.4,0.1,0,0,0,4,0.2,0,13,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,2.9,0,,,,,,,,,,,,,
State,Mizoram,9.23,54,5.9,0.3,2,0.2,0,0,0,0,3,0.3,0,88,9.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,15.9,0.1,,,,,,,,,,,,,
State,Nagaland,20.75,14,0.7,0.1,3,0.1,0,0,0,0,0,0,0,4,0.2,0,2,0.1,0,1,0,2.2,0,0,0,1,0,0,0,0,0,0,0,0,25,1.2,0,,,,,,,,,,,,,
State,Orissa,378.21,725,1.9,4.6,373,1,2.8,279,0.7,4.5,1289,3.4,2.5,1669,4.4,5.1,188,0.5,1.5,0,0,0,0,0,0,11,0,0.2,0,0,0,412,1.1,15.4,4946,13.1,3.5,,,,,,,,,,,,,
State,Punjab,251.13,380,1.5,2.4,295,1.2,2.2,110,0.4,1.8,987,3.9,1.9,346,1.4,1.1,199,0.8,1.6,0,0,0,0,0,0,54,0.2,1,1,0,0.1,3,0,0.1,2375,9.5,1.7,,,,,,,,,,,,,
State,Rajasthan,593.32,1050,1.8,6.6,1750,2.9,13.2,389,0.7,6.3,5733,9.7,11.3,2715,4.6,8.2,33,0.1,0.3,1,0,2.2,0,0,0,51,0.1,0.9,87,0.1,8.3,3,0,0.1,11812,19.9,8.4,,,,,,,,,,,,,
State,Sikkim,5.61,10,1.8,0.1,0,0,0,0,0,0,1,0.2,0,25,4.5,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,37,6.6,0,,,,,,,,,,,,,
State,Tamil Nadu,635.87,557,0.9,3.5,632,1,4.8,220,0.3,3.5,1555,2.4,3.1,2022,3.2,6.1,881,1.4,7.1,1,0,2.2,0,0,0,2839,4.5,51.5,6,0,0.6,175,0.3,6.5,8888,14,6.3,,,,,,,,,,,,,
State,Tripura,32.94,114,3.5,0.7,29,0.9,0.2,20,0.6,0.3,247,7.5,0.5,127,3.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,16.3,0.4,,,,,,,,,,,,,
State,Uttar Pradesh,1743.8,911,0.5,5.7,1499,0.9,11.3,1322,0.8,21.3,2626,1.5,5.2,1098,0.6,3.3,4970,2.9,40.3,0,0,0,0,0,0,47,0,0.9,0,0,0,367,0.2,13.7,12840,7.4,9.1,,,,,,,,,,,,,
State,Uttaranchal,88.25,107,1.2,0.7,134,1.5,1,93,1.1,1.5,317,3.6,0.6,136,1.5,0.4,98,1.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,886,10,0.6,,,,,,,,,,,,,
State,West Bengal,828.33,1002,1.2,6.3,801,1,6,329,0.4,5.3,4948,6,9.8,1186,1.4,3.6,71,0.1,0.6,1,0,2.2,0,0,0,152,0.2,2.8,1,0,0.1,17,0,0.6,8508,10.3,6.1,,,,,,,,,,,,,
State,Total (States),10505.89,15327,1.5,96.7,12451,1.2,93.6,6075,0.6,97.9,49385,4.7,97.4,32366,3.1,98.3,12187,1.2,98.9,46,0,100,0,0,0,5445,0.5,98.8,1043,0.1,100,2665,0.3,99.3,136990,13,97.4,,,,,,,,,,,,,
Union Territory,A & N Islands,3.73,2,0.5,0,2,0.5,0,0,0,0,7,1.9,0,9,2.4,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5.9,0,,,,,,,,,,,,,
Union Territory,Chandigarh,9.55,18,1.9,0.1,28,2.9,0.2,1,0.1,0,93,9.7,0.2,11,1.2,0,4,0.4,0,0,0,0,0,0,0,4,0.4,0.1,0,0,0,0,0,0,159,16.6,0.1,,,,,,,,,,,,,
Union Territory,D & N Haveli,2.33,1,0.4,0,4,1.7,0,0,0,0,2,0.9,0,4,1.7,0,0,0,0,0,0,0,0,0,0,2,0.9,0,0,0,0,0,0,0,13,5.6,0,,,,,,,,,,,,,
Union Territory,Daman & Diu,1.68,5,3,0,1,0.6,0,1,0.6,0,0,0,0,3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,,,,,,,,,,,,,
Union Territory,Delhi,148.28,490,3.3,3.1,797,5.4,6,130,0.9,2.1,1211,8.2,2.4,489,3.3,1.5,105,0.7,0.9,0,0,0,0,0,0,46,0.3,0.8,0,0,0,14,0.1,0.5,3282,22.1,2.3,,,,,,,,,,,,,
Union Territory,Lakshadweep,0.63,2,3.2,0,0,0,0,0,0,0,1,1.6,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.3,0,,,,,,,,,,,,,
Union Territory,Pondicherry,10.05,2,0.2,0,13,1.3,0.1,1,0.1,0,4,0.4,0,56,5.6,0.2,27,2.7,0.2,0,0,0,0,0,0,13,1.3,0.2,0,0,0,5,0.5,0.2,121,12,0.1,,,,,,,,,,,,,
Union Territory,Total (UTs),176.25,520,3,3.3,845,4.8,6.4,133,0.8,2.1,1318,7.5,2.6,573,3.3,1.7,138,0.8,1.1,0,0,0,0,0,0,65,0.4,1.2,0,0.4,0,19,0.1,0.7,3611,20.5,2.6,,,,,,,,,,,,,
Total (All-India),Total (All-India),10682.14,15847,1.5,100,13296,1.2,100,6208,0.6,100,50703,4.7,100,32939,3.1,100,12325,1.2,100,46,0,100,0,0,0,5510,0.5,100,1043,0.1,100,2684,0.3,100,140601,13.2,100,,,,,,,,,,,,,
City,Agra,13.21,11,0.8,0.8,53,4,2.8,26,2,4.9,140,10.6,1.8,30,2.3,1.1,44,3.3,1.5,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,308,23.3,1.6,,,,,,0,0,0,0,0,308,23.3,1.6
City,Ahmedabad,45.19,18,0.4,1.4,96,2.1,5,3,0.1,0.6,595,13.2,7.6,50,1.1,1.8,30,0.7,1,0,0,0,0,0,0,9,0.2,0.5,14,0.3,6.3,0,0,0,815,18,4.2,,,,,,0.3,6.3,0,0,0,4.2,815,18
City,Allahabad,10.5,2,0.2,0.2,18,1.7,0.9,8,0.8,1.5,37,3.5,0.5,3,0.3,0.1,14,1.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,1,86,8.2,0.4,,,,,,0,0,4,0.4,1,86,8.2,0.4
City,Amritsar,10.11,11,1.1,0.8,29,2.9,1.5,3,0.3,0.6,43,4.3,0.5,7,0.7,0.3,4,0.4,0.1,0,0,0,0,0,0,6,0.6,0.4,0,0,0,0,0,0,103,10.2,0.5,,,,,,0,0,0,0,0,103,10.2,0.5
City,Asansol,10.91,8,0.7,0.6,11,1,0.6,4,0.4,0.8,128,11.7,1.6,19,1.7,0.7,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,15.7,0.9,,,,,,0,0,0,0,0,171,15.7,0.9
