Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
State,Andhra Pradesh,94,97.2,100,98.1,96.6,93.3,100,92.3,100,97.8,97.5,100,100,84.6,NA,100,95.9,100,100,99.4,NA,93.2,93.4,91.7,100,100,99.9
State,Arunachal Pradesh,100,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8,92.3
State,Assam,66.9,92.9,92,93.4,5.2,61.7,81.3,47.1,NA,NA,NA,NA,NA,55.2,72.7,NA,70.1,NA,0,93.8,NA,NA,NA,NA,44.4,55.3,62.5
State,Bihar,96,93,100,96.9,96.2,87,100,24.2,100,96.3,98,66.7,100,89.2,NA,50,88.6,100,100,100,76.9,83.6,83.4,100,97.1,75.4,89.1
State,Chhattisgarh,100,99.4,100,99.9,100,100,100,99.9,NA,NA,NA,NA,NA,98.8,NA,100,100,100,NA,96.4,NA,99.5,100,99.1,100,100,100
State,Goa,87.5,100,100,NA,NA,NA,100,NA,87.5,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,50,50,NA,100,98.9,99.3
State,Gujarat,95.8,95.3,100,100,99.9,60.4,100,99,100,100,100,NA,100,100,NA,NA,NA,93.8,100,99.3,NA,99.2,99,100,100,98.8,99.6
State,Haryana,98.7,96.6,100,98.6,NA,91.1,98.3,94,100,NA,NA,NA,NA,97.1,NA,NA,100,100,NA,99.6,NA,100,100,NA,NA,94.3,98.4
State,Himachal Pradesh,90.9,95.7,100,99.7,NA,71.4,100,0,100,100,100,NA,NA,100,NA,NA,100,NA,NA,97.7,NA,94.7,94.4,100,79.5,75.2,97.7
State,Jammu & Kashmir,49.7,95.6,98.6,98.8,NA,19.2,100,NA,100,NA,NA,NA,100,98.7,16.1,NA,100,NA,NA,100,NA,NA,NA,NA,100,83.6,74.8
