Category,States/UTs,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP/ASP/Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,0,0,0,0,38,28,1363,1300,1401,1328
State,Arunachal Pradesh,0,0,0,0,13,13,52,125,65,138
State,Assam,0,0,0,0,22,22,201,201,223,223
State,Bihar,0,0,7,7,61,61,822,822,890,890
State,Chhattisgarh,0,0,0,5,8,726,87,308,95,1039
State,Goa,0,0,0,2,4,23,193,187,197,212
State,Gujarat,2,0,2,0,282,163,2047,1469,2333,1632
State,Haryana,0,1,0,7,60,60,443,509,503,577
State,Himachal Pradesh,0,0,0,4,3,31,137,429,140,464
State,Jammu & Kashmir,1,1,8,8,40,40,1383,1383,1432,1432
State,Jharkhand,0,0,0,0,1,23,157,222,158,245
State,Karnataka,0,0,10,6,368,205,4409,2561,4787,2772
State,Kerala,0,0,2,1,76,74,2678,1316,2756,1391
State,Madhya Pradesh,2,2,40,40,161,161,0,1752,203,1955
State,Maharashtra,0,1,3,23,216,442,3278,5105,3497,5571
State,Manipur,0,0,0,0,5,5,259,242,264,247
State,Meghalaya,0,0,0,2,4,35,40,96,44,133
State,Mizoram,0,0,0,0,0,82,6,181,6,263
State,Nagaland,0,0,1,0,12,0,63,24,76,24
State,Orissa,0,0,1,1,100,92,241,241,342,334
State,Punjab,0,0,0,8,21,69,372,974,393,1051
State,Rajasthan,0,0,4,4,55,55,663,1094,722,1153
State,Sikkim,0,0,0,0,0,21,0,133,0,154
State,Tamil Nadu,4,4,35,35,1551,626,5969,5918,7559,6583
State,Tripura,0,0,3,2,41,33,193,175,237,210
State,Uttar Pradesh,0,1,0,29,194,193,1683,1679,1877,1902
State,Uttaranchal,0,1,0,0,9,19,177,401,186,421
State,West Bengal,2,2,11,11,296,241,921,878,1230,1132
State,Total (States),11,13,127,195,3641,3543,27837,29725,31616,33476
Union Territory,A & N Islands,0,0,0,1,2,12,14,109,16,122
Union Territory,Chandigarh,0,0,0,0,2,28,33,203,35,231
Union Territory,D & N Haveli,0,0,0,0,2,2,7,7,9,9
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,1,1,559,455,1639,1573,2199,2029
Union Territory,Lakshadweep,0,0,0,0,1,1,17,17,18,18
Union Territory,Pondicherry,0,0,0,0,4,3,76,76,80,79
Union Territory,Total (UTs),0,0,1,2,570,501,1786,1985,2357,2488
Total (All-India),Total (All-India),11,13,128,197,4211,4044,29623,31710,33973,35964
