Category ( Col.1),Crime Head ( Col.2),Below 18 Years - Male ( Col.3),Below 18 Years - Female ( Col.4),18 - 30 Years - Male ( Col.5),18 - 30 Years - Female ( Col.6),30 - 45 Years - Male ( Col.7),30 - 45 Years - Female ( Col.8),45 - 60 Years - Male ( Col.9),45 - 60 Years - Female ( Col.10),60 Years & Above - Male ( Col.11),60 Years & Above - Female ( Col.12),Total of Overall Age-Group - Male ( Col.13),Total of Overall Age-Group - Female ( Col.14),Grand Total of All Persons (Col.15)= Col.( 13+14) 
IPC Crimes,Murder,530,51,23976,1123,26577,1546,10311,694,1101,87,62495,3501,65996
IPC Crimes,Attempt to Commit Murder,531,34,24586,780,24644,1127,10386,467,1246,61,61393,2469,63862
IPC Crimes,C.H. not Amounting to Murder,23,2,3143,61,3173,75,1158,22,49,2,7546,162,7708
IPC Crimes,Rape - Total,529,6,10906,188,6476,223,1464,73,124,5,19499,495,19994
IPC Crimes,Rape - I) Custodial Rape,0,0,0,0,0,0,0,0,0,0,0,0,0
IPC Crimes,Rape - Ii) Other Rape,529,6,10906,188,6476,223,1464,73,124,5,19499,495,19994
IPC Crimes,Kidnapping & Abduction - Total,221,13,12744,537,9079,653,2804,194,243,53,25091,1450,26541
IPC Crimes,Kidnapping & Abduction - I) of Women & Girls,171,8,7820,426,5095,528,1349,131,92,23,14527,1116,15643
IPC Crimes,Kidnapping & Abduction - Ii) of Others,50,5,4924,111,3984,125,1455,63,151,30,10564,334,10898
IPC Crimes,Dacoity,170,0,9483,45,7132,46,1854,10,101,1,18740,102,18842
IPC Crimes,Preparation & Assembly for Dacoity,47,0,5997,4,3475,8,609,0,20,2,10148,14,10162
IPC Crimes,Robbery,260,5,14021,105,9419,64,2372,10,80,0,26152,184,26336
IPC Crimes,Burglary,2879,66,29721,470,20749,443,6253,93,705,18,60307,1090,61397
IPC Crimes,Theft - Total,4500,239,78879,2651,53499,1901,15599,451,1761,38,154238,5280,159518
IPC Crimes,Theft - I) Auto Theft,811,4,19381,44,9925,12,1923,16,78,0,32118,76,32194
IPC Crimes,Theft - Ii) Other Theft,3689,235,59498,2607,43574,1889,13676,435,1683,38,122120,5204,127324
IPC Crimes,Riots,1657,155,131072,6912,116186,7500,49876,2941,7329,376,306120,17884,324004
IPC Crimes,Criminal Breach of Trust,66,4,4795,146,6696,241,2787,100,307,13,14651,504,15155
IPC Crimes,Cheating,135,7,13965,658,19599,994,8213,360,887,55,42799,2074,44873
IPC Crimes,Counterfeiting,8,0,821,14,1113,19,317,9,24,1,2283,43,2326
IPC Crimes,Arson,44,0,4498,72,5145,132,1981,39,224,7,11892,250,12142
IPC Crimes,Hurt,3607,517,185579,11752,169002,13900,69690,5752,9984,670,437862,32591,470453
IPC Crimes,Dowry Death,52,14,4998,1114,4834,1558,2476,993,415,182,12775,3861,16636
IPC Crimes,Molestation,737,1,21746,333,14714,357,4026,118,387,25,41610,834,42444
IPC Crimes,Sexual Harassment,326,1,10253,106,4064,79,469,24,25,4,15137,214,15351
IPC Crimes,Cruelty by Husband and Relatives,174,123,33148,7662,32036,9991,16191,7512,2609,1177,84158,26465,110623
IPC Crimes,Importation of Girls,0,0,7,0,43,2,2,1,0,0,52,3,55
IPC Crimes,Causing Death by Negligence,75,5,20916,124,22272,117,9210,23,563,10,53036,279,53315
IPC Crimes,Other IPC Crimes,6353,542,358271,19373,344959,21010,158667,9448,22983,1553,891233,51926,943159
IPC Crimes,Total Cognizable Crimes Under IPC,22924,1785,1003525,54230,904886,61986,376715,29334,51167,4340,2359217,151675,2510892
SLL Crimes,Arms Act,245,0,43515,100,26544,17,6017,6,259,0,76580,123,76703
SLL Crimes,Narcotic Drugs & Psychotropic Substances Act,63,1,13375,622,11637,787,3875,315,438,37,29388,1762,31150
SLL Crimes,Gambling Act,1165,0,144203,266,145949,358,57719,189,8193,80,357229,893,358122
SLL Crimes,Excise Act,522,13,55648,2964,55238,4791,23294,2123,2275,226,136977,10117,147094
SLL Crimes,Prohibition Act,1033,168,121424,27907,151075,47325,78666,24250,13650,3015,365848,102665,468513
SLL Crimes,Explosive & Explosive Substances Act,11,0,2068,9,1984,15,692,2,56,0,4811,26,4837
SLL Crimes,Immoral Traffic (P) Act,13,59,1151,4345,1244,3065,517,596,78,33,3003,8098,11101
SLL Crimes,Indian Railways Act,109,4,22170,951,13865,523,3686,191,181,8,40011,1677,41688
SLL Crimes,Registration of Foreigners Act,54,32,1062,199,827,124,209,43,26,4,2178,402,2580
SLL Crimes,Protection of Civil Rights Act - Total,0,0,247,6,401,12,139,10,16,0,803,28,831
SLL Crimes,Protection of Civil Rights Act - (i) PCR Act For SCs,0,0,243,5,364,10,120,10,16,0,743,25,768
SLL Crimes,Protection of Civil Rights Act - (ii) PCR Act For STs,0,0,4,1,37,2,19,0,0,0,60,3,63
SLL Crimes,Indian Passport Act,13,1,302,74,521,131,165,23,12,0,1013,229,1242
SLL Crimes,Essential Commodities Act,9,0,1989,7,3103,16,961,10,45,0,6107,33,6140
SLL Crimes,Terrorist & Disruptive Activities Act,0,0,32,4,34,0,1,0,0,0,67,4,71
SLL Crimes,Antiquity & Art Treasure Act,0,0,22,0,33,0,3,0,0,0,58,0,58
SLL Crimes,Dowry Prohibition Act,2,1,1448,197,2019,475,1323,435,225,162,5017,1270,6287
SLL Crimes,Child Marriage Restraint Act,1,5,50,6,91,33,27,4,6,1,175,49,224
SLL Crimes,Indecent Representation of Women (P) Act,0,83,168,194,247,203,146,23,2,0,563,503,1066
SLL Crimes,Copyrights Act,30,6,3065,13,2767,6,795,5,63,0,6720,30,6750
SLL Crimes,Sati Prevention Act,0,0,0,0,0,0,0,0,0,0,0,0,0
SLL Crimes,SC/ST (prevention of Atrocities) Act - Total,31,1,5552,183,6406,247,3006,169,472,20,15467,620,16087
SLL Crimes,SC/ST (prevention of Atrocities) Act - (i) Prevention of Atrocities Act for SCs,28,1,4781,159,5618,210,2629,154,386,17,13442,541,13983
SLL Crimes,SC/ST (prevention of Atrocities) Act - (ii) Prevention of Atrocities Act for STs,3,0,771,24,788,37,377,15,86,3,2025,79,2104
SLL Crimes,Forest Act,7,0,2579,17,2907,16,1252,4,85,0,6830,37,6867
SLL Crimes,Other SLL Crimes,4753,176,866601,23588,1539139,29751,658320,8529,58145,1862,3126958,63906,3190864
SLL Crimes,Total Cognizable Crimes Under SLL,8061,550,1286671,61652,1966031,87895,840813,36927,84227,5448,4185803,192472,4378275
Grand Total (IPC Crimes + SLL Crimes),Grand Total (IPC Crimes + SLL Crimes),30985,2335,2290196,115882,2870917,149881,1217528,66261,135394,9788,6545020,344147,6889167
