Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Railways Other Railways - Number,Railways Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,86,80,34,91.2,1,0.1,8,0.6,1,0.1,7,0.5,1,55.5,5,150.4,41,50.7,176,428.5
State,Arunachal Pradesh,19,6.7,2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,16,14.1,37,22.4
State,Assam,302,96.5,48,26,4,0.8,0,0,0,0,0,0,0,0,20,12.8,97,38.7,471,174.7
State,Bihar,757,241.8,163,82.4,1,1,79,19.1,68,16.1,11,2.9,10,40.3,58,38.2,153,95.4,1221,518.2
State,Chhattisgarh,56,83.4,6,9.6,0,0,11,1.8,0,0,11,1.8,0,0,3,1,64,6.2,140,102.1
State,Goa,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,13
State,Gujarat,90,205.6,62,170.2,0,0,10,1.8,10,1.8,0,0,4,0,40,33.9,132,174.4,338,585.9
State,Haryana,9,22.1,9,30,0,0,1,0.9,1,0.9,0,0,1,4.4,7,1,36,158.7,63,217.1
State,Himachal Pradesh,0,0,1,0.1,0,0,0,0,0,0,0,0,2,3.7,0,0,5,4.5,8,8.3
State,Jammu & Kashmir,12,3.8,0,0,0,0,0,0,0,0,0,0,2,50,0,0,9,1.8,23,55.6
State,Jharkhand,334,89.4,245,52.7,0,0,3,1,1,0,2,1,10,38.6,19,16.1,91,10.1,702,207.8
State,Karnataka,75,65.7,29,114.7,0,0,7,0.2,7,0.2,0,0,1,0.4,15,2.9,93,109.4,220,293.2
State,Kerala,22,9.4,9,17,0,0,0,0,0,0,0,0,0,0,28,61.4,83,171.7,142,259.5
State,Madhya Pradesh,41,57,27,86,0,0,2,1.1,2,1.1,0,0,0,0,27,13.6,56,70.8,153,228.4
State,Maharashtra,155,142.8,59,136.6,0,0,2,2.6,2,2.6,0,0,2,39.2,27,86.6,269,469,514,876.8
State,Manipur,0,0,1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.3,3,1.5
State,Meghalaya,23,12.2,28,74.3,0,0,0,0,0,0,0,0,1,1,4,1.2,27,4,83,92.7
State,Mizoram,1,0.1,4,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.9
State,Nagaland,8,0.8,11,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,19,21.5
State,Orissa,74,42.9,21,22.2,0,0,1,0.7,1,0.7,0,0,2,1.1,15,13.6,65,45.9,178,126.4
State,Punjab,5,2.4,0,0,0,0,0,0,0,0,0,0,1,1.2,0,0,24,42.6,30,46.2
State,Rajasthan,9,10.2,6,27.1,0,0,6,3.8,4,3.8,2,0,0,0,1,1.9,14,25.2,36,68.2
State,Sikkim,1,0.9,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.2
State,Tamil Nadu,25,24.6,20,92.1,0,0,2,0.4,2,0.4,0,0,1,0,5,3.4,42,672.5,95,793
State,Tripura,26,26.1,0,0,0,0,0,0,0,0,0,0,10,0.9,0,0,0,0,36,27
State,Uttar Pradesh,143,143.2,69,129.1,0,0,14,35.6,13,35.6,1,0,4,13.9,11,110.5,76,84.5,317,516.8
State,Uttaranchal,16,19,0,0,0,0,0,0,0,0,0,0,0,0,3,2.2,7,2,26,23.2
State,West Bengal,70,106.6,15,12.2,0,0,10,3,10,3,0,0,10,115.7,15,26,97,130.7,217,394.3
State,Total (States),2361,1498.2,870,1196.6,6,1.9,156,72.6,122,66.3,34,6.3,62,365.9,303,576.7,1502,2395.8,5260,6107.7
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,2,1.1
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,3,0.2
Union Territory,D & N Haveli,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,4,0.4
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43.4,0,0,4,43.4
Union Territory,Delhi,9,43.7,7,0.1,0,0,0,0,0,0,0,0,0,0,5,11.8,7,33.6,28,89.2
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.2,2,5.2
Union Territory,Total (UTs),11,44,7,0.1,0,0,0,0,0,0,0,0,0,0,9,55.2,16,40.1,43,139.5
Total (All-India),Total (All-India),2372,1542.2,877,1196.7,6,1.9,156,72.6,122,66.3,34,6.3,62,365.9,312,632,1518,2435.9,5303,6247.2
City,Agra,6,3,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,8,0.2,16,5.1
City,Ahmedabad,4,2.7,2,0.3,0,0,0,0,0,0,0,0,2,0,9,2.1,14,14.7,31,19.8
City,Allahabad,5,1.3,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4.6
City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0,0,1,0.4,2,1.3
City,Bangalore,10,9.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10.5,46,19.6
City,Bhopal,0,0,1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2
City,Chennai,5,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,6,11.9
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,8.6,3,10.6
City,Delhi (CITY),7,42.7,6,0.1,0,0,0,0,0,0,0,0,0,0,5,11.8,4,25.2,22,79.8
City,Dhanbad,4,16,4,1.2,0,0,0,0,0,0,0,0,1,3,1,0.2,4,0.9,14,21.2
City,Faridabad,1,24.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,2,24.3
City,Hyderabad,5,12.9,0,0,0,0,0,0,0,0,0,0,0,0,3,150.4,10,10.3,18,173.6
City,Indore,4,33.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33.1
City,Jabalpur,2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.8
