Category,States/ UTs,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to Total
State,Andhra Pradesh,188819,15734,204553,7.7
State,Arunachal Pradesh,2419,27,2446,1.1
State,Assam,61308,2671,63979,4.2
State,Bihar,194932,4200,199132,2.1
State,Chhattisgarh,46912,3011,49923,6
State,Goa,2548,192,2740,7
State,Gujarat,130581,10780,141361,7.6
State,Haryana,54608,2798,57406,4.9
State,Himachal Pradesh,15890,2201,18091,12.2
State,Jammu & Kashmir,26768,2415,29183,8.3
State,Jharkhand,35659,2050,37709,5.4
State,Karnataka,130083,11361,141444,8
State,Kerala,147148,5281,152429,3.5
State,Madhya Pradesh,289484,14121,303605,4.7
State,Maharashtra,237629,22602,260231,8.7
State,Manipur,1396,106,1502,7.1
State,Meghalaya,1586,18,1604,1.1
State,Mizoram,3661,101,3762,2.7
State,Nagaland,796,25,821,3
State,Orissa,74630,4851,79481,6.1
State,Punjab,36978,2727,39705,6.9
State,Rajasthan,166630,13177,179807,7.3
State,Sikkim,396,5,401,1.2
State,Tamil Nadu,183062,15369,198431,7.7
State,Tripura,4615,139,4754,2.9
State,Uttar Pradesh,155629,4386,160015,2.7
State,Uttaranchal,11310,921,12231,7.5
State,West Bengal,105121,7729,112850,6.8
State,Total (States),2310598,148998,2459596,6.1
Union Territory,A & N Islands,767,86,853,10.1
Union Territory,Chandigarh,2634,128,2762,4.6
Union Territory,D & N Haveli,489,20,509,3.9
Union Territory,Daman & Diu,314,18,332,5.4
Union Territory,Delhi,38748,2107,40855,5.2
Union Territory,Lakshadweep,8,0,8,0
Union Territory,Pondicherry,5659,318,5977,5.3
Union Territory,Total (UTs),48619,2677,51296,5.2
Total (All-India),Total (All-India),2359217,151675,2510892,6
