Category (Col.1),States/ UTs (Col.2),No. of Police Personnel Died Due to Natural Death while in Service - 18-25 Years (Col.3),No. of Police Personnel Died Due to Natural Death while in Service - 25-35 Years (Col.4),No. of Police Personnel Died Due to Natural Death while in Service - 35-45 Years (Col.5),No. of Police Personnel Died Due to Natural Death while in Service - 45-55 Years (Col.6),No. of Police Personnel Died Due to Natural Death while in Service - Above 55 Years (Col.7),No. of Police Personnel Died Due to Natural Death while in Service - Total = Col.(3 to 7) (Col.8),No. of Police Personnel Committed Suicide while in Service - 18-25 Years (Col.9),No. of Police Personnel Committed Suicide while in Service - 25-35 Years (Col.10),No. of Police Personnel Committed Suicide while in Service - 35-45 Years (Col.11),No. of Police Personnel Committed Suicide while in Service - 45-55 Years (Col.12),No. of Police Personnel Committed Suicide while in Service - Above 55 Years (Col.13),No. of Police Personnel Committed Suicide while in Service - Total (Col.14) = Col.(9 to 13)
State,Andhra Pradesh,6,43,73,160,15,297,0,5,3,1,0,9
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,3,4,23,11,41,0,0,0,0,0,0
State,Bihar,0,7,19,29,3,58,0,1,0,0,0,1
State,Chhattisgarh,0,10,16,5,1,32,0,0,0,0,0,0
State,Goa,1,1,3,4,1,10,0,0,0,0,0,0
State,Gujarat,2,19,58,55,8,142,0,4,6,3,0,13
State,Haryana,0,15,22,26,0,63,0,0,1,0,0,1
State,Himachal Pradesh,1,4,6,3,2,16,1,2,3,2,1,9
State,Jammu & Kashmir,0,1,8,11,6,26,0,0,4,0,0,4
State,Jharkhand,1,2,2,1,2,8,0,1,0,1,0,2
State,Karnataka,0,16,58,106,2,182,0,0,5,4,0,9
State,Kerala,1,2,15,30,0,48,0,2,6,6,0,14
State,Madhya Pradesh,6,16,65,69,37,193,0,6,5,0,0,11
State,Maharashtra,14,71,132,131,40,388,4,7,13,8,1,33
State,Manipur,0,0,0,0,0,0,1,0,0,0,0,1
State,Meghalaya,0,0,1,0,0,1,0,0,0,0,0,0
State,Mizoram,1,4,7,4,0,16,0,1,0,0,0,1
State,Nagaland,0,4,2,3,0,9,0,2,0,0,0,2
State,Orissa,3,0,5,10,6,24,0,0,0,3,0,3
State,Punjab,0,19,38,50,6,113,0,1,0,0,0,1
State,Rajasthan,4,13,46,30,4,97,0,0,5,0,0,5
State,Sikkim,0,0,5,5,0,10,0,0,0,0,0,0
State,Tamil Nadu,1,15,62,101,14,193,0,2,6,7,2,17
State,Tripura,0,6,10,4,0,20,0,0,0,0,0,0
State,Uttar Pradesh,0,14,29,26,4,73,1,1,0,1,0,3
State,Uttaranchal,1,4,6,4,0,15,0,0,1,0,0,1
State,West Bengal,2,17,37,118,93,267,0,3,6,2,2,13
State,Total (States),44,306,729,1008,255,2342,7,38,64,38,6,153
Union Territory,A & N Islands,0,0,0,6,1,7,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,3,0,0,0,3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,1,17,36,55,29,138,0,3,1,2,0,6
Union Territory,Lakshadweep,0,0,1,0,1,2,0,0,0,0,0,0
Union Territory,Pondicherry,0,1,2,4,1,8,1,0,0,0,0,1
Union Territory,Total (UTs),1,18,39,65,32,155,1,6,1,2,0,10
Total (All-India),Total (All-India),45,324,768,1073,287,2497,8,44,65,40,6,163
