Category,Crime Head,Cases Registered,Persons Arrested
Offences under IT Act,Tampering computer source department,8,6
Offences under IT Act,Hacking Computer System - i) Loss/damage to computer resource/utility,13,11
Offences under IT Act,Hacking Computer System - ii) Hacking,8,7
Offences under IT Act,Obscence publication/transmission in electronic form,20,17
Offences under IT Act,Failure - i) of compliance/orders of certifying Authority,0,0
Offences under IT Act,Failure - ii) to assist to decoy or the information in interception by Govt. Agency,6,12
Offences under IT Act,Un-authorised access/attempt to access of protected Computer system,1,0
Offences under IT Act,Obtaining Licence or Digital Signature by misrepresentation/supression of fact,0,0
Offences under IT Act,Publishing False digital Signature certificate,0,0
Offences under IT Act,Fraud Digital/Signature,1,2
Offences under IT Act,Breach of confidentiality/privacy,3,0
Offences under IT Act,Other,0,0
Offences under IT Act,Total (Offences under IT Act),60,55
Offences under IPC,Public Servant Offences by/Against,0,0
Offences under IPC,False electronic evidence,0,0
Offences under IPC,Destruction of electronic evidence,0,0
Offences under IPC,Forgery,89,102
Offences under IPC,Criminal Breach of Trust/Fraud,269,255
Offences under IPC,Counterfeiting - i) Property/mark,4,10
Offences under IPC,Counterfeiting - ii) Tampering,8,33
Offences under IPC,Counterfeiting - iii)Currency/Stamps,41,75
Offences under IPC,Total (Offences under IPC),411,475
Grant Total (Offences under IT Act + Offences under IPC ),Grant Total (Offences under IT Act + Offences under IPC ),471,530
