Crime Head,2002,2003,Percentage Variation in 2003 Over 2002,Percentage Share of Arrestees Under Each Crime during 2003,Note of 2002
Arms Act,69530,76703,10.3,1.8,NA
Narcotic Drugs & Psychotropic Substances Act,28470,31150,9.4,0.7,NA
Gambling Act,350649,358122,2.1,8.2,NA
Excise Act,133228,147094,10.4,3.4,NA
Prohibition Act,482126,468513,-2.8,10.7,NA
Explosive & Explosive Substances Act,5641,4837,-14.3,0.1,NA
Immoral Traffic (P) Act,12056,11101,-7.9,0.3,*
Indian Railways Act,67893,41688,-38.6,1,NA
Registration of Foreigners Act,3951,2580,-34.7,0.1,NA
Protection of Civil Rights Act - Total,1276,831,-34.9,0,NA
Protection of Civil Rights Act - (i) Pcr Act For Scs,1251,768,-38.6,0,NA
Protection of Civil Rights Act - (ii) Pcr Act For Sts,25,63,152,0,NA
Indian Passport Act,1454,1242,-14.6,0,NA
Essential Commodities Act,5139,6140,19.5,0.1,NA
Terrorist & Disruptive Activities Act,146,71,-51.4,0,NA
Antiquity & Art Treasure Act,129,58,-55,0,NA
Dowry Prohibition Act,6679,6287,-5.9,0.1,NA
Child Marriage Restraint Act,475,224,-52.8,0,NA
Indecent Representation of Women (P) Act,2527,1066,-57.8,0,NA
Copyrights Act,5459,6750,23.6,0.2,NA
Sati Prevention Act,0,0,NA,NA,NA
SC/ST (prevention of Atrocities) Act - Total,23414,16087,-31.3,0.4,NA
SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,20578,13983,-32,0.3,NA
SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,2836,2104,-25.8,0,NA
Forest Act,8766,6867,-21.7,0.2,NA
Other SLL Crimes,3094937,3190864,3.1,72.9,NA
Total Cognizable Crimes Under SLL,4303945,4378275,1.7,100,*
