Crime Head,Total Count of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - Count,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - Count,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - Count,Persons Under Investigation at the end of the Year - Percentage to Total
Murder,91879,4122,4.5,62147,67.6,25610,27.9
Attempt to Commit Murder,84829,2677,3.2,62943,74.2,19209,22.6
C.H. not Amounting to Murder,9994,386,3.9,7212,72.2,2396,24
Rape - Total,25704,773,3,18524,72.1,6407,24.9
Rape - I) Custodial Rape,0,0,0,0,0,0,0
Rape - Ii) Other Rape,25704,773,3,18524,72.1,6407,24.9
Kidnapping & Abduction - Total,38424,3445,9,23019,59.9,11960,31.1
Kidnapping & Abduction - I) of Women & Girls,22509,1828,8.1,13612,60.5,7069,31.4
Kidnapping & Abduction - Ii) of Others,15915,1617,10.2,9407,59.1,4891,30.7
Dacoity,32550,2949,9.1,17230,52.9,12371,38
Preparation & Assembly for Dacoity,13656,662,4.8,9455,69.2,3539,25.9
Robbery,36038,2330,6.5,23242,64.5,10466,29
Burglary,75009,6558,8.7,54903,73.2,13548,18.1
Theft - Total,201224,19522,9.7,136076,67.6,45626,22.7
Theft - I) Auto Theft,39536,3007,7.6,26794,67.8,9735,24.6
Theft - Ii) Other Theft,161688,16515,10.2,109282,67.6,35891,22.2
Riots,401939,17113,4.3,311955,77.6,72871,18.1
Criminal Breach of Trust,21379,1351,6.3,13744,64.3,6284,29.4
Cheating,64491,3606,5.6,40003,62,20882,32.4
Counterfeiting,3920,283,7.2,1937,49.4,1700,43.4
Arson,16063,1219,7.6,11223,69.9,3621,22.5
Hurt,530455,12475,2.4,449788,84.8,68192,12.9
Dowry Death,21136,629,3,15539,73.5,4968,23.5
Molestation,48023,1680,3.5,40176,83.7,6167,12.8
Sexual Harassment,16479,180,1.1,15081,91.5,1218,7.4
Cruelty by Husband and Relatives,131739,4338,3.3,106980,81.2,20421,15.5
Importation of Girls,108,5,4.6,76,70.4,27,25
Causing Death by Negligence,62220,1637,2.6,50755,81.6,9828,15.8
Other IPC Crimes,1082588,42879,4,887294,82,152415,14.1
Total Cognizable Crimes Under IPC,3009847,130819,4.3,2359302,78.4,519726,17.3
