Category,States/ UTs/Cities,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. not Amounting to Murder - Incidence,C.H. not Amounting to Murder - Rate,Rape Total - Incidence,Rape Total - Rate,Rape Custodial - Incidence,Rape Custodial - Rate,Rape Others - Incidence,Rape Others - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft Total - Incidence,Theft Total - Rate,Theft Auto Theft - Incidence,Theft Auto Theft - Rate,Theft Other Theft - Incidence,Theft Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
State,Andhra Pradesh,2667,3.4,1678,2.2,147,0.2,946,1.2,0,0,946,1.2,1485,1.9,931,1.2,554,0.7,176,0.2,5,0,660,0.8,9050,11.6,23408,30.1,4521,5.8,18887,24.3,2328,3,1099,1.4,7581,9.7,318,0.4,1049,1.3,41545,53.3,466,0.6,4128,5.3,2286,2.9,8167,10.5,5,0,8515,10.9,39242,50.4,156951,201.5
State,Arunachal Pradesh,77,6.8,20,1.8,3,0.3,31,2.7,0,0,31,2.7,68,6,51,4.5,17,1.5,37,3.3,0,0,60,5.3,253,22.4,370,32.7,50,4.4,320,28.3,7,0.6,28,2.5,21,1.9,7,0.6,10,0.9,427,37.8,0,0,43,3.8,0,0,14,1.2,0,0,0,0,585,51.8,2061,182.4
State,Assam,1191,4.3,485,1.7,48,0.2,1095,3.9,0,0,1095,3.9,1628,5.9,1351,4.9,277,1,471,1.7,26,0.1,523,1.9,2606,9.4,5525,19.9,406,1.5,5119,18.5,3340,12,611,2.2,894,3.2,58,0.2,677,2.4,4952,17.9,60,0.2,878,3.2,6,0,1808,6.5,0,0,2086,7.5,9227,33.3,38195,137.8
State,Bihar,3771,4.3,3540,4.1,298,0.3,985,1.1,0,0,985,1.1,2427,2.8,674,0.8,1753,2,1221,1.4,120,0.1,2463,2.8,2986,3.4,10124,11.7,1357,1.6,8767,10.1,8029,9.3,1105,1.3,1947,2.2,92,0.1,669,0.8,8884,10.2,909,1,688,0.8,11,0,1880,2.2,37,0,2574,3,37503,43.2,92263,106.3
State,Chhattisgarh,776,3.6,513,2.4,51,0.2,898,4.1,0,0,898,4.1,177,0.8,149,0.7,28,0.1,140,0.6,14,0.1,331,1.5,3621,16.7,4170,19.2,922,4.2,3248,15,703,3.2,76,0.3,412,1.9,24,0.1,151,0.7,3653,16.8,79,0.4,1481,6.8,105,0.5,601,2.8,0,0,1158,5.3,19315,88.9,38449,177
State,Goa,34,2.4,25,1.8,6,0.4,31,2.2,0,0,31,2.2,14,1,13,0.9,1,0.1,5,0.4,0,0,21,1.5,257,18,464,32.6,132,9.3,332,23.3,47,3.3,60,4.2,106,7.4,3,0.2,18,1.3,198,13.9,2,0.1,19,1.3,7,0.5,24,1.7,0,0,164,11.5,739,51.9,2244,157.5
State,Gujarat,1114,2.1,478,0.9,29,0.1,236,0.4,0,0,236,0.4,1044,2,859,1.6,185,0.4,338,0.6,14,0,1267,2.4,5844,11.1,19304,36.7,7201,13.7,12103,23,1824,3.5,1873,3.6,1975,3.8,275,0.5,516,1,12611,24,54,0.1,722,1.4,92,0.2,3684,7,0,0,3536,6.7,46879,89.1,103709,197
State,Haryana,702,3.2,446,2,76,0.3,353,1.6,0,0,353,1.6,388,1.8,271,1.2,117,0.5,63,0.3,190,0.9,281,1.3,2981,13.5,5591,25.4,3079,14,2512,11.4,639,2.9,586,2.7,900,4.1,30,0.1,122,0.6,4153,18.8,222,1,344,1.6,1302,5.9,1618,7.3,0,0,971,4.4,16654,75.6,38612,175.2
State,Himachal Pradesh,125,2,74,1.2,5,0.1,126,2,0,0,126,2,113,1.8,96,1.5,17,0.3,8,0.1,0,0,19,0.3,707,11.3,627,10,218,3.5,409,6.5,610,9.8,63,1,130,2.1,3,0,121,1.9,1385,22.2,6,0.1,250,4,18,0.3,221,3.5,0,0,463,7.4,6937,111,12011,192.2
State,Jammu & Kashmir,929,8.7,1216,11.3,29,0.3,211,2,0,0,211,2,712,6.6,615,5.7,97,0.9,23,0.2,0,0,154,1.4,1526,14.2,1949,18.2,576,5.4,1373,12.8,1167,10.9,116,1.1,408,3.8,21,0.2,328,3.1,310,2.9,10,0.1,875,8.2,376,3.5,71,0.7,0,0,378,3.5,10424,97.1,21233,197.8
