Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
State,Andhra Pradesh,11100,4440,9821,48638,73999
State,Arunachal Pradesh,69,4295,63,1293,5720
State,Assam,2459,5061,5492,39037,52049
State,Bihar,5456,2053,3127,41873,52509
State,Chhattisgarh,1271,3700,199,15302,20472
State,Goa,116,164,86,3339,3705
State,Gujarat,8176,8951,3649,36821,57597
State,Haryana,4391,0,388,25338,30117
State,Himachal Pradesh,2777,720,183,8461,12141
State,Jammu & Kashmir,1592,1889,33274,22282,59037
State,Jharkhand,0,0,0,0,0
State,Karnataka,8593,2362,3528,37616,52099
State,Kerala,6984,513,5819,30963,44279
State,Madhya Pradesh,0,0,0,0,0
State,Maharashtra,21595,12242,7542,97994,139373
State,Manipur,185,3236,1332,8935,13688
State,Meghalaya,1325,6618,95,645,8683
State,Mizoram,182,6791,72,65,7110
State,Nagaland,434,10840,120,373,11767
State,Orissa,4969,5844,816,23633,35262
State,Punjab,11055,25,158,32804,44042
State,Rajasthan,9610,7748,1897,44817,64072
State,Sikkim,410,1052,3,1646,3111
State,Tamil Nadu,14095,645,2028,63450,80218
State,Tripura,2100,1700,200,12880,16880
State,Uttar Pradesh,26548,1265,6671,122216,156700
State,Uttaranchal,2917,597,451,9109,13074
State,West Bengal,11679,3460,6037,61786,82962
State,Total (States),160088,96211,93051,791316,1140666
Union Territory,A & N Islands,0,295,220,2170,2685
Union Territory,Chandigarh,557,3,13,3350,3923
Union Territory,D & N Haveli,21,115,3,77,216
Union Territory,Daman & Diu,69,4,8,167,248
Union Territory,Delhi,8237,3672,1207,41944,55060
Union Territory,Lakshadweep,4,204,2,114,324
Union Territory,Pondicherry,452,14,52,1660,2178
Union Territory,Total (UTs),9340,4307,1505,49482,64634
Total (All-India),Total (All-India),169428,100518,94556,840798,1205300
