Category,States/UTs/Cities,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs)@,Rate of Total Cognizable Crimes,Rank per Rate of total cognizable crimes,Rank per Percentage share
State,Andhra Pradesh,1463,12.6,778.73,1.9,10,4
State,Arunachal Pradesh,18,0.2,11.3,1.6,14,26
State,Assam,19,0.2,277.25,0.1,32,25
State,Bihar,56,0.5,867.74,0.1,33,18
State,Chhattisgarh,614,5.3,217.21,2.8,6,6
State,Goa,57,0.5,14.25,4,3,17
State,Gujarat,665,5.7,526.39,1.3,18,5
State,Haryana,287,2.5,220.4,1.3,17,8
State,Himachal Pradesh,109,0.9,62.49,1.7,12,16
State,Jammu & Kashmir,49,0.4,107.33,0.5,23,19
State,Jharkhand,35,0.3,280.03,0.1,31,23
State,Karnataka,116,1,543.7,0.2,29,15
State,Kerala,179,1.5,326.2,0.5,21,11
State,Madhya Pradesh,2662,22.9,633.66,4.2,1,1
State,Maharashtra,2001,17.2,1003.09,2,8,2
State,Manipur,36,0.3,24.78,1.5,16,22
State,Meghalaya,46,0.4,23.9,1.9,9,20
State,Mizoram,17,0.1,9.23,1.8,11,27
State,Nagaland,0,0,20.75,0,NA,NA
State,Orissa,140,1.2,378.21,0.4,26,14
State,Punjab,184,1.6,251.13,0.7,20,10
State,Rajasthan,240,2.1,593.32,0.4,25,9
State,Sikkim,15,0.1,5.61,2.7,7,28
State,Tamil Nadu,177,1.5,635.87,0.3,27,12
State,Tripura,0,0,32.94,0,NA,NA
State,Uttar Pradesh,1702,14.6,1743.8,1,19,3
State,Uttaranchal,23,0.2,88.25,0.3,28,24
State,West Bengal,148,1.3,828.33,0.2,30,13
State,Total (States),11058,95.1,10505.89,1.1,NA,NA
Union Territory,A & N Islands,6,0.1,3.73,1.6,13,30
Union Territory,Chandigarh,40,0.3,9.55,4.2,2,21
Union Territory,D & N Haveli,1,0,2.33,0.4,24,33
Union Territory,Daman & Diu,6,0.1,1.68,3.6,4,29
Union Territory,Delhi,516,4.4,148.28,3.5,5,7
Union Territory,Lakshadweep,1,0,0.63,1.6,15,32
Union Territory,Pondicherry,5,0,10.05,0.5,22,31
Union Territory,Total (UTs),575,4.9,176.25,3.3,NA,NA
Total (All-India),Total (All-India),11633,100,10682.14,1.1,NA,NA
City,Agra,36,1.9,13.21,2.7,11,15
City,Ahmedabad,53,2.9,45.19,1.2,19,13
City,Allahabad,4,0.2,10.5,0.4,27,29
City,Amritsar,25,1.3,10.11,2.5,13,18
City,Asansol,0,0,10.91,0,NA,NA
City,Bangalore,0,0,56.87,0,NA,NA
City,Bhopal,56,3,14.55,3.8,7,12
City,Chennai,0,0,64.25,0,NA,NA
City,Coimbatore,7,0.4,14.46,0.5,25,26
City,Delhi (CITY),414,22.3,127.91,3.2,9,1
City,Dhanbad,0,0,10.64,0,NA,NA
City,Faridabad,19,1,10.55,1.8,15,21
City,Hyderabad,56,3,55.34,1,21,11
City,Indore,29,1.6,16.39,1.8,16,17
City,Jabalpur,0,0,11.17,0,NA,NA
City,Jaipur,10,0.5,23.24,0.4,26,25
City,Jamshedpur,13,0.7,11.02,1.2,18,22
City,Kanpur,4,0.2,26.9,0.1,29,28
City,Kochi,12,0.6,13.55,0.9,24,23
City,Kolkata,121,6.5,132.17,0.9,22,4
City,Lucknow,58,3.1,22.67,2.6,12,9
City,Ludhiana,90,4.8,13.95,6.5,1,7
City,Madurai,1,0.1,11.95,0.1,30,30
City,Meerut,24,1.3,11.67,2.1,14,19
City,Mumbai,175,9.4,163.68,1.1,20,3
City,Nagpur,115,6.2,21.23,5.4,4,5
City,Nasik,34,1.8,11.52,3,10,16
City,Patna,6,0.3,17.07,0.4,28,27
City,Pune,207,11.2,37.56,5.5,3,2
City,Rajkot,45,2.4,10.02,4.5,5,14
City,Surat,91,4.9,28.11,3.2,8,6
City,Vadodara,60,3.2,14.92,4,6,8
City,Varanasi,11,0.6,12.12,0.9,23,24
City,Vijayawada,57,3.1,10.11,5.6,2,10
City,Vishakhapatnam,23,1.2,13.29,1.7,17,20
City,Total (Cities),1856,100,1078.8,1.7,NA,NA
