Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Railways Other Railways - Number,Railways Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,7487,849.3,130,120.3,72,2.2,1151,164.9,503,97.3,648,67.7,5,1.9,2991,425,11572,1969.4,23408,3533
State,Arunachal Pradesh,173,94.6,18,0.2,0,0,0,0,0,0,0,0,0,0,53,8.4,126,42.9,370,146.2
State,Assam,2432,417.2,167,47.9,2,0.1,35,42.9,0,0,35,42.9,0,0,1257,211.9,1632,251.2,5525,971.3
State,Bihar,3663,489.1,275,89.9,1,0.2,1344,104.5,923,83.9,421,20.6,6,3.8,882,90.9,3953,514.9,10124,1293.4
State,Chhattisgarh,1116,151.3,47,23.6,0,0,297,38.5,104,13.3,193,25.2,6,1.1,175,90.5,2529,282.6,4170,587.6
State,Goa,74,28.5,4,1.1,1,0.1,5,2.4,3,2.2,2,0.2,1,1.1,35,14.5,344,83.2,464,130.9
State,Gujarat,4150,1256.9,148,123.9,6,0.2,1178,137.3,380,63.7,798,73.5,25,9.8,2356,358.9,11441,3264.5,19304,5151.6
State,Haryana,2163,786.7,171,61.1,0,0,149,23.5,21,6.9,128,16.6,2,135.3,479,170.2,2627,1258.8,5591,2435.5
State,Himachal Pradesh,62,36.9,51,77.2,0,0,0,0,0,0,0,0,0,0,28,14.2,486,285.6,627,413.8
State,Jammu & Kashmir,498,143.3,16,2.6,0,0,0,0,0,0,0,0,0,0,218,111.2,1217,481.3,1949,738.4
State,Jharkhand,2300,343.4,298,124.5,6,0.5,40,5.5,0,0,40,5.5,58,0.2,514,204.7,939,130.4,4155,809.3
State,Karnataka,3465,794.9,30,51.2,2,4.5,557,137.7,499,130.6,58,7.1,138,64.6,1348,442.2,8640,1663.7,14180,3158.8
State,Kerala,1778,847.7,48,20.9,5,1.7,158,36.9,122,29.1,36,7.9,0,0,273,93.6,2629,883.2,4891,1884.2
State,Madhya Pradesh,8347,1124.7,509,134.1,21,1.9,1421,169.1,873,130.9,548,38.2,8,2.4,1274,180.6,8842,1633.9,20422,3246.6
State,Maharashtra,7027,2148.5,483,272.8,8,4.7,2743,435.8,1374,263,1369,172.8,44,17.6,5545,1152.5,21248,9101.2,37098,13133.1
State,Manipur,52,11.6,4,1.1,0,0,0,0,0,0,0,0,0,0,7,2.4,189,54.4,252,69.5
State,Meghalaya,158,1378,4,3,0,0,0,0,0,0,0,0,0,0,1,2,197,82,360,1464.9
State,Mizoram,617,45.7,5,0.4,0,0,0,0,0,0,0,0,0,0,351,28.7,330,50.5,1303,125.3
State,Nagaland,131,10.9,14,9.4,0,0,0,0,0,0,0,0,0,0,19,2.5,57,4.3,221,27.1
State,Orissa,1958,306.6,26,4,0,0,477,101.7,205,25.6,272,76.2,0,0,346,61.2,2552,466.3,5359,939.8
State,Punjab,772,401.8,31,40,0,0,26,3.1,6,1.4,20,1.6,2,0.8,432,355.5,1935,1180.8,3198,1981.9
State,Rajasthan,2283,1452.3,106,128.4,0,0,535,63,364,49.5,171,13.5,0,0,605,450.9,12927,1746.9,16456,3841.5
State,Sikkim,32,5,0,0,0,0,0,0,0,0,0,0,1,0.5,15,4.8,17,6.1,65,16.4
State,Tamil Nadu,5555,783.3,50,42.9,2,0.2,224,55.5,133,47.8,91,7.7,1,0.1,2154,314.3,10227,1224.5,18213,2420.9
State,Tripura,190,12.7,0,0,0,0,25,5,0,0,25,5,61,59.7,0,0,0,0,276,77.4
State,Uttar Pradesh,3892,911.1,2634,991.8,0,0,2487,224.1,1980,132.9,507,91.2,0,0,349,180.8,6389,1217.8,15751,3525.7
State,Uttaranchal,581,160.2,40,5.2,0,0,48,4.5,33,3.4,15,1.1,0,0,201,44.3,498,82,1368,296.3
State,West Bengal,5890,1552.9,19,25.4,2,0.8,404,34.5,362,31.5,42,3,3,1.5,1598,414,4697,1576.1,12613,3605.1
State,Total (States),66846,16545.1,5328,2403.2,128,16.9,13304,1790.7,7885,1113.2,5419,677.5,361,300.4,23506,5430.8,118240,29538.5,227713,56025.6
Union Territory,A & N Islands,14,1.6,0,0,3,0.3,0,0,0,0,0,0,0,0,2,0.2,41,11.8,60,13.9
Union Territory,Chandigarh,209,35.3,0,0,0,0,0,0,0,0,0,0,1,0,65,5.7,963,486,1238,527.1
Union Territory,D & N Haveli,19,5.8,0,0,0,0,0,0,0,0,0,0,0,0,23,493.2,19,4.6,61,503.6
Union Territory,Daman & Diu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.7,35,56.2,46,59.9
Union Territory,Delhi,4998,3673.7,129,56.5,0,0,1095,168.3,1019,125.2,76,43.1,10,5.2,1407,757.4,7905,3902,15544,8563.1
Union Territory,Lakshadweep,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,5,0.3,8,1.1
Union Territory,Pondicherry,57,11.2,0,0,1,2.5,0,0,0,0,0,0,0,0,45,11.4,464,76.6,567,101.7
Union Territory,Total (UTs),5301,3728.4,129,56.5,4,2.8,1095,168.3,1019,125.2,76,43.1,11,5.2,1552,1271.8,9432,4537.3,17524,9770.4
Total (All-India),Total (All-India),72147,20273.5,5457,2459.7,132,19.7,14399,1959,8904,1238.3,5495,720.6,372,305.7,25058,6702.6,127672,34075.8,245237,65795.9
City,Agra,203,30,263,38.7,0,0,0,0,0,0,0,0,0,0,0,0,116,46.6,582,115.3
City,Ahmedabad,1684,578.3,0,0,0,0,0,0,0,0,0,0,6,0.9,1262,127.5,2425,552.5,5377,1259.2
City,Allahabad,106,10.2,0,0,0,0,0,0,0,0,0,0,0,0,9,2.2,117,52.5,232,64.9
City,Amritsar,62,1,0,0,0,0,0,0,0,0,0,0,0,0,46,103.1,36,51.1,144,155.3
City,Asansol,55,12.5,0,0,0,0,0,0,0,0,0,0,0,0,17,9.5,3,0.8,75,22.8
City,Bangalore,2130,526.2,1,0.2,0,0,0,0,0,0,0,0,4,9.7,642,256.5,4346,739.8,7123,1532.4
City,Bhopal,378,46,0,0,0,0,0,0,0,0,0,0,0,0,49,25.4,1022,282.9,1449,354.3
City,Chennai,1757,240.2,0,0,0,0,0,0,0,0,0,0,0,0,390,40.6,1632,120.9,3779,401.8
City,Coimbatore,232,17,0,0,0,0,0,0,0,0,0,0,0,0,461,87.3,300,20,993,124.3
City,Delhi (CITY),4367,3465.2,117,5.5,0,0,1095,168.3,76,43.1,1019,125.2,10,5.2,1301,712.2,7432,3621.4,14322,7977.8
City,Dhanbad,123,51,0,0,0,0,0,0,0,0,0,0,0,0,86,80.1,22,0.9,231,132
City,Faridabad,49,56.1,0,0,0,0,0,0,0,0,0,0,0,0,298,65.4,151,34.6,498,156.1
City,Hyderabad,1027,211.6,0,0,0,0,0,0,0,0,0,0,0,0,832,123.9,4715,682.1,6574,1017.6
City,Indore,2230,473.5,0,0,0,0,0,0,0,0,0,0,0,0,85,18.1,179,38,2494,529.6
City,Jabalpur,821,163.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,20.4,944,183.9
City,Jaipur,417,69.4,0,0,0,0,0,0,0,0,0,0,0,0,106,99.4,2030,562.5,2553,731.3
City,Jamshedpur,91,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,29.7,553,31.5
City,Kanpur,59,9.1,0,0,0,0,0,0,0,0,0,0,0,0,3,1.7,768,155.1,830,166
City,Kochi,84,86.6,0,0,0,0,0,0,0,0,0,0,0,0,50,38.7,352,59.4,486,184.6
City,Kolkata,897,647.4,0,0,0,0,0,0,0,0,0,0,0,0,613,274.1,2174,1326.7,3684,2248.1
City,Lucknow,684,75.3,220,164.1,0,0,0,0,0,0,0,0,0,0,0,0,58,46.6,962,286
City,Ludhiana,57,19.7,0,0,0,0,0,0,0,0,0,0,0,0,89,17.4,576,372.2,722,409.2
City,Madurai,27,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0.9,425,54.5,468,57.4
City,Meerut,280,71.3,23,2.8,0,0,0,0,0,0,0,0,0,0,113,4.8,69,13.2,485,92.1
City,Mumbai,1729,955,438,236.7,1,2,14,5.1,0,0,14,5.1,14,9.1,3702,637.1,3895,3468.1,9793,5313
City,Nagpur,206,27.6,0,0,0,0,0,0,0,0,0,0,2,1,61,6.6,1753,506.3,2022,541.5
City,Nasik,124,29.2,0,0,2,0.1,0,0,0,0,0,0,0,0,131,57.6,448,169.8,705,256.7
City,Patna,1170,285.4,38,56.1,0,0,0,0,0,0,0,0,0,0,8,9.4,151,108.4,1367,459.3
City,Pune,246,98.1,0,0,0,0,2,0.9,2,0.9,0,0,17,3.4,281,98.2,2194,902.6,2740,1103.2
City,Rajkot,103,7.2,0,0,0,0,0,0,0,0,0,0,0,0,53,1.7,1369,303.7,1525,312.6
City,Surat,338,111.2,0,0,1,0,0,0,0,0,0,0,3,0.4,81,26.1,1326,385.1,1749,522.7
City,Vadodara,430,207.8,10,24.6,0,0,0,0,0,0,0,0,1,1.4,212,40.6,732,177.1,1385,451.6
City,Varanasi,51,7.9,190,21.2,0,0,0,0,0,0,0,0,0,0,0,0,62,12.6,303,41.7
City,Vijayawada,2084,166.2,20,2.5,1,0,0,0,0,0,0,0,1,0,555,80.2,756,90.4,3417,339.3
City,Vishakhapatnam,195,21.2,0,0,0,0,0,0,0,0,0,0,0,0,162,22.2,175,26.9,532,70.3
