Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),No. of Cases - Compounded or Withdrawn (Col. 4),No. of Cases in which Trials were Completed - Convicted (Col. 5),No. of Cases in which Trials were Completed - Acquitted or Discharged (Col. 6),No. of Cases in which Trials were Completed - Total = Col. {(5) + (6)) (Col. 7),No. of Cases - Pending Trial (Col. 8),Conviction Rate = Col. (5/7 X 100) (Col. 9)
1,Murder,0,0.2,7.2,9.7,16.9,82.9,42.9
2,Rape,0,1.1,3.8,12.6,16.3,82.5,23
3,Kidnapping & Abduction,0,0.8,9.2,11.2,20.4,78.8,45.3
4,Dacoity,0,0,25.4,1.5,26.9,73.1,94.4
5,Robbery,0,0,5.4,1.8,7.2,92.8,75
6,Arson,0,0,1.9,11.9,13.8,86.3,13.6
7,Hurt,0.2,2,5,12.4,17.4,80.6,28.6
8,P.C.R. Act,0,23.1,0.6,19.7,20.3,56.6,2.8
9,SC/ST Prev. of Atrocities Act,0.4,1,4.1,13.5,17.6,81.4,23.5
10,Other Crimes Against SCs,0.1,1.5,5.1,11.1,16.2,82.3,31.3
Total,Total,0.2,1.7,4.7,12.2,16.9,81.4,28
