Crime Head,Incidence - 1993,Rate of Crime - 1993,Incidence - 1998,Rate of Crime - 1998,Incidence - 1999,Rate of Crime - 1999,Incidence - 2000,Rate of Crime - 2000,Incidence - 2001,Rate of Crime - 2001,Incidence - 2002,Rate of Crime - 2002,Incidence - Quinquennial Avg.1998-2002 (Q.A),Rate of Crime - Quinquennial Avg.1998-2002 (Q.A),Incidence - 2003,Rate of Crime - 2003,Percentage Change in 2003 [(+) Increase/(–) Decrease] Over - 1993,Percentage Change in 2003 [(+) Increase/(–) Decrease] Over - Q.A,Percentage Change in 2003 [(+) Increase/(–) Decrease] Over - 2002,Note of Incidence - 1993,Note of Rate of Crime - 1993,Note of Incidence - 1998,Note of Rate of Crime - 1998,Note of Incidence - 1999,Note of Rate of Crime - 1999,Note of Incidence - 2000,Note of Rate of Crime - 2000
Murder,38240,4.3,38584,4,37170,3.8,37399,3.7,36202,3.5,35290,3.4,36929,3.7,32716,3.1,14.4,11.4,7.3,NA,NA,NA,NA,NA,NA,NA,NA
Attempt to Commit Murder,29725,3.4,30577,3.1,29628,3,30743,3.1,31523,3.1,30380,2.9,30570,3,25942,2.4,12.7,15.1,14.6,NA,NA,NA,NA,NA,NA,NA,NA
C.H. not Amounting to Murder,3890,0.4,3681,0.4,3912,0.4,3773,0.4,3367,0.3,3624,0.3,3671,0.4,4029,0.4,3.6,9.7,11.2,NA,NA,NA,NA,NA,NA,NA,NA
Rape - Total,12218,1.4,15151,1.6,15468,1.6,16496,1.6,16075,1.6,16373,1.6,15913,1.6,15847,1.5,29.7,0.4,3.2,NA,NA,NA,NA,NA,NA,NA,NA
Rape - i) Custodial Rape,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,NA,NA,1,0,NA,NA,66.7,*,*,*,*,*,*,*,*
Rape - ii) Other Rape,NA,NA,NA,NA,NA,NA,NA,NA,16075,1.6,16370,1.6,15846,1.5,15846,1.5,NA,NA,3.2,*,*,*,*,*,*,*,*
Kidnapping & Abduction - Total,19830,2.2,23520,2.4,23236,2.4,22871,2.3,22487,2.2,21850,2.1,22793,2.3,19992,1.9,0.8,12.3,8.5,NA,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction - i) of Women & Girls,14058,1.6,16351,1.7,15962,1.6,15023,1.5,14645,1.4,14506,1.4,15297,1.5,13296,1.2,5.4,13.1,8.3,NA,NA,NA,NA,NA,NA,NA,NA
Kidnapping & Abduction - ii) of Others,5772,0.7,7169,0.7,7274,0.7,7848,0.8,7842,0.8,7344,0.7,7495,0.7,6696,0.6,16,10.7,8.8,NA,NA,NA,NA,NA,NA,NA,NA
Dacoity,9357,1.1,8091,0.8,7079,0.7,6825,0.7,6154,0.6,6101,0.6,15297,0.7,5303,0.5,43.3,22.6,13.1,NA,NA,NA,NA,NA,NA,NA,NA
Preparation & Assembly for Dacoity,1102,0.1,1266,0.1,1501,0.2,1505,0.2,1614,0.2,1841,0.2,7495,0.2,2302,0.2,108.9,49,25,NA,NA,NA,NA,NA,NA,NA,NA
Robbery,24354,2.8,23603,2.4,21332,2.2,20926,2.1,19901,1.9,18764,1.8,6850,2.1,17512,1.6,28.1,16.2,6.7,NA,NA,NA,NA,NA,NA,NA,NA
Burglary,123020,13.9,119260,12.3,111296,11.3,105391,10.5,101182,9.9,96461,9.2,1545,10.6,92827,8.7,24.5,13,3.8,NA,NA,NA,NA,NA,NA,NA,NA
Theft - Total,320434,36.3,287967,29.7,271907,27.6,258588,25.8,252803,24.6,247462,23.6,20905,26.2,245237,23,23.5,7,0.9,NA,NA,NA,NA,NA,NA,NA,NA
Theft - i) Auto Theft,NA,NA,NA,NA,59685,6,58415,5.8,63713,6.2,66668,6.3,NA,NA,69307,6.5,NA,NA,4,*,*,*,*,NA,NA,NA,NA
Theft - ii) Other Theft,NA,NA,NA,NA,212154,21.5,200173,20,189090,18.4,180794,17.2,NA,NA,175930,16.5,NA,NA,2.7,*,*,*,*,NA,NA,NA,NA
Riots,93838,10.6,90767,9.3,80838,8.2,80456,8,76222,7.4,68945,6.6,106718,7.9,57334,5.4,38.9,27.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA
Criminal Breach of Trust,17039,1.9,16157,1.7,15454,1.6,14581,1.5,14798,1.4,14027,1.3,263745,1.5,13432,1.3,21.2,10.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA
Cheating,30079,3.4,38271,3.9,41403,4.2,41701,4.2,44727,4.4,46271,4.4,79446,4.2,47478,4.4,57.8,11.8,2.6,NA,NA,NA,NA,NA,NA,NA,NA
Counterfeiting,3728,0.4,1353,0.1,1347,0.1,2299,0.2,1683,0.2,1522,0.1,15003,0.2,2055,0.2,44.9,25.2,35,NA,NA,NA,NA,NA,NA,NA,NA
Arson,NA,NA,12913,1.3,11218,1.1,10392,1,10534,1,11820,1.1,42475,1.1,9365,0.9,NA,17.7,20.8,*,*,NA,NA,NA,NA,NA,NA
Hurt,NA,NA,235870,24.3,236313,24,240580,24,271487,26.4,265025,25.2,1641,24.8,261444,24.5,NA,4.6,1.4,*,*,NA,NA,NA,NA,NA,NA
Dowry Death,NA,NA,6975,0.7,6699,0.7,6995,0.7,6851,0.7,6822,0.6,11375,0.7,6208,0.6,NA,9.6,9,*,*,NA,NA,NA,NA,NA,NA
Molestation,NA,NA,30959,3.2,32311,3.3,32940,3.3,34124,3.3,33943,3.2,249855,3.3,32939,3.1,NA,0.3,3,*,*,NA,NA,NA,NA,NA,NA
Sexual Harassment (Eve-Teasing),NA,NA,8053,-0.8,8858,-0.9,11024,-1.1,9746,-0.9,10155,-1,6868,0.9,12325,1.2,NA,28.8,21.4,*,*,NA,NA,NA,NA,NA,NA
Cruelty by Husband and Relatives,NA,NA,41375,-4.3,43823,-4.4,45778,-4.6,49170,-4.8,49237,-4.7,32855,4.5,50703,4.7,NA,10.5,3,*,*,NA,NA,NA,NA,NA,NA
Importation of Girls,NA,NA,NA,NA,1,0,64,0,114,0,76,0,NA,NA,46,0,NA,NA,39.5,*,*,*,*,NA,NA,NA,NA
Causing Death by Negligence,NA,NA,NA,NA,NA,NA,NA,NA,57182,-5.6,64044,-6.1,NA,NA,60672,5.7,NA,NA,5.3,*,*,*,*,*,*,*,*
Other IPC Crimes,903082,102.2,744422,76.7,763835,77.4,779757,77.8,701362,68.3,730297,69.5,743935,73.9,700412,65.6,22.4,5.9,4.1,NA,NA,NA,NA,NA,NA,NA,NA
Total Cognizable Crimes under IPC,1629936,184.4,1778815,183.2,1764629,178.9,1771084,176.7,1769308,172.3,1780330,169.5,1772833,176.1,1716120,160.7,5.3,3.2,3.6,NA,NA,NA,NA,NA,NA,NA,NA
