Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,Andhra Pradesh,20,20.4,12.7,16,NA,16,12.6,11.3,14.2,16,0,26.7,48,47.1,40.8,48.2,10.9,24.4,18.8,16.4,12.2,41.3,17.4,19.6,63.1,18,33.3,41.1,48.8,39.6
State,Arunachal Pradesh,45,0,NA,NA,NA,NA,100,100,NA,NA,0,83.3,68.8,68.3,100,67.8,NA,0,75,NA,0,44.2,NA,50,NA,100,NA,NA,75,62.3
State,Assam,31.9,24.6,20.8,22.8,NA,22.8,22.4,24.1,11.6,29.6,27.3,22.7,23.5,24.3,20.2,24.5,15,16.5,22.9,14.8,13.8,21.6,30.8,14,11.8,6.9,NA,19.7,18.1,19.8
State,Bihar,18.4,19,25,23.1,NA,23.1,19.9,23.2,18.7,16.9,24.7,22.8,19.3,23.2,24.2,23.2,16.9,23.9,19.7,28,21.9,22.4,20.6,18.1,37.9,18.3,0,25.3,12.9,17.1
State,Chhattisgarh,47.9,39.4,27.3,36.2,NA,36.2,30,28.7,38.5,30.4,0,28.2,38.7,35,41.9,33.7,38.9,45.8,37.5,25,35.1,68.7,50,57,62.5,36.5,NA,39.9,68.9,58.7
State,Goa,56.3,18.5,25,38.9,NA,38.9,0,0,0,50,NA,15.4,30.9,25.2,18.8,26.2,13,17.6,20,0,8.3,17.2,0,16.7,20,25,NA,15.2,38.9,28.7
State,Gujarat,18.5,6.9,0,10.5,NA,10.5,7.5,7.4,8.3,4.1,20,10.2,10.1,12.5,18.5,11.1,12.2,5.6,3.6,27.3,4.1,10.4,8.3,7.7,15.1,3.9,NA,8,24.7,18.7
State,Haryana,37.2,27,26.9,25.9,NA,25.9,22.2,20.9,25.9,38.7,27.7,25.1,37.7,33.6,29.9,35.4,13.1,13.5,12.2,33.3,14.8,12.2,28.4,23.2,90.2,9.1,NA,14.2,54.3,41.1
State,Himachal Pradesh,24.7,27.3,0,23,NA,23,15.3,12.7,50,0,NA,18.2,18.6,18.3,33.3,16.6,9.4,11.4,12.7,NA,1.9,12.4,0,19.1,9.1,6.7,NA,14.6,40.9,30.4
State,Jammu & Kashmir,17.3,5,10,10.2,NA,10.2,1.2,1.3,0,0,NA,4,4.6,6.9,9.5,6.8,5.9,8.5,8,33.3,5.9,14.9,30.8,10.4,48.8,13,NA,33.5,64.4,46.8
