Category,States/UTs/Cities,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
State,Andhra Pradesh,6606.8,2684.9,40.6
State,Arunachal Pradesh,440.9,171.5,38.9
State,Assam,1825.8,519.4,28.4
State,Bihar,2753.3,412.2,15
State,Chhattisgarh,1469.3,424.2,28.9
State,Goa,2754,85.7,3.1
State,Gujarat,32419.3,3086.2,9.5
State,Haryana,4911.4,3355.5,68.3
State,Himachal Pradesh,718,264.4,36.8
State,Jammu & Kashmir,1301.5,571.1,43.9
State,Jharkhand,1441,296.5,20.6
State,Karnataka,7000.7,2185.4,31.2
State,Kerala,5706.3,1256,22
State,Madhya Pradesh,6001.5,2353.4,39.2
State,Maharashtra,38745.6,7494.5,19.3
State,Manipur,171.9,23.2,13.5
State,Meghalaya,2685.2,25.4,0.9
State,Mizoram,189.5,118.2,62.4
State,Nagaland,96.7,40.3,41.7
State,Orissa,1874.4,730.6,39
State,Punjab,7274.5,3923.2,53.9
State,Rajasthan,6174.4,3196.7,51.8
State,Sikkim,85.8,12.7,14.8
State,Tamil Nadu,5398.3,3685,68.3
State,Tripura,145.3,29.7,20.4
State,Uttar Pradesh,8052.2,5067.9,62.9
State,Uttaranchal,515.4,164.8,32
State,West Bengal,5565.6,1320.5,23.7
State,Total (States),152324.7,43499.1,28.6
Union Territory,A & N Islands,31.8,10,31.5
Union Territory,Chandigarh,637.2,279.5,43.9
Union Territory,D & N Haveli,741.2,69.1,9.3
Union Territory,Daman & Diu,181.7,77.6,42.7
Union Territory,Delhi,19381.6,766.3,4
Union Territory,Lakshadweep,1.8,1,54.1
Union Territory,Pondicherry,203.7,56.9,27.9
Union Territory,Total (UTs),21179.1,1260.3,6
Total (All-India),Total (All-India),173503.8,44759.4,25.8
City,Agra,132.9,56.3,42.4
City,Ahmedabad,11579.8,851,7.3
City,Allahabad,105.9,19.2,18.1
City,Amritsar,339.9,188.3,55.4
City,Asansol,28.3,11.2,39.6
City,Bangalore,3613,1111.8,30.8
City,Bhopal,509.8,203.8,40
City,Chennai,774.6,425.1,54.9
City,Coimbatore,309.3,127.7,41.3
City,Delhi (CITY),18275.4,634,3.5
City,Dhanbad,536.6,40.7,7.6
City,Faridabad,391.4,277.6,70.9
City,Hyderabad,1832.5,491.1,26.8
City,Indore,803.8,369.5,46
City,Jabalpur,287.6,116.7,40.6
City,Jaipur,1024.7,507.7,49.5
City,Jamshedpur,68.5,18.2,26.6
City,Kanpur,306.1,157.5,51.5
City,Kochi,390.1,94.1,24.1
City,Kolkata,3699.8,737.3,19.9
City,Lucknow,486.9,129.4,26.6
City,Ludhiana,691.4,279,40.4
City,Madurai,97.9,72,73.6
City,Meerut,335.7,108.8,32.4
City,Mumbai,17576.9,2953.3,16.8
City,Nagpur,1211.1,198.1,16.4
City,Nasik,839.3,107,12.7
City,Patna,633.3,71.7,11.3
City,Pune,2853.9,508.3,17.8
City,Rajkot,506.1,115,22.7
City,Surat,3301.5,438.9,13.3
City,Vadodara,2652.8,145.2,5.5
City,Varanasi,104.9,12.4,11.8
City,Vijayawada,616,115.7,18.8
City,Vishakhapatnam,165,93.9,56.9
