Category,States/ UTs,Total No. of Persons Under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,267815,5968,193940,67907,25.4,13.1
State,Arunachal Pradesh,3670,794,1613,1263,34.4,0.2
State,Assam,119277,22164,39114,57999,48.6,11.2
State,Bihar,267376,31500,177182,58694,22,11.3
State,Chhattisgarh,51838,101,49423,2314,4.5,0.4
State,Goa,3940,280,2534,1126,28.6,0.2
State,Gujarat,152676,182,143762,8732,5.7,1.7
State,Haryana,61031,58,58320,2653,4.3,0.5
State,Himachal Pradesh,20082,189,17907,1986,9.9,0.4
State,Jammu & Kashmir,29514,56,29278,180,0.6,0
State,Jharkhand,52682,3197,33179,16306,31,3.1
State,Karnataka,162713,9421,134678,18614,11.4,3.6
State,Kerala,183834,6551,142086,35197,19.1,6.8
State,Madhya Pradesh,306839,28,303233,3578,1.2,0.7
State,Maharashtra,300292,4769,250845,44678,14.9,8.6
State,Manipur,2723,1145,182,1396,51.3,0.3
State,Meghalaya,3912,241,732,2939,75.1,0.6
State,Mizoram,4400,11,2967,1422,32.3,0.3
State,Nagaland,2618,392,780,1446,55.2,0.3
State,Orissa,85084,191,78621,6272,7.4,1.2
State,Punjab,65506,3435,36385,25686,39.2,4.9
State,Rajasthan,180486,23,179704,759,0.4,0.1
State,Sikkim,592,128,215,249,42.1,0
State,Tamil Nadu,246268,5776,189490,51002,20.7,9.8
State,Tripura,6772,1442,2890,2440,36,0.5
State,Uttar Pradesh,176130,2969,156638,16523,9.4,3.2
State,Uttaranchal,14131,1239,11310,1582,11.2,0.3
State,West Bengal,172663,26359,88285,58019,33.6,11.2
State,Total (States),2944864,128609,2325293,490962,16.7,94.5
Union Territory,A & N Islands,1332,87,952,293,22,0.1
Union Territory,Chandigarh,3440,403,2374,663,19.3,0.1
Union Territory,D & N Haveli,654,16,547,91,13.9,0
Union Territory,Daman & Diu,451,22,325,104,23.1,0
Union Territory,Delhi,52651,1677,24319,26655,50.6,5.1
Union Territory,Lakshadweep,23,3,10,10,43.5,0
Union Territory,Pondicherry,6432,2,5482,948,14.7,0.2
Union Territory,Total (UTs),64983,2210,34009,28764,44.3,5.5
Total (All-India),Total (All-India),3009847,130819,2359302,519726,17.3,100
