Category,States/ UTs,Disposal of Cases under Murder - CF,Disposal of Cases under Murder - TR,Disposal of Cases under Murder - TL,Disposal of Cases under Attempt to Commit Murder - CF,Disposal of Cases under Attempt to Commit Murder - TR,Disposal of Cases under Attempt to Commit Murder - TL,Disposal of Cases under C.H. not Amounting to Murder - CF,Disposal of Cases under C.H. not Amounting to Murder - TR,Disposal of Cases under C.H. not Amounting to Murder - TL,Disposal of Cases under Rape - CF,Disposal of Cases under Rape - TR,Disposal of Cases under Rape - TL,Disposal of Cases under Kidnapping & Abduction - CF,Disposal of Cases under Kidnapping & Abduction - TR,Disposal of Cases under Kidnapping & Abduction - TL,Disposal of Cases under Women & Girls - CF,Disposal of Cases under Women & Girls - TR,Disposal of Cases under Women & Girls - TL,Disposal of Cases under Others - CF,Disposal of Cases under Others - TR,Disposal of Cases under Others - TL,Disposal of Cases under Dacoity - CF,Disposal of Cases under Dacoity - TR,Disposal of Cases under Dacoity - TL,Disposal of Cases under Preparation & Assembly for Dacoity - CF,Disposal of Cases under Preparation & Assembly for Dacoity - TR,Disposal of Cases under Preparation & Assembly for Dacoity - TL,Disposal of Cases under Robbery - CF,Disposal of Cases under Robbery - TR,Disposal of Cases under Robbery - TL,Disposal of Cases under Riot - CF,Disposal of Cases under Riot - TR,Disposal of Cases under Riot - TL,Disposal of Cases under Arson - CF,Disposal of Cases under Arson - TR,Disposal of Cases under Arson - TL,Disposal of Cases under Dowry Deaths - CF,Disposal of Cases under Dowry Deaths - TR,Disposal of Cases under Dowry Deaths - TL,Disposal of Cases under Total - CF,Disposal of Cases under Total - TR,Disposal of Cases under Total - TL
State,Andhra Pradesh,0,2625,2625,0,1322,1322,0,126,126,0,763,763,0,507,507,0,274,274,0,233,233,0,206,206,0,17,17,0,454,454,0,1390,1390,0,484,484,0,407,407,0,8301,8301
State,Arunachal Pradesh,0,20,20,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,6,6,0,0,0,0,1,1,0,0,0,0,30,30
State,Assam,31,502,533,5,174,179,1,23,24,4,456,460,20,472,492,19,404,423,1,68,69,7,192,199,0,11,11,12,265,277,14,1658,1672,8,173,181,0,26,26,102,3952,4054
State,Bihar,0,2112,2112,0,2236,2236,0,212,212,0,641,641,0,1219,1219,0,332,332,0,887,887,0,1024,1024,0,93,93,0,847,847,0,5585,5585,0,233,233,0,491,491,0,14693,14693
State,Chhattisgarh,0,729,729,0,457,457,0,22,22,0,697,697,0,100,100,0,87,87,0,13,13,0,56,56,0,8,8,0,110,110,0,275,275,0,57,57,0,40,40,0,2551,2551
State,Goa,0,16,16,0,27,27,0,4,4,0,18,18,0,3,3,0,2,2,0,1,1,0,4,4,0,0,0,0,13,13,0,54,54,0,12,12,0,1,1,0,152,152
State,Gujarat,25,1055,1080,2,588,590,0,9,9,1,228,229,2,477,479,2,417,419,0,60,60,0,147,147,0,5,5,2,292,294,11,969,980,1,313,314,0,48,48,44,4131,4175
State,Haryana,0,725,725,3,483,486,0,93,93,0,363,363,2,318,320,0,239,239,2,79,81,0,62,62,0,130,130,0,315,315,2,570,572,0,122,122,2,209,211,9,3390,3399
State,Himachal Pradesh,6,91,97,0,66,66,0,7,7,0,122,122,1,58,59,1,54,55,0,4,4,0,5,5,0,0,0,0,11,11,22,276,298,6,46,52,0,7,7,35,689,724
State,Jammu & Kashmir,0,104,104,1,199,200,0,10,10,0,88,88,0,170,170,0,153,153,0,17,17,0,5,5,0,0,0,0,25,25,0,389,389,0,17,17,0,13,13,1,1020,1021
State,Jharkhand,0,1223,1223,0,982,982,1,96,97,0,526,526,2,227,229,2,164,166,0,63,63,0,316,316,0,32,32,0,265,265,0,1600,1600,0,104,104,3,182,185,6,5553,5559
State,Karnataka,0,1280,1280,0,1377,1377,0,42,42,0,287,287,0,248,248,0,149,149,0,99,99,0,120,120,0,22,22,0,509,509,14,4470,4484,0,236,236,0,162,162,14,8753,8767
State,Kerala,2,217,219,0,198,198,0,79,79,0,230,230,0,54,54,0,33,33,0,21,21,0,44,44,0,5,5,0,156,156,76,4006,4082,2,128,130,0,11,11,80,5128,5208
State,Madhya Pradesh,0,2463,2463,0,2924,2924,0,172,172,0,2714,2714,0,962,962,0,793,793,0,169,169,0,139,139,0,140,140,0,1182,1182,0,1434,1434,0,698,698,0,663,663,0,13491,13491
State,Maharashtra,28,2314,2342,20,1202,1222,0,63,63,13,1171,1184,9,555,564,4,401,405,5,154,159,0,315,315,1,149,150,18,942,960,124,3360,3484,0,663,663,1,399,400,214,11133,11347
State,Manipur,0,16,16,0,2,2,0,0,0,0,3,3,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24
State,Meghalaya,0,12,12,0,10,10,0,1,1,0,4,4,0,5,5,0,3,3,0,2,2,0,10,10,0,0,0,4,8,12,0,0,0,0,2,2,0,0,0,4,52,56
State,Mizoram,15,4,19,6,13,19,1,2,3,16,6,22,1,2,3,1,1,2,0,1,1,0,1,1,0,0,0,2,5,7,0,0,0,8,4,12,0,0,0,49,37,86
State,Nagaland,0,16,16,0,10,10,0,5,5,0,9,9,0,6,6,0,2,2,0,4,4,0,3,3,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,61,61
State,Orissa,0,760,760,0,1117,1117,0,97,97,0,539,539,0,379,379,0,308,308,0,71,71,0,232,232,0,37,37,0,633,633,0,1445,1445,0,246,246,0,186,186,0,5671,5671
State,Punjab,0,650,650,0,560,560,0,73,73,0,318,318,0,170,170,0,98,98,0,72,72,0,28,28,0,91,91,0,61,61,0,9,9,0,44,44,0,181,181,0,2185,2185
State,Rajasthan,0,1398,1398,0,1997,1997,0,47,47,0,919,919,1,991,992,1,743,744,0,248,248,0,76,76,0,30,30,0,584,584,36,5478,5514,0,456,456,0,290,290,37,12266,12303
State,Sikkim,0,13,13,0,2,2,0,2,2,0,3,3,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,2,2,0,10,10,0,1,1,0,0,0,0,35,35
State,Tamil Nadu,93,1641,1734,123,1976,2099,0,30,30,20,435,455,20,399,419,18,281,299,2,118,120,3,127,130,0,2,2,18,455,473,395,4303,4698,9,404,413,7,237,244,688,10009,10697
State,Tripura,0,112,112,0,16,16,0,1,1,0,51,51,0,77,77,0,24,24,0,53,53,0,13,13,0,0,0,0,29,29,0,113,113,0,11,11,0,12,12,0,435,435
State,Uttar Pradesh,0,5991,5991,1,5129,5130,0,1369,1369,0,1336,1336,0,1881,1881,0,1225,1225,0,656,656,0,762,762,0,178,178,0,1685,1685,38,2987,3025,0,607,607,0,1408,1408,39,23333,23372
State,Uttaranchal,1,148,149,2,253,255,0,42,42,0,75,75,4,50,54,2,39,41,2,11,13,0,16,16,0,2,2,0,60,60,23,158,181,0,10,10,0,38,38,30,852,882
State,West Bengal,18,842,860,0,383,383,4,423,427,1,506,507,0,471,471,0,359,359,0,112,112,3,221,224,0,394,394,0,225,225,2,2773,2775,0,82,82,5,213,218,33,6533,6566
State,Total (States),219,27079,27298,163,23704,23867,7,3050,3057,55,12508,12563,62,9807,9869,50,6589,6639,12,3218,3230,13,4124,4137,1,1347,1348,56,9151,9207,757,43312,44069,34,5154,5188,18,5224,5242,1385,144460,145845
Union Territory,A & N Islands,0,1,1,0,1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,6,6,0,3,3,0,0,0,0,19,19
Union Territory,Chandigarh,0,9,9,0,17,17,0,2,2,0,17,17,0,19,19,0,11,11,0,8,8,0,3,3,0,1,1,0,7,7,0,29,29,0,2,2,0,0,0,0,106,106
