Category (Col. 1),States/ UTs (Col. 2),District/Session Judge Duration of Trial. - Less Than 6 Months (Col. 3),District/Session Judge Duration of Trial. - (6 - 12) Months (Col. 4),District/Session Judge Duration of Trial. - (1 - 3) Years (Col. 5),District/Session Judge Duration of Trial. - (3-5) Years (Col. 6),District/Session Judge Duration of Trial. - (5 - 10) Years (Col. 7),District/Session Judge Duration of Trial. - Over 10 Years (Col. 8),District/Session Judge Duration of Trial. - Total (Col. 9)= Col. (3 to 8),Additional Session Judge Duration of Trial. - Less Than 6 Months (Col. 10),Additional Session Judge Duration of Trial. - (6 - 12) Months (Col. 11),Additional Session Judge Duration of Trial. - (1-3) Years (Col. 12),Additional Session Judge Duration of Trial. - (3 - 5) Years (Col. 13),Additional Session Judge Duration of Trial. - (5-10) Years (Col. 14),Additional Session Judge Duration of Trial. - Over 10 Years (Col. 15),Additional Session Judge Duration of Trial. - Total (Col. 16)= Col. (10 to 15),Chief Judicial Magistrate Duration of Trial. - Less Than 6 Months (Col. 17),Chief Judicial Magistrate Duration of Trial. - (6 - 12) Months (Col. 18),Chief Judicial Magistrate Duration of Trial. - (1-3) Years (Col. 19),Chief Judicial Magistrate Duration of Trial. - (3 - 5) Years (Col. 20),Chief Judicial Magistrate Duration of Trial. - (5-10) Years (Col. 21),Chief Judicial Magistrate Duration of Trial. - Over 10 Years (Col. 22),Chief Judicial Magistrate Duration of Trial. - Total (Col. 23)= Col. (17 to 22),Judicial Magistrate (I) Duration of Trial. - Less Than 6 Months (Col. 24),Judicial Magistrate (I) Duration of Trial. - (6 - 12) Months (Col. 25),Judicial Magistrate (I) Duration of Trial. - (1-3) Years (Col. 26),Judicial Magistrate (I) Duration of Trial. - (3 - 5) Years (Col. 27),Judicial Magistrate (I) Duration of Trial. - (5-10) Years (Col. 28),Judicial Magistrate (I) Duration of Trial. - Over 10 Years (Col. 29),Judicial Magistrate (I) Duration of Trial. - Total (Col. 30)= Col. (24 to 29),Judicial Magistrate (II) Duration of Trial. - Less Than 6 Months (Col. 31),Judicial Magistrate (II) Duration of Trial. - (6 - 12) Months (Col. 32),Judicial Magistrate (II) Duration of Trial. - (1-3) Years (Col. 33),Judicial Magistrate (II) Duration of Trial. - (3 - 5) Years (Col. 34),Judicial Magistrate (II) Duration of Trial. - (5-10) Years (Col. 35),Judicial Magistrate (II) Duration of Trial. - Over 10 Years (Col. 36),Judicial Magistrate (II) Duration of Trial. - Total (Col. 37)= Col. (31 to 36),Special Judicial Magistrate Duration of Trial. - Less Than 6 Months (Col. 38),Special Judicial Magistrate Duration of Trial. - (6 - 12) Months (Col. 39),Special Judicial Magistrate Duration of Trial. - (1-3) Years (Col. 40),Special Judicial Magistrate Duration of Trial. - (3-5)Years (Col. 41),Special Judicial Magistrate Duration of Trial. - (5-10) Years (Col. 42),Special Judicial Magistrate Duration of Trial. - Over 10 Years (Col. 43),Special Judicial Magistrate Duration of Trial. - Total (Col. 44) = Col. (38 to 43) ,Other Type of Courts Duration of Trial. - Less Than 6 Months (Col. 45),Other Type of Courts Duration of Trial. - (6 - 12) Months (Col. 46),Other Type of Courts Duration of Trial. - (1-3) Years (Col. 47),Other Type of Courts Duration of Trial. - (3-5)Years (Col. 48),Other Type of Courts Duration of Trial. - (5-10) Years (Col. 49),Other Type of Courts Duration of Trial. - Over 10 Years (Col. 50),Other Type of Courts Duration of Trial. - Total (Col. 51)= Col. (45 to 50),Sum of All Type of Courts Duration of Trial. - Less Than 6 Months (Col. 52),Sum of All Type of Courts Duration of Trial. - (6 - 12) Months (Col. 53),Sum of All Type of Courts Duration of Trial. - (1-3) Years (Col. 54),Sum of All Type of Courts Duration of Trial. - (3-5)Years (Col. 55),Sum of All Type of Courts Duration of Trial. - (5-10) Years (Col. 56),Sum of All Type of Courts Duration of Trial. - Over 10 Years (Col. 57),Sum of All Type of Courts Duration of Trial. - Total (Col. 58) = Col. (52 to 57) 
State,Andhra Pradesh,113,137,1783,879,205,44,3161,188,468,2018,1019,348,63,4104,76,91,812,418,157,24,1578,4739,6785,16500,6064,1789,242,36119,2085,3137,7365,2347,239,92,15265,1891,1854,2614,747,230,61,7397,973,1186,907,174,102,19,3361,10065,13658,31999,11648,3070,545,70985
State,Arunachal Pradesh,0,0,2,27,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,121,23,0,0,147,0,0,59,9,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,182,59,0,0,244
State,Assam,396,605,1086,497,101,31,2716,356,519,404,331,191,46,1847,561,1021,1456,586,298,39,3961,691,581,1148,641,161,72,3294,681,781,879,501,206,27,3075,129,125,289,172,93,35,843,25,109,75,39,20,0,268,2839,3741,5337,2767,1070,250,16004
State,Bihar,0,0,303,603,665,282,1853,54,154,1702,3373,3080,955,9318,73,45,1038,1581,952,145,3834,286,691,5722,6030,4157,461,17347,0,29,1556,1975,1271,87,4918,0,107,1196,941,2015,245,4504,0,234,1014,1406,1338,96,4088,413,1260,12531,15909,13478,2271,45862
State,Chhattisgarh,206,165,231,129,41,9,781,133,153,470,195,87,29,1067,1043,1017,1112,494,236,66,3968,1397,884,768,323,248,180,3800,234,298,487,280,118,51,1468,87,65,199,61,9,11,432,912,788,895,959,729,646,4929,4012,3370,4162,2441,1468,992,16445
State,Goa,0,2,32,11,5,0,50,1,2,10,8,2,0,23,4,7,13,8,0,0,32,107,168,448,191,109,50,1073,1,18,32,17,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,197,535,235,116,50,1246
State,Gujarat,105,239,636,557,305,122,1964,76,165,874,669,411,97,2292,870,1109,3103,2482,1291,329,9184,1302,2695,5620,5395,3191,737,18940,724,1387,1773,1449,983,232,6548,351,341,717,1365,123,4,2901,18,86,179,168,130,4,585,3446,6022,12902,12085,6434,1525,42414
State,Haryana,39,184,421,147,58,4,853,213,723,1446,686,212,85,3365,439,979,1467,1198,448,85,4616,2276,2507,2259,1784,987,146,9959,2114,2571,1886,1580,461,137,8749,80,321,322,179,59,27,988,58,141,362,178,115,24,878,5219,7426,8163,5752,2340,508,29408
State,Himachal Pradesh,6,41,130,68,40,0,285,11,35,91,47,20,1,205,440,369,495,300,76,6,1686,360,182,603,836,414,7,2402,30,158,227,270,120,13,818,10,10,20,50,15,5,110,72,104,92,384,171,0,823,929,899,1658,1955,856,32,6329
State,Jammu & Kashmir,18,42,244,189,165,31,689,60,66,189,155,64,25,559,419,321,410,203,93,83,1529,916,648,824,786,378,238,3790,201,270,238,68,68,7,852,126,133,310,176,82,24,851,253,258,231,208,20,5,975,1993,1738,2446,1785,870,413,9245
State,Jharkhand,18,105,170,435,345,152,1225,8,257,925,740,875,920,3725,11,89,495,640,595,305,2135,18,282,2145,2225,2301,2294,9265,9,264,455,535,280,333,1876,0,18,83,65,40,12,218,45,46,52,85,40,57,325,109,1061,4325,4725,4476,4073,18769
State,Karnataka,56,286,1072,940,604,112,3070,39,142,975,838,280,55,2329,905,2607,7856,3672,2038,88,17166,7228,5703,9157,4686,1550,98,28422,3984,4494,5494,2879,1423,296,18570,2,30,30,28,11,0,101,105,240,430,219,125,0,1119,12319,13502,25014,13262,6031,649,70777
State,Kerala,299,203,697,490,240,30,1959,393,495,943,344,138,35,2348,403,665,1212,687,298,39,3304,5999,7009,17096,5007,1215,312,36638,1459,3865,5756,3923,813,120,15936,18,102,104,15,3,2,244,240,315,321,150,88,34,1148,8811,12654,26129,10616,2795,572,61577
State,Madhya Pradesh,903,882,1722,1234,406,69,5216,1704,1667,3052,1429,654,104,8610,8469,6801,8439,7499,2880,588,34676,6978,7612,10124,8050,2045,2402,37211,2277,2269,3323,3265,1437,457,13028,924,1079,1172,583,178,19,3955,1374,1299,1151,503,110,53,4490,22629,21609,28983,22563,7710,3692,107186
