Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
State,Andhra Pradesh,17.2,7.5,97.7,40.7,45.6,6.5,40.5,68.3,0,14.4,15.1,0,6.5,10.9,0,14.3,13.4,0,78.7,29.3,NA,7.9,7.5,11.9,14.3,99.4,97.9
State,Arunachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,12.6,57.1,44.4,38.6,11.4,17.4,25,20,NA,0,NA,0,0,21.7,7.4,NA,23.3,NA,NA,0,NA,NA,NA,NA,33.3,19.8,24.1
State,Bihar,28.2,43.2,62.4,50.2,NA,20.2,37.5,48,0,26.2,27.5,0,0,24.1,NA,18.2,20.5,NA,8,0,NA,29.2,29.1,50,29.5,23.8,32
State,Chhattisgarh,51.6,63.4,96.9,92.5,NA,92.1,0,100,100,0,0,0,NA,28.6,NA,NA,0,100,61.5,11.1,NA,39.7,41.7,37.8,87.5,99.7,99
State,Goa,14.3,73.7,84.5,0,NA,0,96,100,77.8,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,40.5,NA,NA,NA,NA,100,98.8,92.4
State,Gujarat,4.3,35.2,30.3,NA,7,34.3,0,96.7,100,2.3,2.3,NA,50,11.1,NA,NA,0,62.5,0,12.1,NA,2.5,1,6.1,NA,63.7,26.5
State,Haryana,43.9,39.2,80.9,44.5,NA,18.2,0,87.8,42.9,NA,NA,NA,NA,23.2,NA,NA,NA,NA,NA,26.5,NA,7.1,7.1,NA,NA,24.4,52.7
State,Himachal Pradesh,13,18.2,18.7,10.9,NA,0,NA,100,71.4,0,0,NA,NA,9.1,NA,NA,0,0,NA,25,NA,8.3,9.1,0,14.9,22.4,12
State,Jammu & Kashmir,1.6,2.2,92.1,63.8,NA,0,0,NA,90.5,NA,NA,NA,100,6.9,5,NA,0,NA,NA,11.1,NA,NA,NA,NA,12,24.2,23.8
