Sr. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Murder,363,16,4.4,276,76,71,19.6
2,Rape,774,9,1.2,679,87.7,86,11.1
3,Kidnapping & Abduction,105,0,0,93,88.6,12,11.4
4,Dacoity,48,9,18.8,35,72.9,4,8.3
5,Robbery,73,3,4.1,48,65.8,22,30.1
6,Arson,291,3,1,136,46.7,152,52.2
7,Hurt,1768,15,0.8,1613,91.2,140,7.9
8,P.C.R. Act,78,0,0,54,69.2,24,30.8
9,SC/ST Prev. of Atrocities Act,2391,72,3,2069,86.5,250,10.5
10,Other Crimes Against SCs,5945,117,2,5186,87.2,642,10.8
Total,Total,11836,244,2.1,10189,86.1,1403,11.9
