Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women & Girls,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,3,0,0,0,0,0,9,9,0,0,0,0,1,10,0,10,4,0,0,0,0,1,0,0,3,0,0,0,12,43
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
State,West Bengal,1,0,1,3,0,3,0,0,0,2,0,1,1,9,0,9,1,0,0,0,0,0,0,3,0,0,0,0,4,26
State,Total (States),422,458,24,441,0,441,193,151,42,117,38,186,2049,3407,555,2852,1023,53,91,8,33,3013,52,512,285,202,0,78,4381,17066
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
Union Territory,Chandigarh,1,1,0,2,0,2,0,0,0,1,0,1,7,41,13,28,6,0,0,0,0,6,0,0,0,0,0,0,10,76
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Union Territory,Delhi,41,16,1,22,0,22,8,6,2,4,0,21,73,216,35,181,0,3,12,0,0,53,0,10,1,0,0,0,155,636
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,1,0,0,1,0,1,1,1,0,0,0,0,5,16,1,15,0,0,0,0,1,2,0,0,0,0,0,0,2,29
Union Territory,Total (UTs),43,17,1,25,0,25,9,7,2,5,0,22,85,273,49,224,7,3,13,0,1,61,0,10,1,0,0,0,177,753
Total (All-India),Total (All-India),465,475,25,466,0,466,202,158,44,122,38,208,2134,3680,604,3076,1030,56,104,8,34,3074,52,522,286,202,0,78,4558,17819
