Category,States/UTs,No. of Victims Murdered - by Firearms (Licensed + Unlicensed),No. of Victims Murdered - by Licensed Arms,No. of Victims Murdered - by Unlicensed Arms
State,Andhra Pradesh,67,8,59
State,Arunachal Pradesh,7,5,2
State,Assam,64,6,58
State,Bihar,1381,60,1321
State,Chhattisgarh,250,1,249
State,Goa,0,0,0
State,Gujarat,17,3,14
State,Haryana,149,15,134
State,Himachal Pradesh,2,2,0
State,Jammu & Kashmir,852,0,852
State,Jharkhand,167,0,167
State,Karnataka,17,13,4
State,Kerala,0,0,0
State,Madhya Pradesh,177,60,117
State,Maharashtra,64,11,53
State,Manipur,137,6,131
State,Meghalaya,28,2,26
State,Mizoram,5,4,1
State,Nagaland,15,1,14
State,Orissa,23,6,17
State,Punjab,53,44,9
State,Rajasthan,94,41,53
State,Sikkim,1,1,0
State,Tamil Nadu,5,0,5
State,Tripura,92,0,92
State,Uttar Pradesh,3855,317,3538
State,Uttaranchal,108,10,98
State,West Bengal,150,2,148
State,Total (States),7780,618,7162
Union Territory,A & N Islands,0,0,0
Union Territory,Chandigarh,2,1,1
Union Territory,D & N Haveli,1,1,0
Union Territory,Daman & Diu,1,0,1
Union Territory,Delhi,42,4,38
Union Territory,Lakshadweep,0,0,0
Union Territory,Pondicherry,0,0,0
Union Territory,Total (UTs),46,6,40
Total (All-India),Total (All-India),7826,624,7202
