Category,States/ UTs/Cities,Murder - 2002,Murder - 2003,Murder - % Variation,Attempt to Commit Murder - 2002,Attempt to Commit Murder - 2003,Attempt to Commit Murder - % Variation,C.H. not Amounting to Murder - 2002,C.H. not Amounting to Murder - 2003,C.H. not Amounting to Murder - % Variation,Rape Total - 2002,Rape Total - 2003,Rape Total - % Variation,Rape Custodial - 2002,Rape Custodial - 2003,Rape Custodial - % Variation,Rape Other - 2002,Rape Other - 2003,Rape Other - % Variation,Kidnapping & Abduction Total - 2002,Kidnapping & Abduction Total - 2003,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2002,Kidnapping & Abduction of Women & Girls - 2003,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2002,Kidnapping & Abduction of Others - 2003,Kidnapping & Abduction of Others - % Variation,Dacoity - 2002,Dacoity - 2003,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2002,Preparation & Assembly for Dacoity - 2003,Preparation & Assembly for Dacoity - % Variation,Robbery - 2002,Robbery - 2003,Robbery - % Variation,Burglary - 2002,Burglary - 2003,Burglary - % Variation,Theft Total - 2002,Theft Total - 2003,Theft Total - % Variation,Theft Auto Theft - 2002,Theft Auto Theft - 2003,Theft Auto Theft - % Variation,Theft Other Theft - 2002,Theft Other Theft - 2003,Theft Other Theft - % Variation,Riots - 2002,Riots - 2003,Riots - % Variation,Criminal Breach of Trust - 2002,Criminal Breach of Trust - 2003,Criminal Breach of Trust - % Variation,Cheating - 2002,Cheating - 2003,Cheating - % Variation,Counterfeiting - 2002,Counterfeiting - 2003,Counterfeiting - % Variation,Arson - 2002,Arson - 2003,Arson - % Variation,Hurt - 2002,Hurt - 2003,Hurt - % Variation,Dowry Deaths - 2002,Dowry Deaths - 2003,Dowry Deaths - % Variation,Molestation - 2002,Molestation - 2003,Molestation - % Variation,Sexual Harassment - 2002,Sexual Harassment - 2003,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2002,Cruelty by Husband and Relatives - 2003,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2002,Importation of Girls - 2003,Importation of Girls - % Variation,Causing Death by Negligence - 2002,Causing Death by Negligence - 2003,Causing Death by Negligence - % Variation,Other IPC Crimes - 2002,Other IPC Crimes - 2003,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2002,Total Cognizable Crimes Under IPC - 2003,Total Cognizable Crimes Under IPC - % Variation,Note of Attempt to Commit Murder - % Variation,Note of C.H. not Amounting to Murder - % Variation,Note of Rape Total - % Variation,Note of Importation of Girls - % Variation,Note of Causing Death by Negligence - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Rape Custodial - % Variation,Note of Rape Other - % Variation,Note of Kidnapping & Abduction of Women & Girls - % Variation,Note of Dacoity - % Variation,Note of Theft Auto Theft - % Variation,Note of Counterfeiting - % Variation,Note of Arson - % Variation,Note of Hurt - % Variation,Note of Dowry Deaths - % Variation,Note of Molestation - % Variation,Note of Sexual Harassment - % Variation
State,Kerala,454,435,-4.2,562,448,-20.3,210,343,63.3,499,394,-21,0,0,0,499,394,-21,162,189,16.7,91,102,12.1,71,87,22.5,137,142,3.6,4,19,375,610,634,3.9,4624,4409,-4.6,5743,4891,-14.8,1978,1668,-15.7,3765,3223,-14.4,8090,6798,-16,357,323,-9.5,2924,3061,4.7,135,129,-4.4,452,413,-8.6,19033,17696,-7,17,33,94.1,2123,1947,-8.3,102,68,-33.3,2836,2930,3.3,0,0,0,32,35,9.4,55094,53487,-2.9,104200,98824,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Madhya Pradesh,2395,2227,-7,2864,2413,-15.7,194,203,4.6,2891,2738,-5.3,0,0,0,2891,2738,-5.3,964,887,-8,639,608,-4.9,325,279,-14.2,136,153,12.5,142,141,-0.7,1829,1578,-13.7,13344,12884,-3.4,20759,20422,-1.6,4845,5262,8.6,15914,15160,-4.7,3178,2729,-14.1,507,549,8.3,1240,1222,-1.5,54,38,-29.6,1053,868,-17.6,29955,29358,-2,674,648,-3.9,7118,6848,-3.8,783,705,-10,3117,2938,-5.7,0,0,0,3679,3778,2.7,94923,97751,3,191799,191078,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,2768,2772,0.1,1435,1412,-1.6,93,113,21.5,1352,1268,-6.2,1,0,-100,1351,1268,-6.1,953,926,-2.8,650,626,-3.7,303,300,-1,548,514,-6.2,271,249,-8.1,2136,2096,-1.9,14471,13892,-4,37606,37098,-1.4,9122,9271,1.6,28484,27827,-2.3,6360,5714,-10.2,1468,1561,6.3,4145,5005,20.7,176,261,48.3,1269,1188,-6.4,29250,29205,-0.2,303,368,21.5,2686,2661,-0.9,769,682,-11.3,5353,5452,1.8,0,0,0,9407,9378,-0.3,42643,42491,-0.4,165462,164306,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Manipur,165,150,-9.1,160,199,24.4,3,6,100,14,18,28.6,0,0,0,14,18,28.6,157,120,-23.6,82,71,-13.4,75,49,-34.7,3,3,0,8,0,-100,6,6,0,44,68,54.5,255,252,-1.2,115,124,7.8,140,128,-8.6,64,73,14.1,28,16,-42.9,72,76,5.6,12,7,-41.7,48,47,-2.1,378,324,-14.3,0,0,0,58,44,-24.1,0,0,0,10,4,-60,0,0,0,25,4,-84,1074,1120,4.3,2584,2537,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Meghalaya,167,175,4.8,58,60,3.4,3,17,466.7,38,40,5.3,0,0,0,38,40,5.3,52,49,-5.8,10,10,0,42,39,-7.1,64,83,29.7,2,1,-50,109,133,22,154,160,3.9,392,360,-8.2,51,108,111.8,341,252,-26.1,9,5,-44.4,9,12,33.3,33,34,3,8,4,-50,23,16,-30.4,89,106,19.1,0,0,0,23,13,-43.5,0,1,NA,0,4,NA,0,0,0,12,41,241.7,419,355,-15.3,1664,1669,0.3,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Mizoram,29,46,58.6,26,36,38.5,5,3,-40,76,54,-28.9,0,0,0,76,54,-28.9,7,8,14.3,2,2,0,5,6,20,5,5,0,0,0,0,7,21,200,446,487,9.2,999,1303,30.4,30,57,90,969,1246,28.6,1,3,200,26,19,-26.9,85,60,-29.4,16,12,-25,27,23,-14.8,112,142,26.8,0,0,0,73,88,20.5,0,0,0,3,3,0,0,0,0,13,11,-15.4,864,1132,31,2820,3456,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Nagaland,100,91,-9,34,34,0,5,8,60,17,14,-17.6,0,0,0,17,14,-17.6,27,38,40.7,4,3,-25,23,35,52.2,21,19,-9.5,0,0,0,110,92,-16.4,128,95,-25.8,257,221,-14,81,37,-54.3,176,184,4.5,5,8,60,10,3,-70,21,11,-47.6,3,7,133.3,6,5,-16.7,53,48,-9.4,0,0,0,1,4,300,0,2,NA,0,0,0,0,1,NA,24,41,70.8,292,234,-19.9,1114,976,-12.4,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Orissa,1075,1044,-2.9,1372,1214,-11.5,58,188,224.1,691,725,4.9,0,0,0,691,725,4.9,523,477,-8.8,432,373,-13.7,91,104,14.3,246,178,-27.6,30,30,0,945,875,-7.4,2884,2961,2.7,5268,5359,1.7,1028,1076,4.7,4240,4283,1,1598,1408,-11.9,246,254,3.3,793,937,18.2,12,11,-8.3,405,337,-16.8,4947,4759,-3.8,248,279,12.5,1605,1669,4,188,188,0,1167,1289,10.5,0,0,0,2672,2497,-6.5,20755,20602,-0.7,47728,47281,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Punjab,733,731,-0.3,728,644,-11.5,79,89,12.7,299,380,27.1,0,0,0,299,380,27.1,551,464,-15.8,354,295,-16.7,197,169,-14.2,50,30,-40,83,117,41,110,108,-1.8,1928,2094,8.6,2963,3198,7.9,1267,1375,8.5,1696,1823,7.5,2,0,-100,373,343,-8,2716,3123,15,39,56,43.6,68,71,4.4,4453,4124,-7.4,166,110,-33.7,341,346,1.5,145,199,37.2,944,987,4.6,0,0,0,2310,2226,-3.6,9713,9316,-4.1,28794,28756,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Rajasthan,1276,1262,-1.1,2043,1977,-3.2,68,61,-10.3,1051,1050,-0.1,0,0,0,1051,1050,-0.1,2587,2238,-13.5,2019,1750,-13.3,568,488,-14.1,47,36,-23.4,33,41,24.2,734,655,-10.8,6661,6072,-8.8,16313,16456,0.9,4706,5491,16.7,11607,10965,-5.5,7178,4052,-43.5,938,902,-3.8,7286,7225,-0.8,63,58,-7.9,1130,784,-30.6,26519,26173,-1.3,399,389,-2.5,2730,2715,-0.5,44,33,-25,5691,5733,0.7,0,1,NA,4670,5074,8.7,63787,62592,-1.9,151248,145579,-3.7,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
