States/ UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Arunachal Pradesh,Papum Pare,9,2,0,3,0,3,10,8,2,11,0,11,56,110,38,72,1,10,2,0,0,67,0,7,0,1,0,0,105,405
Arunachal Pradesh,Siang East,6,2,0,9,0,9,10,9,1,4,0,13,22,46,4,42,0,1,7,1,1,40,0,4,0,1,0,0,65,232
Arunachal Pradesh,Siang Upper,4,2,1,1,0,1,1,1,0,0,0,0,8,16,0,16,0,1,0,0,0,12,0,0,0,0,0,0,9,55
Arunachal Pradesh,Siang West,5,2,0,5,0,5,5,4,1,2,0,2,22,50,5,45,2,7,4,0,0,57,0,6,0,1,0,0,87,257
Arunachal Pradesh,Subansiri Lower,3,3,1,3,0,3,4,0,4,4,0,5,20,17,2,15,1,2,1,1,1,11,0,0,0,0,0,0,46,123
Arunachal Pradesh,Subansiri Upper,4,1,0,1,0,1,2,2,0,2,0,7,15,11,0,11,0,0,0,1,3,35,0,0,0,0,0,0,36,118
Arunachal Pradesh,Tawang,0,0,0,0,0,0,0,0,0,0,0,1,12,14,1,13,0,0,0,2,0,6,0,1,0,0,0,0,13,49
Arunachal Pradesh,Tirap,2,3,1,1,0,1,8,0,8,2,0,5,13,25,0,25,0,3,2,0,2,33,0,9,0,2,0,0,35,146
Arunachal Pradesh,Upper Dibang Valley,2,1,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,17
Arunachal Pradesh,Total,77,20,3,31,0,31,68,51,17,37,0,60,253,370,50,320,7,28,21,7,10,427,0,43,0,14,0,0,585,2061
Assam,Barpeta,46,9,3,61,0,61,76,56,20,34,4,21,88,121,2,119,213,16,41,5,10,216,6,15,0,112,0,119,428,1644
Assam,Bongaigaon,27,9,2,27,0,27,46,40,6,22,0,15,68,93,0,93,75,11,17,0,1,73,6,10,0,61,0,44,165,772
Assam,C.i.d.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,18,24
Assam,Cachar,68,35,0,70,0,70,120,95,25,26,2,13,273,398,0,398,395,41,58,4,82,212,3,118,0,229,0,295,1015,3457
Assam,Darrang,73,21,0,53,0,53,83,63,20,26,2,22,138,202,12,190,97,17,22,0,23,209,7,93,0,48,0,76,188,1400
Assam,Dhemaji,20,18,0,43,0,43,25,10,15,3,0,13,31,94,0,94,24,10,14,1,38,195,0,14,0,44,0,28,147,762
Assam,Dhubri,64,20,1,68,0,68,62,51,11,32,5,12,77,109,7,102,468,64,35,0,16,315,6,87,0,151,0,178,150,1920
Assam,Dibrugarh,107,33,11,38,0,38,54,39,15,44,1,36,122,298,32,266,81,14,28,3,136,369,0,28,0,28,0,148,322,1901
Assam,G.r.p.,4,0,0,0,0,0,1,1,0,6,0,3,0,55,0,55,7,0,1,0,0,10,0,1,0,0,0,0,94,182
Assam,Goalpara,30,23,3,60,0,60,51,47,4,31,1,11,5,159,0,159,118,8,28,5,11,62,2,36,0,152,0,33,269,1098
Assam,Golaghat,55,16,7,67,0,67,73,60,13,7,0,24,94,296,16,280,8,19,38,5,35,348,0,26,0,58,0,106,177,1459
Assam,Guwahati,50,29,3,38,0,38,216,184,32,26,2,100,606,1157,248,909,415,168,213,7,7,527,4,52,0,135,0,171,1664,5590
Assam,Hailakandi,25,18,0,27,0,27,43,35,8,5,0,6,73,80,3,77,114,6,13,5,24,136,2,29,2,30,0,11,142,791
Assam,Jorhat,46,7,0,40,0,40,28,28,0,6,0,14,59,189,3,186,74,26,21,2,20,161,0,26,0,23,0,44,345,1131
Assam,Kamrup,24,18,0,48,0,48,51,23,28,20,0,14,71,190,0,190,71,17,42,1,8,76,0,6,0,10,0,67,521,1255
Assam,Karbi Anglong,67,12,0,16,0,16,37,13,24,8,0,14,23,113,18,95,34,6,2,2,19,45,0,14,0,4,0,22,181,619
Assam,Karimganj,31,19,0,29,0,29,47,40,7,9,2,5,71,104,8,96,215,20,18,1,28,60,5,4,0,84,0,29,138,919
Assam,Kokrajhar,46,23,1,22,0,22,40,31,9,4,0,8,50,75,0,75,49,14,17,1,5,114,2,28,0,37,0,72,115,723
Assam,Lakhimpur,31,19,4,76,0,76,80,77,3,11,0,26,18,271,3,268,82,13,62,1,27,367,0,44,0,108,0,92,319,1651
Assam,Morigaon,14,7,3,35,0,35,49,46,3,10,0,7,65,80,1,79,75,7,21,1,5,83,1,34,0,26,0,44,294,861
Assam,N.c.hills,19,10,0,0,0,0,13,10,3,3,0,12,0,40,0,40,4,1,2,1,25,20,0,2,0,16,0,3,41,212
Assam,Nagaon,75,51,5,105,0,105,169,159,10,54,5,50,256,440,22,418,287,58,59,5,53,490,7,107,4,181,0,252,826,3539
