Category,States/ UTs/Cities,1998,1999,2000,2001,2002,Quinquennial Average (1998-2002) (Q.A.)@,2003,Percentage Change in 2003 [(+) Increase (-) Decrease] Over - QA,Percentage Change in 2003 [(+) Increase (-) Decrease] Over - 2002
State,Andhra Pradesh,122536,120364,121279,130089,143610,127576,156951,23,9.3
State,Arunachal Pradesh,1663,2266,2367,2342,2228,2173,2061,-5.2,-7.5
State,Assam,38146,37292,35178,36877,36346,36768,38195,3.9,5.1
State,Bihar,116045,118648,124082,88432,94040,108249,92263,-14.8,-1.9
State,Chhattisgarh,NA,NA,NA,38460,37950,NA,38449,NA,1.3
State,Goa,3119,2589,2422,2341,2440,2582,2244,-13.1,-8
State,Gujarat,125892,124786,115859,103419,106675,115326,103709,-10.1,-2.8
State,Haryana,37228,39713,39490,38759,40152,39068,38612,-1.2,-3.8
State,Himachal Pradesh,10954,11077,11135,11499,12243,11382,12011,5.5,-1.9
State,Jammu & Kashmir,17420,17103,17517,19505,19967,18302,21233,16,6.3
State,Jharkhand,NA,NA,NA,25447,31439,NA,32203,NA,2.4
State,Karnataka,110533,110559,109410,109098,113699,110660,112405,1.6,-1.1
State,Kerala,93020,94448,99033,103847,104200,98910,98824,-0.1,-5.2
State,Madhya Pradesh,201544,205964,216441,181741,191799,199498,191078,-4.2,-0.4
State,Maharashtra,180288,177436,173466,171233,165462,173577,164306,-5.3,-0.7
State,Manipur,2566,2469,2577,2489,2584,2537,2537,0,-1.8
State,Meghalaya,1828,1718,1702,1687,1664,1720,1669,-3,0.3
State,Mizoram,2531,2220,2316,2246,2820,2427,3456,42.4,22.6
State,Nagaland,1293,1249,1368,1234,1114,1252,976,-22,-12.4
State,Orissa,51063,50393,49419,46661,47728,49053,47281,-3.6,-0.9
State,Punjab,16922,20272,24374,27774,28794,23627,28756,21.7,-0.1
State,Rajasthan,167463,168189,160983,155185,151248,160614,145579,-9.4,-3.7
State,Sikkim,536,776,432,444,485,535,443,-17.1,-8.7
State,Tamil Nadu,149293,145709,151329,154801,166942,153615,157186,2.3,-5.8
State,Tripura,3616,3129,3372,2801,3075,3199,3514,9.9,14.3
State,Uttar Pradesh,184461,173643,175668,178129,146037,171588,95073,-44.6,-34.9
State,Uttaranchal,NA,NA,NA,8073,7976,NA,7923,NA,-0.7
State,West Bengal,67950,66525,65834,61563,58962,64167,61174,-4.7,3.8
State,Total (States),1707910,1698537,1707053,1706176,1721679,1678402,1660111,-1.1,-3.6
Union Territory,A & N Islands,540,603,752,658,608,632,644,1.9,5.9
Union Territory,Chandigarh,1974,2735,2935,3397,3806,2969,2806,-5.5,-26.3
Union Territory,D & N Haveli,513,413,440,350,349,413,338,-18.2,-3.2
Union Territory,Daman & Diu,266,247,251,239,261,253,269,6.4,3.1
Union Territory,Delhi,64882,58701,56249,54384,49137,56671,47404,-16.4,-3.5
Union Territory,Lakshadweep,56,31,24,36,53,40,31,-22.5,-41.5
Union Territory,Pondicherry,2674,3362,3380,4068,4437,3584,4517,26,1.8
Union Territory,Total (UTs),70905,66092,64031,63132,58651,64562,56009,-13.2,-4.5
Total (All-India),Total (All-India),1778815,1764629,1771084,1769308,1780330,1742964,1716120,1.5,-3.6
City,Agra,NA,NA,NA,6661,5617,2456,2227,-9.3,-60.4
City,Ahmedabad,15866,15652,14150,13496,14479,14729,16199,10,11.9
City,Allahabad,NA,NA,NA,2126,1838,NA,1072,NA,-41.7
City,Amritsar,NA,NA,NA,1062,1077,NA,1143,NA,6.1
City,Asansol,NA,NA,NA,NA,363,NA,1327,NA,265.6
City,Bangalore,29265,27967,27184,27254,29120,28158,29260,3.9,0.5
City,Bhopal,9373,9492,10961,10780,11166,10354,11780,13.8,5.5
City,Chennai,7375,6788,6212,7292,8526,7239,8580,18.5,0.6
City,Coimbatore,3808,3799,3668,3490,3226,3598,3187,-11.4,-1.2
City,Delhi (CITY),59011,52731,51324,49343,44158,51313,41961,-18.2,-5
City,Dhanbad,NA,NA,NA,NA,3242,NA,1929,NA,-40.5
City,Faridabad,NA,NA,NA,3275,4305,NA,3987,NA,-7.4
City,Hyderabad,11143,11595,11592,11831,14413,12115,20252,67.2,40.5
City,Indore,7964,8591,10699,10263,11678,9839,12286,24.9,5.2
City,Jabalpur,NA,NA,NA,5736,6735,NA,6990,NA,3.8
City,Jaipur,12772,12423,12960,12181,11758,12419,11579,-6.8,-1.5
City,Jamshedpur,NA,NA,NA,NA,2405,NA,2550,NA,6
City,Kanpur,9043,6810,6716,6808,5908,7057,3618,-48.7,-38.8
City,Kochi,4903,4996,5506,6067,6524,5599,6829,22,4.7
City,Kolkata,11384,11447,12976,11970,10663,11688,10714,-8.3,0.5
City,Lucknow,6064,7046,7491,7606,6954,7032,4277,-39.2,-38.5
City,Ludhiana,1744,1880,1625,3572,5245,2813,4256,51.3,-18.9
City,Madurai,4580,3698,3846,4161,3689,3995,3253,-18.6,-11.8
City,Meerut,NA,NA,NA,2918,2334,NA,1641,NA,-29.7
City,Mumbai,30017,29354,29238,28968,26276,28771,25686,-10.7,-2.2
City,Nagpur,9642,9509,9571,9912,8721,9471,7357,-22.3,-15.6
