Sr. No.,Crime Head,Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,Murder,2081,28,1.3,1772,85.2,281,13.5
2,Rape,1617,23,1.4,1384,85.6,210,13
3,Kidnapping & Abduction,449,16,3.6,389,86.6,44,9.8
4,Dacoity,75,8,10.7,52,69.3,15,20
5,Robbery,134,10,7.5,103,76.9,21,15.7
6,Arson,509,30,5.9,446,87.6,33,6.5
7,Hurt,9001,287,3.2,7791,86.6,923,10.3
8,P.C.R. Act,984,65,6.6,737,74.9,182,18.5
9,SC/ST Prev. of Atrocities Act,16560,714,4.3,13090,79,2756,16.6
10,Other Crimes Against SCs,21971,645,2.9,19136,87.1,2190,10
Total,Total,53381,1826,3.4,44900,84.1,6655,12.5
