Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act(Total) - Incidence,Protection of Civil Rights Act(Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women(P)Act - Incidence,Indecent Representation of Women(P)Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate,SC/ST (Prev) of Attrocities Act For SCs - Incidence,SC/ST (Prev) of Attrocities Act For SCs - Rate,SC/ST (Prev) of Attrocities Act for STs - Incidence,SC/ST (Prev) of Attrocities Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
State,Andhra Pradesh,293,0.4,461,0.6,32600,41.9,1385,1.8,879,1.1,422,0.5,349,0.4,103,0.1,4,0,186,0.2,165,0.2,21,0,71,0.1,69,0.1,1,0,4,0,195,0.3,4,0,909,1.2,317,0.4,0,0,1384,1.8,1234,1.6,150,0.2,41,0.1,423595,544,463272,594.9
State,Arunachal Pradesh,9,0.8,22,1.9,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.6,50,4.4
State,Assam,294,1.1,121,0.4,148,0.5,68,0.2,1,0,41,0.1,22,0.1,11,0,0,0,1,0,0,0,1,0,1,0,24,0.1,0,0,0,0,92,0.3,0,0,0,0,15,0.1,0,0,0,0,0,0,0,0,11,0,783,2.8,1633,5.9
State,Bihar,2358,2.7,287,0.3,191,0.2,946,1.1,21,0,221,0.3,9,0,16,0,2,0,88,0.1,82,0.1,6,0,5,0,120,0.1,0,0,7,0,706,0.8,0,0,1,0,15,0,0,0,923,1.1,904,1,19,0,131,0.2,1893,2.2,7940,9.2
State,Chhattisgarh,1304,6,365,1.7,10373,47.8,10491,48.3,1,0,243,1.1,7,0,3254,15,7,0,0,0,0,0,0,0,0,0,80,0.4,0,0,1,0,16,0.1,6,0,0,0,56,0.3,0,0,376,1.7,155,0.7,221,1,7,0,166480,766.4,193067,888.8
State,Goa,2,0.1,26,1.8,1334,93.6,0,0,0,0,2,0.1,25,1.8,0,0,6,0.4,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,13,0.9,0,0,1,0.1,1,0.1,0,0,3,0.2,1690,118.6,3104,217.8
State,Gujarat,324,0.6,133,0.3,8083,15.4,1,0,113701,216,55,0.1,74,0.1,2160,4.1,9,0,7,0,7,0,0,0,18,0,304,0.6,0,0,0,0,0,0,11,0,14,0,714,1.4,0,0,389,0.7,320,0.6,69,0.1,2,0,34750,66,160749,305.4
State,Haryana,1605,7.3,1686,7.6,8617,39.1,12533,56.9,0,0,40,0.2,57,0.3,993,4.5,16,0.1,0,0,0,0,0,0,0,0,178,0.8,0,0,0,0,3,0,3,0,0,0,283,1.3,0,0,36,0.2,36,0.2,0,0,0,0,1775,8.1,27825,126.2
State,Himachal Pradesh,20,0.3,310,5,563,9,3094,49.5,0,0,4,0.1,5,0.1,2,0,3,0,1,0,1,0,0,0,0,0,12,0.2,0,0,0,0,7,0.1,1,0,0,0,42,0.7,0,0,37,0.6,36,0.6,1,0,209,3.3,110,1.8,4420,70.7
State,Jammu & Kashmir,864,8,176,1.6,137,1.3,425,4,0,0,238,2.2,2,0,0,0,25,0.2,0,0,0,0,0,0,10,0.1,919,8.6,0,0,0,0,4,0,0,0,0,0,26,0.2,0,0,0,0,0,0,0,0,11,0.1,165,1.5,3002,28
