Category,States/ UTs,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents / Guardians,Released on Probation and Placed Under Care of - Fit Instt.,Sent to Special Homes,Dealt With Fine,Acquitted or Otherwise Disposed of,Pending Disposal
State,Andhra Pradesh,2673,200,449,202,209,347,232,1034
State,Arunachal Pradesh,196,108,88,0,0,0,0,0
State,Assam,378,18,124,39,115,0,23,59
State,Bihar,292,25,46,0,100,0,9,112
State,Chhattisgarh,1602,71,154,42,494,46,351,444
State,Goa,87,2,7,0,25,0,0,53
State,Gujarat,2717,254,387,96,268,97,321,1294
State,Haryana,2026,0,0,0,22,29,31,1944
State,Himachal Pradesh,124,14,14,0,0,0,2,94
State,Jammu & Kashmir,18,0,1,0,0,0,0,17
State,Jharkhand,821,192,65,25,165,75,125,174
State,Karnataka,358,39,32,5,47,0,24,211
State,Kerala,764,294,82,8,101,4,10,265
State,Madhya Pradesh,7672,1011,2587,364,403,512,304,2491
State,Maharashtra,5070,672,1235,414,774,39,105,1831
State,Manipur,0,0,0,0,0,0,0,0
State,Meghalaya,35,2,0,0,19,0,0,14
State,Mizoram,82,4,5,5,3,1,0,64
State,Nagaland,1,0,0,0,0,0,1,0
State,Orissa,313,23,91,30,16,0,12,141
State,Punjab,132,46,5,0,3,15,11,52
State,Rajasthan,1862,175,560,107,355,7,103,555
State,Sikkim,17,5,3,0,0,1,2,6
State,Tamil Nadu,4895,153,3081,178,334,411,40,698
State,Tripura,0,0,0,0,0,0,0,0
State,Uttar Pradesh,61,0,4,3,21,1,1,31
State,Uttaranchal,30,26,0,0,4,0,0,0
State,West Bengal,123,6,33,8,55,1,5,15
State,Total (States),32349,3340,9053,1526,3533,1586,1712,11599
Union Territory,A & N Islands,9,0,0,0,0,0,0,9
Union Territory,Chandigarh,116,12,9,0,6,4,6,79
Union Territory,D & N Haveli,2,1,1,0,0,0,0,0
Union Territory,Daman & Diu,2,0,0,0,0,0,0,2
Union Territory,Delhi,802,59,11,0,396,2,11,323
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,40,1,0,0,1,0,1,37
Union Territory,Total (UTs),971,73,21,0,403,6,18,450
Total (All-India),Total (All-India),33320,3413,9074,1526,3936,1592,1730,12049
