Sr. No. (Col.1),Crime Head (Col.2),Cases Withdrawn by Govt. (Col.3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col.4),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Convicted (Col.5),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Acquitted or Discharged (Col.6),Percentage of Cases to Total Cases for Trial in which Trials were Completed - Total (Col.7) = Col.{(5) + (6)},Percentage of Cases to Total Cases for Trial - Pending Trial (Col.8),Conviction Rate (Col.9) = Col.{(5)/(7) × 100}
1,Arms Act,0,0.3,9.3,6,15.3,84.4,60.7
2,Narcotic Drugs & Psychotropic Substances Act,0.1,0.4,10.6,6.7,17.4,82.3,61.2
3,Gambling Act,0,0.5,29.9,5.4,35.3,64.3,84.7
4,Excise Act,0.1,0.2,18,6.4,24.4,75.4,73.7
5,Prohibition Act,0,1.9,7,7.7,14.6,83.5,47.6
6,Explosive & Explosive Substances Act,0,0.3,7,8.1,15.1,84.6,46.3
7,Immoral Traffic (P) Act,0,0.1,35.9,5.5,41.4,58.5,86.7
8,Indian Railways Act,0,0.1,59.9,1.9,61.8,38,97
9,Registration of foreigners Act,0,0.2,29.2,3.7,32.9,67,88.8
10,Protection of Civil Rights Act - Total,0,2.1,4.2,13.9,18.1,79.8,23.4
10,Protection of Civil Rights Act - (i) PCR Act for SCs,0,0.4,4.5,13.4,17.9,81.7,25.2
10,Protection of Civil Rights Act - (ii) PCR Act for STs,0,23.1,0.6,19.7,20.3,56.6,2.8
11,Indian Passport Act,0,0,20.1,8.6,28.7,71.3,69.9
12,Essential Commodities Act,0.1,0.3,1.9,8.8,10.7,89,17.4
13,Terrorist & Disruptive Activities Act,0.1,0.7,0.4,3.2,3.7,95.6,12.1
14,Antiquity & Art Treasure Act,0,2.2,10.1,40.6,50.7,47.1,20
15,Dowry Prohibition Act,0,1.2,3,11.4,14.4,84.4,21.2
16,Child Marriage Restraint Act,0,0.3,5.4,7,12.4,87.3,43.5
17,Indecent Representation of Women (P) Act,0,0.1,52.6,18.7,71.3,28.7,73.8
18,Copyrights Act,0,0.1,6,6.8,12.8,87.1,46.7
19,Sati Prevention Act,0,0,0,0,0,100,0
20,SC/ST (prevention of Atrocities) Act - Total,0.1,1,4.2,11.9,16.1,82.9,26.2
20,SC/ST (prevention of Atrocities) Act - (i) Attrocities Act for SCs,0,1,4.3,11.7,15.9,83.1,26.7
20,SC/ST (prevention of Atrocities) Act - (ii) Attrocities Act for STs,0.4,1,4.1,13.5,17.6,81.4,23.5
21,Forest Act,0,0.1,14.8,6.5,21.3,78.5,69.4
22,Other SLL Crimes,0,0.5,64.7,2.6,67.3,32.1,96.1
Total Cognizable Crimes Under SLL,Total Cognizable Crimes Under SLL,0,0.9,38.6,4.8,43.4,55.7,88.9
