Category,States/UTs,Incidence,Percentage Contribution to All-India Total,Estimated Mid Year Population (In Lakhs),Rate of total Cognizable Crimes*,Rank per Rate of total cognizable crimes,Rank per Percentage share
State,Andhra Pradesh,3559,13.6,778.73,4.6,3,3
State,Arunachal Pradesh,0,0,11.3,0,NA,NA
State,Assam,67,0.3,277.25,0.2,21,18
State,Bihar,1747,6.7,867.74,2,10,6
State,Chhattisgarh,709,2.7,217.21,3.3,5,10
State,Goa,2,0,14.25,0.1,22,25
State,Gujarat,1165,4.4,526.39,2.2,8,8
State,Haryana,195,0.7,220.4,0.9,17,13
State,Himachal Pradesh,107,0.4,62.49,1.7,11,16
State,Jammu & Kashmir,5,0,107.33,0,25,24
State,Jharkhand,76,0.3,280.03,0.3,20,17
State,Karnataka,1844,7,543.7,3.4,4,5
State,Kerala,439,1.7,326.2,1.3,14,12
State,Madhya Pradesh,5507,21,633.66,8.7,1,1
State,Maharashtra,697,2.7,1003.09,0.7,18,11
State,Manipur,0,0,24.78,0,NA,NA
State,Meghalaya,0,0,23.9,0,NA,NA
State,Mizoram,0,0,9.23,0,NA,NA
State,Nagaland,27,0.1,20.75,1.3,15,19
State,Orissa,1157,4.4,378.21,3.1,6,9
State,Punjab,127,0.5,251.13,0.5,19,15
State,Rajasthan,4329,16.5,593.32,7.3,2,2
State,Sikkim,7,0,5.61,1.2,16,22
State,Tamil Nadu,1495,5.7,635.87,2.4,7,7
State,Tripura,0,0,32.94,0,NA,NA
State,Uttar Pradesh,2821,10.7,1743.8,1.6,12,4
State,Uttaranchal,129,0.5,88.25,1.5,13,14
State,West Bengal,5,0,828.33,0,26,23
State,Total (States),26216,99.9,10505.89,2.5,NA,NA
Union Territory,A & N Islands,0,0,3.73,0,23,26
Union Territory,Chandigarh,1,0,9.55,0.1,NA,NA
Union Territory,D & N Haveli,0,0,2.33,0,NA,NA
Union Territory,Daman & Diu,0,0,1.68,0,24,21
Union Territory,Delhi,13,0,148.28,0.1,NA,NA
Union Territory,Lakshadweep,0,0,0.63,0,9,20
Union Territory,Pondicherry,22,0.1,10.05,2.2,NA,NA
Union Territory,Total (UTs),36,0.1,176.25,0.2,NA,NA
Total (All-India),Total (All-India),26252,100,10682.14,2.5,NA,NA
