Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,Andhra Pradesh,89,95.9,93.9,98.7,NA,98.7,87.4,92.2,77.3,78.2,100,71.6,47.6,50.9,47,51.7,94.5,75.7,66,47.7,69.3,94.3,97.6,98.7,99.1,98.3,100,86.4,90.8,82.2
State,Arunachal Pradesh,79.6,85,77.8,82.9,NA,82.9,54.1,54.8,52.6,29,NA,52.2,42,45,57.9,43.6,100,66.7,67.6,50,53.8,80.1,NA,90.2,NA,91.7,NA,NA,70.7,63
State,Assam,72.2,61.3,86,80.9,NA,80.9,58.6,60.3,51.4,30.7,64.7,39.4,25.1,38.7,46.9,38.1,61.9,54.9,54.9,71.2,42.6,67.5,71.1,70.7,50,77.5,NA,81,66.1,58.9
State,Bihar,76.4,86.2,78.5,83.3,NA,83.3,80.3,77.2,81.5,69.7,97.4,71.7,39.4,51.5,64.1,49.2,82.1,82.8,76.5,76,73.3,85.8,82.3,86,100,86.5,90.5,81,83.9,77.7
State,Chhattisgarh,90.6,94.1,96.2,98.5,NA,98.5,84,85.4,77.8,67.5,100,67.8,28.4,35.4,35.3,35.4,94.8,86.9,79.2,22.7,61.7,96.1,100,98.9,99,98.8,NA,74.6,90.6,78.8
State,Goa,58.1,95.7,71.4,86.7,NA,86.7,69.2,63.6,100,40,NA,65.2,37.8,35.5,23.5,40.2,76.9,56.1,55.8,100,68,88.9,100,78.6,100,87.5,NA,86.2,90.1,67.8
State,Gujarat,77.7,92.2,88.9,93.5,NA,93.5,72.1,74.7,60.7,53.3,85.7,46.2,27.4,27.6,21,31.5,91.4,77.2,73.7,18.5,69.6,96.6,96.1,98.3,91.9,98.5,NA,81,91.5,74.7
State,Haryana,82.7,92.4,90.2,97,NA,97,88.4,87.4,90.6,80.8,97.9,79.9,48.8,47.6,36.6,60.5,96.3,85.5,90.1,88.2,79.5,97,99.5,99,99.8,80.7,NA,81,90.1,80.9
State,Himachal Pradesh,78.3,89.2,100,98.1,NA,98.1,75.4,84.4,41.7,80,NA,57.1,30.3,35.4,31.5,37.1,97.2,76.9,88,100,57.7,97.6,100,98.4,100,100,NA,66.4,95.6,87.3
State,Jammu & Kashmir,23.3,33.3,63.6,99.4,NA,99.4,87,95.8,29.9,34.4,NA,64.9,19.9,51.6,22.1,65.3,92.2,86,91.1,44.4,16.8,96.1,100,99.4,99.5,98.3,NA,68.5,93,74.7
State,Jharkhand,63.7,93,71.4,87.9,NA,87.9,78.6,80.7,76.5,57.7,96.9,64,34.1,39.8,31.4,40.9,88.4,84.4,81.7,66.7,65.5,94.5,97,96.1,100,91.1,NA,81.4,84.2,75
State,Karnataka,83.3,90.6,93.6,97.1,NA,97.1,77.3,73.8,80.4,77.5,96.9,61.5,33.9,34.9,26.7,38.3,93.5,61.7,60.3,7.8,56.9,94.5,95.7,95.6,90.5,96.1,NA,94,94.2,81.3
State,Kerala,95.2,98.5,97.7,98.6,NA,98.6,93.4,94.8,91.7,83.1,93.3,74.6,35.9,51.1,35.7,59.2,96,82.8,84.5,83.8,45.7,98.2,94.4,98.5,95.3,97.3,NA,96.8,96.8,91.4
State,Madhya Pradesh,90.5,95.2,92.4,98.3,NA,98.3,85.1,84.3,86.8,84.7,100,63.4,30.5,35.2,27.9,37.7,93.9,87.1,86.9,47.2,75,98.1,98.2,99.3,99.4,99.3,NA,87,94.8,84.3
State,Maharashtra,82.9,92.6,92.9,97.3,NA,97.3,80.1,81.8,76.3,69.8,99.6,58.7,36.3,38.3,28,41.5,96.6,78.4,71.5,29.2,74.6,96.8,99.5,97,97.8,99.4,NA,75.6,89.6,73.3
State,Manipur,14.6,0.5,0,25,NA,25,3,4.1,2,7.1,0,18.2,3.6,6.8,6.2,7.1,0,0,5,50,2.5,1.3,NA,3.6,NA,14.3,NA,NA,9.1,6.9
