Crime Head,1999,2000,2001,2002,2003,Note of - 1999,Note of - 2000
Arms Act,1.9,1.8,1.7,1.7,1.9,NA,NA
Narcotic Drugs & Psychotropic Substances Act,0.6,0.7,0.7,0.7,0.7,NA,NA
Gambling Act,3.7,4.1,4.2,4.7,4.6,NA,NA
Excise Act,3.4,3.5,3.3,3.3,3.6,NA,NA
Prohibition Act,17.4,15.8,14.2,13,12.4,NA,NA
Explosive & Explosive Substances Act,0.1,0.1,0.1,0.1,0.1,NA,NA
Immoral Traffic (P) Act,0.3,0.3,0.2,0.2,0.1,NA,NA
Indian Railways Act,1.1,1.3,1.8,1.5,1.1,NA,NA
Registration of foreigners Act,0.1,0,0,0,0,NA,NA
Protection of Civil Rights Act - Total,0,0,0,0,0,NA,NA
Protection of Civil Rights Act (i) PCR Act for SCs,NA,NA,0,0,0,*,*
Protection of Civil Rights Act (ii) PCR Act for STs,NA,NA,0,0,0,*,*
Indian Passport Act,0,0,0,0,0,NA,NA
Essential Commodities Act,0.2,0.1,0.1,0.1,0.1,NA,NA
Terrorist & Disruptive Activities Act,0,0,0,0,0,NA,NA
Antiquity & Art Treasure Act,0,0,0,0,0,NA,NA
Dowry Prohibition Act,0.1,0.1,0.1,0.1,0.1,NA,NA
Child Marriage Restraint Act,0,0,0,0,0,NA,NA
Indecent Representation of Women (P) Act,0,0,0,0.1,0,NA,NA
Copyrights Act,0.1,0.1,0.1,0.1,0.1,NA,NA
Sati Prevention Act,0,0,0,0,0,NA,NA
SC/ST (prevention of Atrocities) Act - Total,0.5,0.4,0.4,0.3,0.2,NA,NA
SC/ST (prevention of Atrocities) Act (i) Attrocities Act for SCs,NA,NA,0.4,0.3,0.2,*,*
SC/ST (prevention of Atrocities) Act (ii) Attrocities Act for STs,NA,NA,0,0,0,*,*
Forest Act,0.2,0.1,0.2,0.1,0.1,NA,NA
Other SLL Crimes,70.3,71.4,72.8,73.9,74.6,NA,NA
Total Cognizable Crimes Under SLL,100,100,100,100,100,NA,NA
