Category (Col.1),States/ UTs (Col.2),Total No. of Cases for Investigation Including Pending Cases (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases in which - Investigation was Refused (Col.5),No. of Cases in which Investigation was Completed - Charge Found False / Mistake of Fact or Law Etc. (Col.6),No. of Cases in which Investigation was Completed - Final Report True Submitted (Col.7),No. of Cases in which Investigation was Completed - ChargeSheets were Submitted (Col.8),No. of Cases in which Investigation was Completed - Total = Col.{(6) + -7 + (8)} (Col.9),No. of Cases Pending Investigation (Col.10),Pendency Percentage (Col.11),Percentage of Pendency to All India Total (Col.12),ChargeSheeting Rate (Col.13) = Col.((8)/(7+8) × 100)
State,Andhra Pradesh,1612,0,0,130,64,978,1172,440,27.3,22.7,93.9
State,Arunachal Pradesh,18,0,0,0,4,11,15,3,16.7,0.2,73.3
State,Assam,25,0,0,1,5,14,20,5,20,0.3,73.7
State,Bihar,67,0,0,0,5,38,43,24,35.8,1.2,88.4
State,Chhattisgarh,637,0,0,9,18,543,570,67,10.5,3.5,96.8
State,Goa,75,0,0,0,16,32,48,27,36,1.4,66.7
State,Gujarat,706,0,1,19,142,507,668,37,5.2,1.9,78.1
State,Haryana,297,0,0,26,44,207,277,20,6.7,1,82.5
State,Himachal Pradesh,136,0,0,14,13,77,104,32,23.5,1.7,85.6
State,Jammu & Kashmir,70,0,0,3,5,31,39,31,44.3,1.6,86.1
State,Jharkhand,40,0,0,0,8,22,30,10,25,0.5,73.3
State,Karnataka,139,0,1,8,26,74,108,30,21.6,1.6,74
State,Kerala,392,0,2,5,22,158,185,205,52.3,10.6,87.8
State,Madhya Pradesh,2713,0,2,21,167,2411,2599,112,4.1,5.8,93.5
State,Maharashtra,2281,0,7,35,403,1528,1966,308,13.5,15.9,79.1
State,Manipur,36,0,0,0,0,1,1,35,97.2,1.8,100
State,Meghalaya,66,0,0,0,0,4,4,62,93.9,3.2,100
State,Mizoram,17,0,0,0,2,11,13,4,23.5,0.2,84.6
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,148,0,0,2,4,134,140,8,5.4,0.4,97.1
State,Punjab,241,0,6,19,38,125,182,53,22,2.7,76.7
State,Rajasthan,249,0,0,29,103,101,233,16,6.4,0.8,49.5
State,Sikkim,15,0,0,0,0,15,15,0,0,0,100
State,Tamil Nadu,226,0,6,51,24,112,187,33,14.6,1.7,82.4
State,Tripura,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1889,0,0,38,51,1664,1753,136,7.2,7,97
State,Uttaranchal,23,0,0,0,0,23,23,0,0,0,100
State,West Bengal,247,0,0,23,41,77,141,106,42.9,5.5,65.3
State,Total (States),12365,0,25,433,1205,8898,10536,1804,14.6,93.2,88.1
Union Territory,A & N Islands,6,0,0,0,1,2,3,3,50,0.2,66.7
Union Territory,Chandigarh,48,0,0,6,11,21,38,10,20.8,0.5,65.6
Union Territory,D & N Haveli,1,0,0,0,0,1,1,0,0,0,100
Union Territory,Daman & Diu,6,0,0,0,3,2,5,1,16.7,0.1,40
Union Territory,Delhi,679,0,5,45,211,309,565,109,16.1,5.6,59.4
Union Territory,Lakshadweep,1,0,0,0,0,1,1,0,0,0,100
Union Territory,Pondicherry,15,0,1,1,0,5,6,8,53.3,0.4,100
Union Territory,Total (UTs),756,0,6,52,226,341,619,131,17.3,6.8,60.1
Total (All-India),Total (All-India),13121,0,31,485,1431,9239,11155,1935,14.7,100,86.6
