Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Railways Other Railways - Number,Railways Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
City,Faridabad,151,45.7,0,0,0,0,0,0,0,0,0,0,0,0,19,5.7,19,5.8,189,57.2
City,Hyderabad,1458,506.7,0,0,0,0,0,0,0,0,0,0,0,0,402,106.4,15,0.6,1875,613.8
City,Indore,721,123.8,0,0,0,0,0,0,0,0,0,0,0,0,24,4.1,81,13.9,826,141.8
City,Jabalpur,531,90.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,90.4
City,Jaipur,423,70.2,0,0,0,0,0,0,0,0,0,0,0,0,213,187.4,39,3.2,675,260.7
City,Jamshedpur,157,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,22.2
City,Kanpur,156,22.1,0,0,0,0,0,0,0,0,0,0,0,0,11,2.8,0,0,167,25
City,Kochi,226,61.9,0,0,0,0,0,0,0,0,0,0,0,0,48,22.2,30,59,304,143.2
City,Kolkata,89,61.1,0,0,0,0,0,0,0,0,0,0,0,0,28,14.2,27,10.2,144,85.5
City,Lucknow,259,62.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,301,65.2
City,Ludhiana,178,58.8,0,0,0,0,0,0,0,0,0,0,2,4,100,25,56,18.5,336,106.3
City,Madurai,27,11,0,0,0,0,0,0,0,0,0,0,0,0,30,5.2,26,3.5,83,19.8
City,Meerut,92,37.7,0,0,0,0,0,0,0,0,0,0,0,0,15,4.2,9,1.8,116,43.7
City,Mumbai,1227,1612.8,0,0,0,0,0,0,0,0,0,0,3,0.2,748,1441.4,572,513.9,2550,3568.3
City,Nagpur,849,136.7,0,0,0,0,0,0,0,0,0,0,11,0.5,210,51.3,9,1.1,1079,189.6
City,Nasik,257,66.8,0,0,0,0,0,0,0,0,0,0,2,0.1,83,23.9,33,1.2,375,91.9
City,Patna,146,1,0,0,0,0,0,0,0,0,0,0,1,1.5,32,0.1,198,0.8,377,3.5
City,Pune,540,165.8,0,0,0,0,0,0,0,0,0,0,11,14.5,239,123.6,78,29.7,868,333.7
City,Rajkot,162,47.7,0,0,0,0,0,0,0,0,0,0,0,0,62,15.3,126,22.6,350,85.6
City,Surat,291,174.2,0,0,0,0,0,0,0,0,0,0,3,22.6,26,11.6,68,56.4,388,264.8
City,Vadodara,366,95.8,1,0,0,0,0,0,0,0,0,0,1,0.6,44,18.7,22,5,434,120.1
City,Varanasi,39,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.5,61,44
City,Vijayawada,439,86.3,7,0.4,0,0,0,0,0,0,0,0,0,0,223,60.9,207,43.3,876,190.9
City,Vishakhapatnam,193,27.7,0,0,0,0,0,0,0,0,0,0,0,0,44,12.8,44,11,281,51.5
