Category (Col.1),States/ UTs (Col.2),Number of Police Stations - (0-60) Cases (Col.3),Number of Police Stations - (61-100) Cases (Col.4),Number of Police Stations - (101-200) Cases (Col.5),Number of Police Stations - (201-300) Cases (Col.6),Number of Police Stations - (301-400) Cases (Col.7),Number of Police Stations - (401-500) Cases (Col.8),Number of Police Stations - (501-1000) Cases (Col.9),Number of Police Stations - 1001 and Above (Col.10),Number of Police Stations - Total (Col.11) = Col.(3 to 10)
State,Andhra Pradesh,368,438,492,137,63,29,36,10,1573
State,Arunachal Pradesh,56,5,5,3,0,0,0,0,69
State,Assam,31,49,74,51,16,4,4,3,232
State,Bihar,199,172,221,111,38,11,5,0,757
State,Chhattisgarh,0,172,0,0,85,0,16,11,284
State,Goa,9,10,3,3,0,0,0,0,25
State,Gujarat,63,55,109,63,50,28,62,36,466
State,Haryana,2,11,59,49,26,21,35,2,205
State,Himachal Pradesh,8,9,36,16,8,2,5,0,84
State,Jammu & Kashmir,32,37,65,18,13,2,2,0,169
State,Jharkhand,101,84,71,32,23,6,5,0,322
State,Karnataka,79,141,345,117,56,33,30,2,803
State,Kerala,24,11,92,80,79,61,85,10,442
State,Madhya Pradesh,80,120,229,174,119,85,91,16,914
State,Maharashtra,124,167,294,161,88,46,55,6,941
State,Manipur,38,7,7,3,1,0,0,0,56
State,Meghalaya,11,12,4,3,0,0,0,0,30
State,Mizoram,23,2,3,1,2,1,1,1,34
State,Nagaland,31,8,3,2,0,0,0,0,44
State,Orissa,84,120,164,66,19,5,1,0,459
State,Punjab,11,24,110,58,30,17,8,0,258
State,Rajasthan,26,58,247,165,97,61,53,2,709
State,Sikkim,25,0,1,0,0,0,0,0,26
State,Tamil Nadu,253,144,179,184,157,126,307,144,1494
State,Tripura,31,12,6,2,1,0,0,0,52
State,Uttar Pradesh,143,165,314,268,202,160,142,49,1443
State,Uttaranchal,21,16,15,12,10,6,10,10,100
State,West Bengal,103,82,135,71,43,19,3,0,456
State,Total (States),1976,2131,3283,1850,1226,723,956,302,12447
Union Territory,A & N Islands,2,2,4,2,1,1,2,1,15
Union Territory,Chandigarh,0,0,0,5,1,3,2,0,11
Union Territory,D & N Haveli,0,1,0,1,0,0,0,0,2
Union Territory,Daman & Diu,1,0,0,1,0,0,0,0,2
Union Territory,Delhi,1,2,3,12,18,25,56,10,127
Union Territory,Lakshadweep,9,0,0,0,0,0,0,0,9
Union Territory,Pondicherry,7,0,16,7,4,0,3,0,37
Union Territory,Total (UTs),20,5,23,28,24,29,63,11,203
Total (All-India),Total (All-India),1996,2136,3306,1878,1250,752,1019,313,12650
