Category,States/ UTs,Gain - Murder,Gain - C.H.,Property Dispute - Murder,Property Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Witchcraft - Murder,Witchcraft - C.H.,for Political Reasons - Murder,for Political Reasons - C.H.,by Terrorist/ Extremists - Murder,by Terrorist/ Extremists - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
State,Andhra Pradesh,138,4,203,9,364,17,442,1,116,0,10,0,37,1,38,0,114,0,5,0,5,0,24,0,1171,115,2667,147
State,Arunachal Pradesh,19,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,77,3
State,Assam,79,3,153,3,153,4,38,1,50,0,1,0,1,0,0,0,66,0,0,0,0,0,2,0,648,37,1191,48
State,Bihar,307,4,797,52,688,26,181,4,193,12,0,0,0,4,45,0,50,0,0,0,34,0,8,4,1468,192,3771,298
State,Chhattisgarh,17,0,62,1,89,1,38,0,7,6,10,0,9,5,1,0,5,0,0,0,7,0,15,0,516,38,776,51
State,Goa,3,1,3,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,34,6
State,Gujarat,72,3,107,1,148,0,165,0,19,1,8,0,1,0,4,0,1,0,4,0,0,0,0,0,585,24,1114,29
State,Haryana,28,1,148,11,171,19,48,3,10,0,1,1,0,0,0,0,0,0,31,2,0,0,0,0,265,39,702,76
State,Himachal Pradesh,14,0,18,1,11,0,21,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,57,4,125,5
State,Jammu & Kashmir,2,0,20,0,8,0,1,0,0,0,0,0,0,0,3,0,799,0,0,0,0,0,0,0,96,29,929,29
State,Jharkhand,106,1,201,3,192,10,72,0,75,0,0,0,19,0,2,0,27,0,0,0,5,0,5,0,778,95,1482,109
State,Karnataka,48,0,101,0,136,0,134,1,34,0,0,0,0,0,4,0,0,0,3,0,6,0,0,0,1040,57,1506,58
State,Kerala,22,0,32,0,166,98,7,1,1,1,3,0,0,0,11,11,0,0,3,0,0,0,0,0,190,232,435,343
State,Madhya Pradesh,84,7,279,12,440,20,246,10,94,0,7,1,26,3,5,0,27,0,17,0,0,0,0,0,1002,150,2227,203
State,Maharashtra,92,1,133,1,185,0,300,1,111,1,8,1,9,0,9,0,28,0,0,0,3,0,16,0,1878,108,2772,113
State,Manipur,1,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,65,5,150,6
State,Meghalaya,33,4,6,0,18,0,5,2,0,0,2,0,0,0,0,0,22,0,1,0,0,0,0,0,88,11,175,17
State,Mizoram,2,0,11,0,1,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,27,2,46,3
State,Nagaland,3,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,74,8,91,8
State,Orissa,38,9,52,2,149,2,61,3,169,36,0,0,26,0,4,0,6,0,0,0,0,0,6,0,533,136,1044,188
State,Punjab,20,4,81,9,46,2,54,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,66,731,89
State,Rajasthan,55,0,113,1,112,0,38,2,55,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,888,50,1262,61
State,Sikkim,4,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,14,3
State,Tamil Nadu,104,0,126,0,361,1,195,0,18,0,0,0,0,0,3,0,5,0,0,0,5,0,0,0,774,27,1591,28
State,Tripura,21,0,6,0,37,0,1,0,2,0,0,0,0,0,4,0,97,0,0,0,0,0,0,0,86,0,254,0
State,Uttar Pradesh,230,4,285,25,634,11,357,5,0,0,1,6,0,0,0,0,1,0,4,0,11,0,1,0,3760,1474,5284,1525
State,Uttaranchal,19,0,19,1,18,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,196,29,268,31
State,West Bengal,21,0,24,18,126,23,26,3,14,0,0,0,9,0,22,1,1,0,0,0,0,0,0,0,1182,439,1425,484
State,Total (States),1582,46,2987,150,4272,235,2452,40,979,72,55,9,138,13,157,12,1334,1,68,2,76,0,77,4,17966,3377,32143,3961
Union Territory,A & N Islands,0,0,3,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,21,1
Union Territory,Chandigarh,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,21,2
Union Territory,D & N Haveli,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0
Union Territory,Daman & Diu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0
Union Territory,Delhi,27,4,24,9,49,8,47,3,13,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,320,41,485,65
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,2,0,2,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,29,0
Union Territory,Total (UTs),30,4,29,9,73,8,54,3,14,0,1,0,2,0,1,0,0,0,0,0,1,0,5,1,363,43,573,68
Total (All-India),Total (All-India),1612,50,3016,159,4345,243,2506,43,993,72,56,9,140,13,158,12,1334,1,68,2,77,0,82,5,18329,3420,32716,4029
