Category,States/ UTs/Cities,No. of Cases in which offenders were Known to the Victims,No. of Cases in which offenders were - Parents / Close Family Members,No. of Cases in which offenders were - Relatives,No. of Cases in which offenders were - Neighbours,No. of Cases in which offenders were - Other Known Persons
State,Andhra Pradesh,946,15,82,299,550
State,Arunachal Pradesh,31,0,1,9,21
State,Assam,1095,19,75,458,543
State,Bihar,963,1,17,352,593
State,Chhattisgarh,898,39,47,151,661
State,Goa,29,0,0,9,20
State,Gujarat,202,7,4,43,148
State,Haryana,304,14,15,127,148
State,Himachal Pradesh,118,2,8,23,85
State,Jammu & Kashmir,211,2,19,61,129
State,Jharkhand,444,14,78,291,61
State,Karnataka,256,1,25,95,135
State,Kerala,386,7,33,153,193
State,Madhya Pradesh,2738,123,239,1007,1369
State,Maharashtra,1249,18,60,410,761
State,Manipur,18,0,0,3,15
State,Meghalaya,34,5,0,9,20
State,Mizoram,45,2,2,11,30
State,Nagaland,3,0,0,1,2
State,Orissa,442,0,30,102,310
State,Punjab,380,9,15,137,219
State,Rajasthan,926,32,30,218,646
State,Sikkim,10,0,0,0,10
State,Tamil Nadu,541,40,67,163,271
State,Tripura,114,0,0,12,102
State,Uttar Pradesh,766,10,65,320,371
State,Uttaranchal,107,2,4,26,75
State,West Bengal,41,15,3,11,12
State,Total (States),13297,377,919,4501,7500
Union Territory,A & N Islands,2,0,0,0,2
Union Territory,Chandigarh,18,1,7,10,0
Union Territory,D & N Haveli,1,0,0,0,1
Union Territory,Daman & Diu,5,0,0,2,3
Union Territory,Delhi,457,21,23,216,197
Union Territory,Lakshadweep,0,0,0,0,0
Union Territory,Pondicherry,2,0,0,2,0
Union Territory,Total (UTs),485,22,30,230,203
Total (All-India),Total (All-India),13782,399,949,4731,7703
City,Agra,5,0,4,1,0
City,Ahmedabad,15,2,0,4,9
City,Allahabad,2,0,0,1,1
City,Amritsar,11,1,0,3,7
City,Asansol,1,1,0,0,0
City,Bangalore,22,0,2,12,8
City,Bhopal,58,8,12,24,14
City,Chennai,38,0,1,15,22
City,Coimbatore,4,0,0,0,4
City,Delhi (CITY),375,18,15,162,180
City,Dhanbad,6,3,2,0,1
City,Faridabad,15,0,0,7,8
City,Hyderabad,57,9,9,5,34
City,Indore,54,0,0,49,5
City,Jabalpur,0,0,0,0,0
City,Jaipur,22,3,3,8,8
City,Jamshedpur,44,12,8,13,11
City,Kanpur,24,0,0,18,6
City,Kochi,11,0,0,3,8
City,Kolkata,29,3,3,11,12
City,Lucknow,20,0,0,9,11
City,Ludhiana,33,1,3,20,9
City,Madurai,7,0,0,4,3
City,Meerut,14,4,3,3,4
City,Mumbai,121,0,10,44,67
City,Nagpur,25,1,1,9,14
City,Nasik,11,0,1,3,7
City,Patna,15,0,0,4,11
City,Pune,40,0,1,32,7
City,Rajkot,0,0,0,0,0
City,Surat,24,0,0,6,18
City,Vadodara,8,0,0,1,7
City,Varanasi,4,0,0,2,2
City,Vijayawada,27,0,0,0,27
City,Vishakhapatnam,9,0,2,1,6
City,Total (Cities),1151,66,80,474,531
