Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Railways Other Railways - Number,Railways Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,254,89.5,120,53.8,1,0.1,43,10.7,7,2.6,36,8.2,1,2,16,5.9,225,61.4,660,223.4
State,Arunachal Pradesh,29,2.3,3,0.4,0,0,0,0,0,0,0,0,0,0,9,0.3,19,9.8,60,12.8
State,Assam,158,54.4,95,36.5,0,0,0,0,0,0,0,0,0,0,65,19.6,205,49.5,523,160
State,Bihar,336,74.1,1055,272.9,2,0,65,7.5,40,5.9,25,1.7,10,19.8,95,15,900,199.2,2463,588.6
State,Chhattisgarh,39,8.2,19,3.7,0,0,9,1.5,1,0.2,8,1.3,1,1.6,4,0.6,259,71.5,331,87
State,Goa,5,4.2,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,14,4.3,21,8.7
State,Gujarat,233,149.6,123,79.3,2,0,89,10.6,89,10.6,0,0,2,4,137,62.6,681,175.5,1267,481.6
State,Haryana,20,41.9,48,78.5,0,0,2,0.4,0,0,2,0.4,6,8,34,28.9,171,196.8,281,354.5
State,Himachal Pradesh,1,0,3,3.9,0,0,0,0,0,0,0,0,1,5.9,1,0,13,8.4,19,18.2
State,Jammu & Kashmir,46,37.3,0,0,0,0,0,0,0,0,0,0,4,2.4,4,1.6,100,61,154,102.3
State,Jharkhand,190,33.7,475,56.5,0,0,1,0,1,0,0,0,12,12.6,20,32.8,166,36.4,864,172
State,Karnataka,173,63.1,39,18.9,0,0,10,0.7,5,0.5,5,0.3,3,0.1,72,10.8,564,164.4,861,258
State,Kerala,186,52.6,32,19.8,0,0,5,1,3,0.9,2,0,0,0,59,6.2,352,77.1,634,156.7
State,Madhya Pradesh,105,28,234,179.7,4,0,45,12.9,27,7.6,18,5.3,3,13.6,50,16.7,1137,452.8,1578,703.9
State,Maharashtra,376,192.8,227,230.8,2,0.1,50,4,23,3.3,27,0.7,10,48.5,197,216.5,1234,665.4,2096,1358.1
State,Manipur,2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.1,6,12.5
State,Meghalaya,33,3.4,44,3.5,0,0,0,0,0,0,0,0,0,0,13,1.2,43,1.5,133,9.6
State,Mizoram,2,0.1,17,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,21,1.4
State,Nagaland,51,2.7,12,2.3,0,0,8,0.1,0,0,8,0.1,0,0,10,0.6,11,3.5,92,9.2
State,Orissa,212,51.5,163,56.5,0,0,26,1.7,8,0.5,18,1.2,4,1,106,23.2,364,68.1,875,201.9
State,Punjab,11,15.8,7,14.9,0,0,2,0.2,0,0,2,0.2,7,21.2,9,20.7,72,80.9,108,153.7
State,Rajasthan,24,3.7,71,49.4,0,0,8,3.3,4,3.2,4,0.1,0,0,41,26,511,567.2,655,649.6
State,Sikkim,0,0,3,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18.6
State,Tamil Nadu,165,172.7,49,41.8,1,0.1,15,0.5,1,0,14,0.5,3,10.7,25,6.1,256,85.5,514,317.3
State,Tripura,45,0.4,6,0.4,0,0,0,0,0,0,0,0,18,8.4,0,0,0,0,69,9.2
State,Uttar Pradesh,215,67.9,957,636.4,0,0,48,9.1,30,7.9,18,1.2,10,194.8,24,8.5,734,244.1,1988,1160.7
State,Uttaranchal,35,16.7,57,34.5,0,0,0,0,0,0,0,0,3,9.9,6,1.7,59,15.9,160,78.7
State,West Bengal,90,53.8,44,14.4,0,0,28,6.2,28,6.2,0,0,3,10.1,30,19.3,403,150.3,598,254.1
