Category,States/ UTs,Estimated Mid Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution,Prot.of Civil Rights Act - Incidence,Prot.of Civil Rights Act - Rate,Prot.of Civil Rights Act - Percentage Contribution,SC/ST Prev.of Attrocities Act - Incidence,SC/ST Prev.of Attrocities Act - Rate,SC/ST Prev.of Attrocities Act - Percentage Contribution,Other offences - Incidence,Other offences - Rate,Other offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Andhra Pradesh,778.7,9,0,4.9,32,0,5.8,3,0,4.3,0,0,0,1,0,2.2,2,0,5.3,134,0.2,17,21,0,56.8,150,0.2,11.2,219,0.3,7.8,571,0.7,9.7
State,Arunachal Pradesh,11.3,0,0,0,9,0.8,1.6,7,0.6,10.1,0,0,0,0,0,0,2,0.2,5.3,22,1.9,2.8,0,0,0,0,0,0,26,2.3,0.9,66,5.8,1.1
State,Assam,277.3,2,0,1.1,2,0,0.4,2,0,2.9,0,0,0,0,0,0,0,0,0,7,0,0.9,1,0,2.7,0,0,0,6,0,0.2,20,0.1,0.3
State,Bihar,867.7,3,0,1.6,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,6,0,16.2,19,0,1.4,13,0,0.5,52,0.1,0.9
State,Chhattisgarh,217.2,13,0.1,7,103,0.5,18.7,6,0,8.7,9,0,30,1,0,2.2,1,0,2.6,57,0.3,7.2,0,0,0,221,1,16.5,363,1.7,13,774,3.6,13.1
State,Goa,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,526.4,5,0,2.7,20,0,3.6,9,0,13,7,0,23.3,16,0,34.8,0,0,0,51,0.1,6.5,0,0,0,69,0.1,5.1,64,0.1,2.3,241,0.5,4.1
State,Haryana,220.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,62.5,1,0,0.5,2,0,0.4,1,0,1.4,1,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,6,0.1,0.2,12,0.2,0.2
State,Jammu & Kashmir,107.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
State,Jharkhand,280,32,0.1,17.3,14,0,2.5,2,0,2.9,0,0,0,1,0,2.2,1,0,2.6,18,0.1,2.3,0,0,0,5,0,0.4,35,0.1,1.2,108,0.4,1.8
State,Karnataka,543.7,5,0,2.7,2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1.5,5,0,13.5,108,0.2,8.1,35,0.1,1.2,167,0.3,2.8
State,Kerala,326.2,0,0,0,10,0,1.8,1,0,1.4,0,0,0,0,0,0,1,0,2.6,18,0.1,2.3,0,0,0,10,0,0.7,25,0.1,0.9,65,0.2,1.1
State,Madhya Pradesh,633.7,34,0.1,18.4,263,0.4,47.7,16,0,23.2,0,0,0,2,0,4.3,10,0,26.3,235,0.4,29.7,0,0,0,252,0.4,18.8,967,1.5,34.5,1779,2.8,30.2
State,Maharashtra,1003.1,8,0,4.3,34,0,6.2,2,0,2.9,0,0,0,1,0,2.2,4,0,10.5,12,0,1.5,0,0,0,50,0,3.7,106,0.1,3.8,217,0.2,3.7
