Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11 - 20,Number of Police Stations (Sanctioned Strength) - 21 - 30,Number of Police Stations (Sanctioned Strength) - 31 - 40,Number of Police Stations (Sanctioned Strength) - 41 - 50,Number of Police Stations (Sanctioned Strength) - 51 and Above
State,Andhra Pradesh,75,853,265,156,66,158
State,Arunachal Pradesh,0,58,11,0,0,0
State,Assam,41,74,44,39,34,0
State,Bihar,235,399,70,19,14,20
State,Chhattisgarh,8,131,56,58,10,21
State,Goa,1,0,0,1,1,22
State,Gujarat,0,9,59,86,91,221
State,Haryana,3,49,45,40,20,48
State,Himachal Pradesh,0,45,33,2,2,2
State,Jammu & Kashmir,2,1,10,22,37,97
State,Jharkhand,74,143,50,24,9,22
State,Karnataka,5,9,138,296,171,184
State,Kerala,1,6,75,249,59,52
State,Madhya Pradesh,55,335,199,106,81,138
State,Maharashtra,2,76,134,155,114,460
State,Manipur,1,41,7,0,2,5
State,Meghalaya,3,4,9,12,2,0
State,Mizoram,1,16,12,2,1,2
State,Nagaland,0,6,6,5,7,20
State,Orissa,120,254,43,13,20,9
State,Punjab,4,10,23,45,43,133
State,Rajasthan,0,307,236,101,27,38
State,Sikkim,0,21,5,0,0,0
State,Tamil Nadu,0,77,1037,0,155,225
State,Tripura,0,6,24,16,2,4
State,Uttar Pradesh,39,236,448,286,183,251
State,Uttaranchal,3,21,31,16,8,21
State,West Bengal,2,162,103,73,24,92
State,Total (States),675,3349,3173,1822,1183,2245
Union Territory,A & N Islands,5,9,0,0,0,1
Union Territory,Chandigarh,0,0,0,0,0,11
Union Territory,D & N Haveli,0,0,0,1,0,1
Union Territory,Daman & Diu,0,0,0,0,0,2
Union Territory,Delhi,0,0,1,0,0,126
Union Territory,Lakshadweep,0,1,4,3,0,1
Union Territory,Pondicherry,8,12,12,3,1,1
Union Territory,Total (UTs),13,22,17,7,1,143
Total (All-India),Total (All-India),688,3371,3190,1829,1184,2388
