Category,States/ UTs,No. of officers (Dy. SP & Above) - Sanctioned,No. of officers (Dy. SP & Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
State,Andhra Pradesh,16,13,44,34,180,161
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,56,32,181,158,2324,2245
State,Bihar,335,264,316,91,4195,3539
State,Chhattisgarh,106,77,274,160,1127,734
State,Goa,1,1,18,12,482,442
State,Gujarat,150,102,1500,1283,43630,39834
State,Haryana,37,21,75,60,482,412
State,Himachal Pradesh,19,16,110,76,440,350
State,Jammu & Kashmir,25,15,75,60,1491,1379
State,Jharkhand,111,106,149,98,3510,733
State,Karnataka,1500,2496,206,1215,3914,4589
State,Kerala,0,0,0,0,0,0
State,Madhya Pradesh,66,46,659,555,16607,15950
State,Maharashtra,4,4,484,385,149,142
State,Manipur,13,13,105,105,2228,2232
State,Meghalaya,18,17,63,62,1141,1073
State,Mizoram,8,8,27,20,119,109
State,Nagaland,3,2,3,6,68,78
State,Orissa,37,36,277,275,129,129
State,Punjab,3019,1464,1690,1173,11157,8626
State,Rajasthan,52,25,236,196,654,566
State,Sikkim,10,8,2,1,4,3
State,Tamil Nadu,155,142,464,337,10987,10303
State,Tripura,10,8,18,20,3086,2603
State,Uttar Pradesh,85,62,262,236,3004,2177
State,Uttaranchal,14,1,210,114,6411,5372
State,West Bengal,316,49,93,67,19713,20534
State,Total (States),6166,5028,7541,6799,137232,124315
Union Territory,A & N Islands,1,1,6,2,17,11
Union Territory,Chandigarh,1,1,2,2,1132,1122
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,124,120
Union Territory,Delhi,3,3,15,11,10285,2536
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,1,1,2,2,5,5
Union Territory,Total (UTs),6,6,25,17,11563,3794
Total (All-India),Total (All-India),6172,5034,7566,6816,148795,128109
