Category (Col. 1),States/ UTs (Col. 2),Category of Complaints Received - Oral (Col. 3),Category of Complaints Received - Written (Col. 4),Category of Complaints Received - Distress call over Phone 100 (Col. 5),Category of Complaints Received - Complaints Initiated Suemoto by Police (Col. 6),Category of Complaints Received - Total Complaints (Col. 7)= Col.(3 to 6),No. of Cases Registered Under - IPC (Col. 8),No. of Cases Registered Under - SLL (Col. 9),Total (Col. 10)  = Col.(8 + 9) 
State,Andhra Pradesh,154523,239205,53276,173798,620802,156951,463272,620223
State,Arunachal Pradesh,0,2111,0,0,2111,2061,50,2111
State,Assam,7,37872,483,1466,39828,38195,1633,39828
State,Bihar,11357,84433,10,3702,99502,92263,7940,100203
State,Chhattisgarh,101398,60289,1384,68445,231516,38449,193067,231516
State,Goa,1204,638,4,3502,5348,2244,3104,5348
State,Gujarat,132003,69447,2912,60453,264815,103709,160749,264458
State,Haryana,2173,69500,33,9229,80935,38612,27825,66437
State,Himachal Pradesh,2986,11481,189,1474,16130,12011,4420,16431
State,Jammu & Kashmir,4896,12263,104,6972,24235,21233,3002,24235
State,Jharkhand,4746,12361,0,322,17429,32203,2024,34227
State,Karnataka,32435,92595,368,127499,252897,112405,15576,127981
State,Kerala,84345,109936,17330,40400,252011,98824,41055,139879
State,Madhya Pradesh,217941,92786,334,42842,353903,191078,162825,353903
State,Maharashtra,152953,371751,3198,220910,748812,164306,174606,338912
State,Manipur,0,2507,0,645,3152,2537,615,3152
State,Meghalaya,8,1737,0,300,2045,1669,376,2045
State,Mizoram,0,3191,6,1267,4464,3456,1008,4464
State,Nagaland,0,416,2,178,596,976,342,1318
State,Orissa,3539,48817,0,6567,58923,47281,11642,58923
State,Punjab,1847,166802,813,1294,170756,28756,25739,54495
State,Rajasthan,18420,131259,0,29750,179429,145579,33850,179429
State,Sikkim,0,618,0,0,618,443,175,618
State,Tamil Nadu,73302,210295,8193,442259,734049,157186,576863,734049
State,Tripura,365,2949,0,200,3514,3514,78,3592
State,Uttar Pradesh,7256,227188,214,591076,825734,95073,730661,825734
State,Uttaranchal,96,12175,890,42145,55306,7923,47383,55306
State,West Bengal,1624786,222475,18619,1956780,3822660,61174,1058493,1119667
State,Total (States),2632586,2297097,108362,3833475,8871520,1660111,3748373,5408484
Union Territory,A & N Islands,1553,192,1,4901,6647,644,6003,6647
Union Territory,Chandigarh,0,10082,18305,18,28405,2806,1125,3931
Union Territory,D & N Haveli,0,300,0,6,306,338,20,358
Union Territory,Daman & Diu,16,233,0,22,271,269,2,271
Union Territory,Delhi,29819,120835,227310,6877,384841,47404,21910,69314
Union Territory,Lakshadweep,0,29,0,3,32,31,1,32
Union Territory,Pondicherry,2825,1283,0,1669,5777,4517,1260,5777
Union Territory,Total (UTs),34213,132954,245616,13496,426279,56009,30321,86330
Total (All-India),Total (All-India),2666799,2430051,353978,3846971,9297799,1716120,3778694,5494814
