Category,States/ UTs/Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated mid-Year Population (In Lakhs)**,Rate of Total Cognizable Crimes,Rank of Criminality
State,Andhra Pradesh,156951,9.1,778.73,201.5,10
State,Arunachal Pradesh,2061,0.1,11.3,182.4,14
State,Assam,38195,2.2,277.25,137.8,22
State,Bihar,92263,5.4,867.74,106.3,27
State,Chhattisgarh,38449,2.2,217.21,177,15
State,Goa,2244,0.1,14.25,157.5,20
State,Gujarat,103709,6,526.39,197,12
State,Haryana,38612,2.2,220.4,175.2,16
State,Himachal Pradesh,12011,0.7,62.49,192.2,13
State,Jammu & Kashmir,21233,1.2,107.33,197.8,11
State,Jharkhand,32203,1.9,280.03,115,24
State,Karnataka,112405,6.5,543.7,206.7,9
State,Kerala,98824,5.8,326.2,303,4
State,Madhya Pradesh,191078,11.1,633.66,301.5,5
State,Maharashtra,164306,9.6,1003.09,163.8,18
State,Manipur,2537,0.1,24.78,102.4,28
State,Meghalaya,1669,0.1,23.9,69.8,32
State,Mizoram,3456,0.2,9.23,374.4,2
State,Nagaland,976,0.1,20.75,47,35
State,Orissa,47281,2.8,378.21,125,23
State,Punjab,28756,1.7,251.13,114.5,25
State,Rajasthan,145579,8.5,593.32,245.4,8
State,Sikkim,443,0,5.61,79,30
State,Tamil Nadu,157186,9.2,635.87,247.2,7
State,Tripura,3514,0.2,32.94,106.7,26
State,Uttar Pradesh,95073,5.5,1743.8,54.5,33
State,Uttaranchal,7923,0.5,88.25,89.8,29
State,West Bengal,61174,3.6,828.33,73.9,31
State,Total (States),1660111,96.7,10505.89,158,NA
Union Territory,A & N Islands,644,0,3.73,172.7,17
Union Territory,Chandigarh,2806,0.2,9.55,293.8,6
Union Territory,D & N Haveli,338,0,2.33,145.1,21
Union Territory,Daman & Diu,269,0,1.68,160.1,19
Union Territory,Delhi,47404,2.8,148.28,319.7,3
Union Territory,Lakshadweep,31,0,0.63,49.2,34
Union Territory,Pondicherry,4517,0.3,10.05,449.5,1
Union Territory,Total (UTs),56009,3.3,176.25,317.8,NA
Total (All-India),Total (All-India),1716120,100,10682.14,160.7,NA
City,Agra,2227,0.8,13.21,168.6,25
City,Ahmedabad,16199,5.6,45.19,358.5,13
City,Allahabad,1072,0.4,10.5,102.1,33
City,Amritsar,1143,0.4,10.11,113.1,32
City,Asansol,1327,0.5,10.91,121.6,31
City,Bangalore,29260,10,56.87,514.5,5
City,Bhopal,11780,4,14.55,809.6,2
City,Chennai,8580,2.9,64.25,133.5,30
City,Coimbatore,3187,1.1,14.46,220.4,22
City,Delhi (CITY),41961,14.4,127.91,328.1,15
City,Dhanbad,1929,0.7,10.64,181.3,24
City,Faridabad,3987,1.4,10.55,377.9,11
City,Hyderabad,20252,7,55.34,366,12
City,Indore,12286,4.2,16.39,749.6,3
City,Jabalpur,6990,2.4,11.17,625.8,4
City,Jaipur,11579,4,23.24,498.2,7
City,Jamshedpur,2550,0.9,11.02,231.4,20
City,Kanpur,3618,1.2,26.9,134.5,29
City,Kochi,6829,2.3,13.55,504,6
City,Kolkata,10714,3.7,132.17,81.1,35
City,Lucknow,4277,1.5,22.67,188.7,23
City,Ludhiana,4256,1.5,13.95,305.1,16
City,Madurai,3253,1.1,11.95,272.2,17
City,Meerut,1641,0.6,11.67,140.6,28
City,Mumbai,25686,8.8,163.68,156.9,26
City,Nagpur,7357,2.5,21.23,346.5,14
City,Nasik,2542,0.9,11.52,220.7,21
City,Patna,6545,2.2,17.07,383.4,9
City,Pune,8813,3,37.56,234.6,19
City,Rajkot,4802,1.6,10.02,479.2,8
City,Surat,4401,1.5,28.11,156.6,27
City,Vadodara,5712,2,14.92,382.8,10
City,Varanasi,1146,0.4,12.12,94.6,34
City,Vijayawada,10084,3.5,10.11,997.4,1
City,Vishakhapatnam,3261,1.1,13.29,245.4,18
City,Total (Cities),291246,100,1078.8,270,NA
