Category,States/ UTs/Cities,Incest (Rape) - No. of Cases Reported,Incest (Rape) No. of Victims - Upto 10 Years,Incest (Rape) No. of Victims - (10-14) Years,Incest (Rape) No. of Victims - (14-18) Years,Incest (Rape) No. of Victims - (18-30)Years,Incest (Rape) No. of Victims - (30-50) Years,Incest (Rape) No. of Victims - Above 50 Years,Incest (Rape) No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) No. of Victims - Upto 10 Years,Other (Rape) No. of Victims - (10-14) Years,Other (Rape) No. of Victims - (14-18) Years,Other (Rape) No. of Victims - (18-30)Years,Other (Rape) No. of Victims - (30-50) Years,Other (Rape) No. of Victims - Above 50 Years,Other (Rape) No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) No. of Victims - Upto 10 Years,Rape Cases (Total) No. of Victims - (10-14) Years,Rape Cases (Total) No. of Victims - (14-18) Years,Rape Cases (Total) No. of Victims - (18-30)Years,Rape Cases (Total) No. of Victims - (30-50) Years,Rape Cases (Total) No. of Victims - Above 50 Years,Rape Cases (Total) No. of Victims - Total Victims
State,Andhra Pradesh,15,3,2,1,7,2,0,15,931,30,133,214,422,125,7,931,946,33,135,215,429,127,7,946
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,31,3,5,4,19,0,0,31,31,3,5,4,19,0,0,31
State,Assam,19,0,0,0,19,0,0,19,1076,0,5,0,808,260,3,1076,1095,0,5,0,827,260,3,1095
State,Bihar,1,0,0,1,0,0,0,1,984,1,1,0,686,296,0,984,985,1,1,1,686,296,0,985
State,Chhattisgarh,39,1,2,16,13,7,0,39,859,26,95,46,363,324,5,859,898,27,97,62,376,331,5,898
State,Goa,0,0,0,0,0,0,0,0,31,6,9,8,7,2,0,32,31,6,9,8,7,2,0,32
State,Gujarat,7,1,0,3,3,0,0,7,229,16,17,43,140,13,0,229,236,17,17,46,143,13,0,236
State,Haryana,14,0,0,3,11,0,0,14,339,2,5,67,237,28,0,339,353,2,5,70,248,28,0,353
State,Himachal Pradesh,2,0,0,1,1,0,0,2,124,8,14,24,55,23,0,124,126,8,14,25,56,23,0,126
State,Jammu & Kashmir,2,0,0,0,2,0,0,2,209,1,1,0,145,62,0,209,211,1,1,0,147,62,0,211
State,Jharkhand,14,0,2,6,6,0,0,14,698,0,4,4,600,90,0,698,712,0,6,10,606,90,0,712
State,Karnataka,1,1,0,0,0,0,0,1,320,17,47,67,135,38,16,320,321,18,47,67,135,38,16,321
State,Kerala,7,1,3,0,3,0,0,7,387,19,33,13,264,56,2,387,394,20,36,13,267,56,2,394
State,Madhya Pradesh,123,3,10,23,71,16,0,123,2615,60,221,382,1475,470,7,2615,2738,63,231,405,1546,486,7,2738
State,Maharashtra,18,4,1,6,8,0,0,19,1250,75,115,411,533,119,4,1257,1268,79,116,417,541,119,4,1276
State,Manipur,0,0,0,0,0,0,0,0,18,0,0,7,10,0,1,18,18,0,0,7,10,0,1,18
State,Meghalaya,5,1,2,1,1,0,0,5,35,3,3,14,13,1,1,35,40,4,5,15,14,1,1,40
State,Mizoram,2,0,1,1,0,0,0,2,52,1,2,5,22,22,0,52,54,1,3,6,22,22,0,54
State,Nagaland,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,14,14,0,0,0,14,0,0,14
State,Orissa,0,0,0,0,0,0,0,0,725,5,18,32,586,83,1,725,725,5,18,32,586,83,1,725
State,Punjab,9,0,2,2,5,0,0,9,371,6,12,32,257,63,1,371,380,6,14,34,262,63,1,380
State,Rajasthan,32,1,0,2,24,5,0,32,1018,6,11,29,727,238,7,1018,1050,7,11,31,751,243,7,1050
State,Sikkim,0,0,0,0,0,0,0,0,10,4,4,1,1,0,0,10,10,4,4,1,1,0,0,10
State,Tamil Nadu,40,3,7,17,12,1,0,40,517,9,7,4,348,148,1,517,557,12,14,21,360,149,1,557
State,Tripura,0,0,0,0,0,0,0,0,114,0,0,0,102,12,0,114,114,0,0,0,102,12,0,114
State,Uttar Pradesh,10,1,2,5,2,0,0,10,901,32,73,202,475,117,2,901,911,33,75,207,477,117,2,911
State,Uttaranchal,2,0,0,0,2,0,0,2,105,1,4,6,81,13,0,105,107,1,4,6,83,13,0,107
State,West Bengal,15,1,2,0,12,0,0,15,987,4,5,4,814,158,2,987,1002,5,7,4,826,158,2,1002
State,Total (States),377,21,36,88,202,31,0,378,14950,335,844,1619,9339,2761,60,14958,15327,356,880,1707,9541,2792,60,15336
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,2,1,0,1,0,0,0,2
Union Territory,Chandigarh,1,1,0,0,0,0,0,1,17,2,1,5,7,2,0,17,18,3,1,5,7,2,0,18
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,5,5,2,0,3,0,0,0,5
Union Territory,Delhi,21,1,5,11,4,0,0,21,469,25,45,65,317,17,0,469,490,26,50,76,321,17,0,490
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,2,1,0,0,1,0,0,2
Union Territory,Total (UTs),22,2,5,11,4,0,0,22,498,31,46,74,328,19,0,498,520,33,51,85,332,19,0,520
Total (All-India),Total (All-India),399,23,41,99,206,31,0,400,15448,366,890,1693,9667,2780,60,15456,15847,389,931,1792,9873,2811,60,15856
City,Agra,0,0,0,0,0,0,0,0,11,0,0,3,6,2,0,11,11,0,0,3,6,2,0,11
City,Ahmedabad,2,0,0,0,2,0,0,2,16,2,1,8,4,1,0,16,18,2,1,8,6,1,0,18
City,Allahabad,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2
City,Amritsar,1,0,0,1,0,0,0,1,10,0,1,3,5,1,0,10,11,0,1,4,5,1,0,11
City,Asansol,1,0,0,0,1,0,0,1,7,0,0,0,6,1,0,7,8,0,0,0,7,1,0,8
City,Bangalore,0,0,0,0,0,0,0,0,34,2,3,7,10,12,0,34,34,2,3,7,10,12,0,34
City,Bhopal,8,2,4,2,0,0,0,8,50,4,11,14,13,8,0,50,58,6,15,16,13,8,0,58
City,Chennai,0,0,0,0,0,0,0,0,38,1,3,19,12,3,0,38,38,1,3,19,12,3,0,38
City,Coimbatore,0,0,0,0,0,0,0,0,4,0,0,1,3,1,0,5,4,0,0,1,3,1,0,5
City,Delhi (CITY),18,1,5,8,4,0,0,18,388,15,38,55,269,11,0,388,406,16,43,63,273,11,0,406
City,Dhanbad,3,1,1,0,0,1,0,3,18,1,2,5,6,4,0,18,21,2,3,5,6,5,0,21
City,Faridabad,0,0,0,0,0,0,0,0,15,1,2,3,7,2,0,15,15,1,2,3,7,2,0,15
City,Hyderabad,9,0,0,0,7,2,0,9,48,0,5,13,21,9,0,48,57,0,5,13,28,11,0,57
City,Indore,0,0,0,0,0,0,0,0,54,0,1,7,42,4,0,54,54,0,1,7,42,4,0,54
City,Jabalpur,0,0,0,0,0,0,0,0,61,1,2,15,41,2,0,61,61,1,2,15,41,2,0,61
City,Jaipur,3,0,0,0,1,2,0,3,32,3,2,2,18,6,1,32,35,3,2,2,19,8,1,35
City,Jamshedpur,12,0,2,6,4,0,0,12,36,0,6,15,8,7,0,36,48,0,8,21,12,7,0,48
City,Kanpur,0,0,0,0,0,0,0,0,24,0,0,0,19,5,0,24,24,0,0,0,19,5,0,24
City,Kochi,0,0,0,0,0,0,0,0,11,1,1,1,3,4,1,11,11,1,1,1,3,4,1,11
City,Kolkata,3,1,2,0,0,0,0,3,33,4,5,4,16,3,1,33,36,5,7,4,16,3,1,36
City,Lucknow,0,0,0,0,0,0,0,0,20,1,2,4,7,6,0,20,20,1,2,4,7,6,0,20
City,Ludhiana,1,0,1,0,0,0,0,1,32,5,5,16,6,0,0,32,33,5,6,16,6,0,0,33
City,Madurai,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,7,0,0,7
City,Meerut,4,1,0,1,2,0,0,4,10,0,1,1,5,3,0,10,14,1,1,2,7,3,0,14
City,Mumbai,0,0,0,0,0,0,0,0,133,9,20,79,23,8,0,139,133,9,20,79,23,8,0,139
City,Nagpur,1,0,0,2,0,0,0,2,25,5,3,9,6,2,0,25,26,5,3,11,6,2,0,27
City,Nasik,0,0,0,0,0,0,0,0,11,3,1,3,4,0,0,11,11,3,1,3,4,0,0,11
City,Patna,0,0,0,0,0,0,0,0,15,0,1,0,14,0,0,15,15,0,1,0,14,0,0,15
City,Pune,0,0,0,0,0,0,0,0,40,10,5,17,4,4,0,40,40,10,5,17,4,4,0,40
City,Rajkot,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,5,5,0,0,4,1,0,0,5
City,Surat,0,0,0,0,0,0,0,0,25,7,7,6,3,1,0,24,25,7,7,6,3,1,0,24
City,Vadodara,0,0,0,0,0,0,0,0,8,2,1,3,1,1,0,8,8,2,1,3,1,1,0,8
City,Varanasi,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,4,4,0,3,1,0,0,0,4
City,Vijayawada,0,0,0,0,0,0,0,0,27,2,0,4,16,5,0,27,27,2,0,4,16,5,0,27
City,Vishakhapatnam,0,0,0,0,0,0,0,0,9,2,4,0,3,0,0,9,9,2,4,0,3,0,0,9
City,Total (Cities),66,6,15,20,21,5,0,67,1263,81,136,322,611,116,3,1269,1329,87,151,342,632,121,3,1336
